timestamp,value
788889600,54.9
788976000,51.0
789062400,52.7
789148800,53.6
789235200,56.5
789321600,57.6
789408000,57.4
789494400,57.5
789580800,61.8
789667200,65.9
789753600,65.8
789840000,66.0
789926400,64.5
790012800,57.4
790099200,57.1
790185600,60.4
790272000,62.3
790358400,61.0
790444800,61.3
790531200,55.7
790617600,55.9
790704000,53.5
790790400,52.0
790876800,54.4
790963200,55.4
791049600,52.0
791136000,52.4
791222400,53.9
791308800,51.0
791395200,58.4
791481600,62.7
791568000,66.6
791654400,71.2
791740800,72.6
791827200,65.5
791913600,70.4
792000000,63.6
792086400,62.5
792172800,60.9
792259200,56.4
792345600,55.1
792432000,52.2
792518400,55.0
792604800,57.4
792691200,61.1
792777600,66.3
792864000,63.7
792950400,64.2
793036800,64.3
793123200,58.7
793209600,59.8
793296000,59.8
793382400,68.8
793468800,63.6
793555200,57.7
793641600,58.5
793728000,68.4
793814400,63.5
793900800,60.1
793987200,60.3
794073600,59.2
794160000,60.4
794246400,62.8
794332800,66.2
794419200,65.2
794505600,71.9
794592000,72.2
794678400,71.1
794764800,67.4
794851200,58.1
794937600,62.5
795024000,62.5
795110400,60.9
795196800,65.4
795283200,74.7
795369600,74.9
795456000,70.0
795542400,75.7
795628800,64.8
795715200,63.7
795801600,62.4
795888000,66.1
795974400,68.3
796060800,74.9
796147200,68.6
796233600,64.4
796320000,61.2
796406400,66.7
796492800,72.4
796579200,72.3
796665600,75.2
796752000,76.4
796838400,81.7
796924800,77.2
797011200,67.0
797097600,59.0
797184000,63.1
797270400,69.2
797356800,74.9
797443200,80.3
797529600,76.3
797616000,70.8
797702400,77.6
797788800,80.9
797875200,79.2
797961600,79.1
798048000,83.1
798134400,85.2
798220800,85.4
798307200,81.6
798393600,80.1
798480000,79.9
798566400,75.7
798652800,73.3
798739200,78.2
798825600,82.4
798912000,76.0
798998400,74.9
799084800,77.5
799171200,81.2
799257600,85.6
799344000,87.1
799430400,87.5
799516800,87.9
799603200,88.1
799689600,90.2
799776000,85.8
799862400,87.2
799948800,79.4
800035200,79.4
800121600,81.8
800208000,86.3
800294400,86.6
800380800,83.3
800467200,83.8
800553600,87.3
800640000,90.6
800726400,91.7
800812800,93.8
800899200,94.2
800985600,95.2
801072000,92.2
801158400,91.3
801244800,91.8
801331200,93.1
801417600,93.6
801504000,94.6
801590400,93.5
801676800,93.4
801763200,91.7
801849600,92.1
801936000,93.3
802022400,96.6
802108800,94.4
802195200,90.7
802281600,91.6
802368000,93.4
802454400,96.0
802540800,93.3
802627200,95.6
802713600,95.6
802800000,94.4
802886400,94.0
802972800,91.8
803059200,90.9
803145600,92.3
803232000,92.1
803318400,92.1
803404800,94.3
803491200,94.9
803577600,96.4
803664000,96.5
803750400,93.6
803836800,92.9
803923200,92.2
804009600,94.8
804096000,95.3
804182400,97.0
804268800,97.5
804355200,96.3
804441600,94.8
804528000,91.0
804614400,93.6
804700800,96.4
804787200,98.1
804873600,95.4
804960000,95.5
805046400,96.2
805132800,96.9
805219200,95.6
805305600,97.6
805392000,97.2
805478400,93.9
805564800,96.5
805651200,94.1
805737600,93.4
805824000,95.0
805910400,94.3
805996800,95.3
806083200,97.1
806169600,95.2
806256000,95.3
806342400,95.8
806428800,96.3
806515200,94.5
806601600,94.0
806688000,95.4
806774400,96.3
806860800,96.4
806947200,96.0
807033600,96.7
807120000,97.5
807206400,98.8
807292800,95.5
807379200,97.7
807465600,98.9
807552000,97.7
807638400,99.9
807724800,97.1
807811200,98.8
807897600,98.3
807984000,97.8
808070400,95.4
808156800,94.7
808243200,98.2
808329600,98.0
808416000,96.3
808502400,95.1
808588800,95.8
808675200,97.0
808761600,95.9
808848000,95.3
808934400,97.4
809020800,96.6
809107200,95.4
809193600,95.8
809280000,94.7
809366400,94.5
809452800,94.5
809539200,92.8
809625600,93.6
809712000,93.5
809798400,93.4
809884800,91.2
809971200,91.0
810057600,91.8
810144000,91.9
810230400,92.1
810316800,93.1
810403200,91.8
810489600,92.4
810576000,88.5
810662400,89.1
810748800,89.4
810835200,90.2
810921600,91.3
811008000,89.9
811094400,91.1
811180800,93.4
811267200,92.8
811353600,92.1
811440000,93.3
811526400,92.4
811612800,87.7
811699200,81.7
811785600,82.7
811872000,83.1
811958400,83.8
812044800,83.7
812131200,85.0
812217600,83.9
812304000,84.6
812390400,84.9
812476800,82.6
812563200,82.2
812649600,82.6
812736000,84.1
812822400,81.8
812908800,82.5
812995200,85.0
813081600,85.7
813168000,83.9
813254400,83.4
813340800,84.2
813427200,84.7
813513600,85.2
813600000,82.0
813686400,79.0
813772800,81.4
813859200,84.9
813945600,84.0
814032000,83.6
814118400,83.4
814204800,85.0
814291200,76.1
814377600,79.4
814464000,79.7
814550400,80.7
814636800,81.8
814723200,76.8
814809600,75.1
814896000,74.6
814982400,76.7
815068800,76.3
815155200,74.8
815241600,75.3
815328000,76.9
815414400,79.5
815500800,73.4
815587200,71.4
815673600,71.1
815760000,75.7
815846400,75.1
815932800,73.0
816019200,69.5
816105600,60.5
816192000,62.5
816278400,66.7
816364800,67.5
816451200,66.9
816537600,66.4
816624000,64.0
816710400,66.1
816796800,66.5
816883200,66.8
816969600,67.4
817056000,67.7
817142400,63.4
817228800,59.9
817315200,56.0
817401600,55.3
817488000,59.1
817574400,57.7
817660800,59.1
817747200,63.1
817833600,66.9
817920000,68.5
818006400,66.3
818092800,63.5
818179200,58.9
818265600,53.2
818352000,59.7
818438400,61.5
818524800,60.3
818611200,65.3
818697600,57.6
818784000,54.5
818870400,55.8
818956800,50.9
819043200,53.4
819129600,52.9
819216000,53.1
819302400,54.5
819388800,53.0
819475200,54.1
819561600,55.0
819648000,58.9
819734400,59.9
819820800,50.1
819907200,50.0
819993600,51.3
820080000,53.2
820166400,53.1
820252800,53.5
820339200,55.4
820425600,59.8
820512000,57.9
820598400,60.5
820684800,61.2
820771200,65.3
820857600,60.6
820944000,59.6
821030400,59.4
821116800,62.1
821203200,62.7
821289600,58.3
821376000,54.6
821462400,51.3
821548800,49.1
821635200,52.3
821721600,57.1
821808000,54.3
821894400,53.2
821980800,58.9
822067200,54.8
822153600,54.6
822240000,57.4
822326400,54.1
822412800,53.8
822499200,57.6
822585600,54.1
822672000,53.3
822758400,56.0
822844800,57.6
822931200,63.7
823017600,62.6
823104000,63.3
823190400,67.7
823276800,59.9
823363200,59.9
823449600,53.2
823536000,55.8
823622400,62.3
823708800,64.1
823795200,67.1
823881600,69.8
823968000,63.4
824054400,59.4
824140800,57.3
824227200,58.9
824313600,65.9
824400000,58.2
824486400,58.2
824572800,62.8
824659200,71.1
824745600,74.7
824832000,64.6
824918400,58.0
825004800,58.2
825091200,60.2
825177600,66.0
825264000,68.1
825350400,67.8
825436800,72.0
825523200,67.1
825609600,67.3
825696000,76.0
825782400,77.7
825868800,67.1
825955200,63.7
826041600,66.7
826128000,73.1
826214400,64.9
826300800,64.2
826387200,65.6
826473600,67.7
826560000,68.6
826646400,64.5
826732800,63.6
826819200,65.8
826905600,65.6
826992000,70.6
827078400,76.2
827164800,74.9
827251200,69.4
827337600,70.0
827424000,65.8
827510400,68.7
827596800,70.1
827683200,72.1
827769600,65.6
827856000,65.8
827942400,68.7
828028800,66.6
828115200,68.4
828201600,74.6
828288000,76.9
828374400,79.6
828460800,77.1
828547200,71.6
828633600,73.3
828720000,75.6
828806400,78.2
828892800,78.7
828979200,84.2
829065600,82.8
829152000,76.7
829238400,82.0
829324800,74.7
829411200,72.5
829497600,65.5
829584000,66.3
829670400,69.9
829756800,79.7
829843200,79.5
829929600,80.1
830016000,85.3
830102400,85.6
830188800,79.4
830275200,79.8
830361600,75.3
830448000,71.3
830534400,74.3
830620800,78.8
830707200,80.8
830793600,82.4
830880000,85.2
830966400,85.8
831052800,84.8
831139200,89.0
831225600,88.2
831312000,91.5
831398400,91.2
831484800,89.8
831571200,90.0
831657600,92.8
831744000,86.2
831830400,85.1
831916800,86.6
832003200,88.3
832089600,90.2
832176000,90.1
832262400,92.6
832348800,93.6
832435200,93.2
832521600,92.2
832608000,91.4
832694400,91.6
832780800,91.2
832867200,88.3
832953600,89.4
833040000,92.4
833126400,92.2
833212800,92.2
833299200,95.5
833385600,94.8
833472000,94.8
833558400,96.7
833644800,94.5
833731200,96.9
833817600,97.8
833904000,95.8
833990400,93.6
834076800,93.6
834163200,96.8
834249600,97.8
834336000,93.2
834422400,92.6
834508800,90.8
834595200,93.6
834681600,95.1
834768000,95.9
834854400,97.0
834940800,94.4
835027200,97.8
835113600,97.5
835200000,93.1
835286400,93.7
835372800,93.1
835459200,92.0
835545600,91.4
835632000,91.2
835718400,93.1
835804800,94.0
835891200,94.9
835977600,96.0
836064000,96.0
836150400,97.2
836236800,96.9
836323200,97.4
836409600,97.4
836496000,98.4
836582400,98.3
836668800,100.2
836755200,100.4
836841600,101.1
836928000,100.1
837014400,99.4
837100800,101.1
837187200,99.6
837273600,99.5
837360000,98.8
837446400,98.9
837532800,97.2
837619200,96.8
837705600,99.4
837792000,101.1
837878400,100.4
837964800,99.1
838051200,98.1
838137600,100.7
838224000,99.1
838310400,99.9
838396800,100.6
838483200,101.4
838569600,98.7
838656000,95.9
838742400,95.1
838828800,94.0
838915200,99.7
839001600,97.1
839088000,96.6
839174400,98.2
839260800,98.2
839347200,98.6
839433600,98.2
839520000,98.0
839606400,96.4
839692800,97.2
839779200,97.6
839865600,96.8
839952000,98.0
840038400,98.4
840124800,97.9
840211200,99.5
840297600,99.2
840384000,99.4
840470400,98.2
840556800,99.4
840643200,99.2
840729600,97.7
840816000,95.7
840902400,95.7
840988800,95.7
841075200,95.8
841161600,94.5
841248000,95.1
841334400,96.3
841420800,96.0
841507200,97.1
841593600,96.7
841680000,95.2
841766400,95.8
841852800,95.7
841939200,92.8
842025600,90.9
842112000,91.9
842198400,90.7
842284800,91.7
842371200,91.5
842457600,91.4
842544000,92.0
842630400,92.7
842716800,91.3
842803200,90.8
842889600,88.5
842976000,87.8
843062400,90.9
843148800,87.7
843235200,85.0
843321600,89.6
843408000,89.9
843494400,85.8
843580800,82.9
843667200,82.2
843753600,86.5
843840000,88.5
843926400,87.3
844012800,86.1
844099200,84.5
844185600,83.7
844272000,85.5
844358400,85.5
844444800,84.5
844531200,86.7
844617600,85.6
844704000,86.4
844790400,87.2
844876800,85.8
844963200,85.7
845049600,85.2
845136000,85.2
845222400,86.2
845308800,81.6
845395200,81.6
845481600,79.6
845568000,75.7
845654400,72.5
845740800,73.3
845827200,73.4
845913600,76.2
846000000,76.7
846086400,76.3
846172800,76.6
846259200,77.0
846345600,76.8
846432000,74.8
846518400,74.6
846604800,76.0
846691200,68.6
846777600,69.2
846864000,72.7
846950400,73.7
847036800,74.3
847123200,73.4
847209600,72.2
847296000,71.1
847382400,70.3
847468800,69.7
847555200,66.8
847641600,65.0
847728000,63.0
847814400,59.8
847900800,60.5
847987200,69.6
848073600,69.3
848160000,69.1
848246400,67.8
848332800,65.7
848419200,67.6
848505600,67.9
848592000,64.1
848678400,64.6
848764800,64.0
848851200,64.2
848937600,67.0
849024000,67.9
849110400,68.1
849196800,63.4
849283200,58.9
849369600,60.3
849456000,64.1
849542400,61.8
849628800,58.5
849715200,59.8
849801600,60.5
849888000,60.9
849974400,62.0
850060800,61.9
850147200,66.0
850233600,61.7
850320000,60.3
850406400,66.1
850492800,65.5
850579200,58.1
850665600,56.9
850752000,62.2
850838400,63.9
850924800,62.6
851011200,62.3
851097600,62.2
851184000,65.3
851270400,59.2
851356800,56.6
851443200,56.8
851529600,60.9
851616000,62.5
851702400,59.6
851788800,61.2
851875200,62.1
851961600,62.2
852048000,62.4
852134400,62.9
852220800,54.7
852307200,54.0
852393600,55.5
852480000,56.1
852566400,58.3
852652800,58.6
852739200,58.2
852825600,62.5
852912000,62.2
852998400,61.2
853084800,62.1
853171200,64.8
853257600,66.4
853344000,63.7
853430400,57.2
853516800,51.4
853603200,51.9
853689600,55.3
853776000,57.5
853862400,51.1
853948800,53.4
854035200,54.0
854121600,49.7
854208000,50.5
854294400,53.8
854380800,59.0
854467200,59.5
854553600,57.0
854640000,58.3
854726400,50.1
854812800,51.6
854899200,58.3
854985600,65.9
855072000,59.2
855158400,47.9
855244800,47.4
855331200,52.4
855417600,52.5
855504000,57.2
855590400,54.0
855676800,50.6
855763200,53.9
855849600,57.5
855936000,58.2
856022400,57.2
856108800,62.0
856195200,68.3
856281600,67.7
856368000,69.3
856454400,73.7
856540800,69.3
856627200,65.4
856713600,61.3
856800000,61.1
856886400,59.6
856972800,54.9
857059200,54.4
857145600,55.6
857232000,62.8
857318400,73.1
857404800,71.9
857491200,64.2
857577600,67.7
857664000,68.7
857750400,52.9
857836800,55.6
857923200,60.3
858009600,61.3
858096000,63.8
858182400,66.3
858268800,63.0
858355200,68.9
858441600,63.6
858528000,63.4
858614400,66.1
858700800,64.6
858787200,65.5
858873600,61.4
858960000,65.7
859046400,72.5
859132800,73.6
859219200,66.5
859305600,64.9
859392000,68.7
859478400,73.3
859564800,66.6
859651200,60.9
859737600,62.6
859824000,71.3
859910400,72.7
859996800,78.9
860083200,81.8
860169600,77.3
860256000,77.7
860342400,74.7
860428800,75.8
860515200,77.3
860601600,66.5
860688000,62.1
860774400,63.5
860860800,67.7
860947200,77.8
861033600,83.5
861120000,83.4
861206400,84.6
861292800,79.1
861379200,75.6
861465600,71.2
861552000,70.6
861638400,72.4
861724800,76.2
861811200,78.2
861897600,81.4
861984000,83.3
862070400,86.4
862156800,85.9
862243200,77.2
862329600,80.4
862416000,84.9
862502400,82.1
862588800,84.8
862675200,90.0
862761600,81.0
862848000,76.3
862934400,78.6
863020800,78.5
863107200,80.4
863193600,83.2
863280000,84.9
863366400,86.0
863452800,87.6
863539200,88.4
863625600,91.2
863712000,90.1
