timestamp,value
788889600,44.8
788976000,40.0
789062400,28.6
789148800,31.5
789235200,20.4
789321600,21.4
789408000,34.3
789494400,35.0
789580800,40.3
789667200,36.4
789753600,41.7
789840000,51.7
789926400,52.3
790012800,60.0
790099200,61.3
790185600,51.5
790272000,45.0
790358400,42.5
790444800,44.7
790531200,40.6
790617600,36.2
790704000,32.1
790790400,34.3
790876800,30.2
790963200,32.0
791049600,34.2
791136000,34.8
791222400,34.9
791308800,27.9
791395200,28.4
791481600,34.8
791568000,37.0
791654400,45.9
791740800,39.2
791827200,34.2
791913600,22.9
792000000,16.3
792086400,21.6
792172800,22.8
792259200,20.6
792345600,33.5
792432000,38.8
792518400,26.6
792604800,24.8
792691200,30.2
792777600,31.9
792864000,37.5
792950400,40.1
793036800,38.5
793123200,45.7
793209600,51.1
793296000,45.2
793382400,36.0
793468800,56.2
793555200,49.4
793641600,37.2
793728000,49.9
793814400,42.0
793900800,46.6
793987200,50.2
794073600,42.8
794160000,35.1
794246400,34.1
794332800,37.8
794419200,47.1
794505600,57.9
794592000,56.4
794678400,31.6
794764800,32.0
794851200,49.0
794937600,55.4
795024000,55.4
795110400,61.5
795196800,57.1
795283200,61.4
795369600,60.4
795456000,53.7
795542400,48.6
795628800,53.8
795715200,58.8
795801600,60.5
795888000,52.5
795974400,49.4
796060800,49.7
796147200,54.6
796233600,57.7
796320000,52.5
796406400,49.0
796492800,53.7
796579200,46.8
796665600,45.9
796752000,47.5
796838400,47.9
796924800,59.7
797011200,46.2
797097600,49.1
797184000,60.6
797270400,64.2
797356800,70.6
797443200,61.7
797529600,46.9
797616000,52.0
797702400,53.5
797788800,54.4
797875200,53.2
797961600,63.6
798048000,60.9
798134400,59.0
798220800,70.4
798307200,67.1
798393600,65.2
798480000,71.1
798566400,52.4
798652800,43.2
798739200,51.4
798825600,53.1
798912000,59.6
798998400,60.5
799084800,58.3
799171200,60.0
799257600,54.6
799344000,48.8
799430400,53.0
799516800,54.9
799603200,57.7
799689600,59.3
799776000,59.2
799862400,61.5
799948800,57.0
800035200,65.5
800121600,67.1
800208000,62.8
800294400,60.9
800380800,66.6
800467200,72.9
800553600,66.5
800640000,72.0
800726400,75.0
800812800,66.9
800899200,62.6
800985600,65.5
801072000,69.1
801158400,66.5
801244800,72.0
801331200,75.3
801417600,74.4
801504000,65.4
801590400,57.0
801676800,67.1
801763200,69.1
801849600,64.1
801936000,65.2
802022400,68.4
802108800,71.1
802195200,73.6
802281600,72.8
802368000,70.0
802454400,72.2
802540800,79.5
802627200,76.5
802713600,74.8
802800000,71.9
802886400,66.9
802972800,64.0
803059200,65.4
803145600,70.7
803232000,70.0
803318400,67.9
803404800,70.1
803491200,70.2
803577600,73.6
803664000,73.5
803750400,70.3
803836800,67.8
803923200,72.0
804009600,72.3
804096000,74.0
804182400,73.9
804268800,73.8
804355200,70.5
804441600,72.6
804528000,72.7
804614400,72.0
804700800,67.4
804787200,72.6
804873600,75.2
804960000,76.2
805046400,72.8
805132800,72.7
805219200,68.9
805305600,71.0
805392000,77.4
805478400,76.1
805564800,79.2
805651200,81.1
805737600,84.1
805824000,82.3
805910400,78.4
805996800,77.4
806083200,77.1
806169600,75.7
806256000,79.4
806342400,79.0
806428800,79.1
806515200,79.4
806601600,77.9
806688000,76.9
806774400,76.6
806860800,77.9
806947200,81.8
807033600,81.1
807120000,79.1
807206400,78.9
807292800,79.9
807379200,79.1
807465600,79.4
807552000,79.9
807638400,78.9
807724800,72.5
807811200,68.1
807897600,68.3
807984000,73.1
808070400,76.8
808156800,79.9
808243200,84.1
808329600,85.3
808416000,84.3
808502400,82.5
808588800,85.7
808675200,81.6
808761600,73.4
808848000,74.9
808934400,77.4
809020800,80.4
809107200,78.5
809193600,74.5
809280000,77.8
809366400,72.4
809452800,70.2
809539200,73.6
809625600,74.5
809712000,73.8
809798400,77.1
809884800,76.4
809971200,72.0
810057600,66.9
810144000,70.2
810230400,70.9
810316800,72.3
810403200,70.0
810489600,72.2
810576000,72.4
810662400,72.6
810748800,68.1
810835200,68.7
810921600,73.3
811008000,75.3
811094400,71.3
811180800,64.3
811267200,65.7
811353600,65.2
811440000,64.4
811526400,66.5
811612800,70.9
811699200,68.5
811785600,52.8
811872000,49.0
811958400,56.1
812044800,61.3
812131200,60.0
812217600,61.5
812304000,60.3
812390400,61.0
812476800,64.6
812563200,67.1
812649600,66.8
812736000,65.8
812822400,70.1
812908800,74.6
812995200,69.2
813081600,60.7
813168000,57.2
813254400,58.5
813340800,61.4
813427200,62.3
813513600,57.7
813600000,65.2
813686400,56.1
813772800,54.7
813859200,49.9
813945600,51.0
814032000,56.6
814118400,56.5
814204800,49.7
814291200,48.4
814377600,52.6
814464000,58.0
814550400,57.2
814636800,49.1
814723200,54.5
814809600,57.4
814896000,50.8
814982400,48.4
815068800,53.9
815155200,54.9
815241600,61.2
815328000,59.4
815414400,40.4
815500800,33.8
815587200,41.1
815673600,47.4
815760000,45.0
815846400,32.6
815932800,37.9
816019200,51.6
816105600,35.9
816192000,34.0
816278400,37.4
816364800,35.0
816451200,36.3
816537600,38.5
816624000,42.1
816710400,47.3
816796800,40.1
816883200,47.8
816969600,36.6
817056000,38.3
817142400,42.8
817228800,40.1
817315200,47.7
817401600,46.9
817488000,54.7
817574400,44.5
817660800,35.3
817747200,45.9
817833600,56.3
817920000,46.8
818006400,55.8
818092800,38.1
818179200,40.5
818265600,35.1
818352000,29.1
818438400,34.3
818524800,20.8
818611200,23.0
818697600,29.4
818784000,34.2
818870400,33.7
818956800,51.9
819043200,51.3
819129600,39.9
819216000,35.4
819302400,34.3
819388800,31.6
819475200,27.5
819561600,27.8
819648000,25.9
819734400,27.5
819820800,26.9
819907200,27.7
819993600,29.7
820080000,26.1
820166400,29.2
820252800,34.8
820339200,38.7
820425600,41.5
820512000,39.7
820598400,38.8
820684800,27.1
820771200,32.4
820857600,27.2
820944000,17.9
821030400,20.7
821116800,25.5
821203200,33.1
821289600,21.2
821376000,24.3
