timestamp,value
788889600,37.3
788976000,29.9
789062400,24.8
789148800,18.6
789235200,15.0
789321600,24.0
789408000,30.4
789494400,25.1
789580800,23.3
789667200,19.4
789753600,21.9
789840000,42.3
789926400,57.3
790012800,56.6
790099200,62.7
790185600,41.6
790272000,35.2
790358400,38.0
790444800,42.6
790531200,44.7
790617600,39.1
790704000,32.0
790790400,28.4
790876800,31.5
790963200,32.6
791049600,29.1
791136000,26.3
791222400,16.6
791308800,20.6
791395200,20.8
791481600,31.6
791568000,36.9
791654400,24.7
791740800,16.4
791827200,25.4
791913600,10.6
792000000,3.6
792086400,12.1
792172800,13.7
792259200,18.5
792345600,29.6
792432000,27.2
792518400,9.4
792604800,15.9
792691200,19.3
792777600,20.1
792864000,37.0
792950400,28.6
793036800,37.2
793123200,42.9
793209600,36.5
793296000,34.4
793382400,22.4
793468800,34.8
793555200,31.5
793641600,21.8
793728000,13.9
793814400,26.6
793900800,31.7
793987200,29.7
794073600,23.5
794160000,18.8
794246400,24.2
794332800,33.2
794419200,39.8
794505600,43.9
794592000,38.6
794678400,18.6
794764800,18.5
794851200,39.4
794937600,53.5
795024000,58.0
795110400,55.6
795196800,53.7
795283200,52.9
795369600,41.5
795456000,34.1
795542400,39.5
795628800,54.2
795715200,48.8
795801600,38.6
795888000,37.7
795974400,34.8
796060800,35.3
796147200,41.7
796233600,37.5
796320000,39.6
796406400,39.9
796492800,40.2
796579200,35.9
796665600,32.2
796752000,36.0
796838400,38.8
796924800,39.2
797011200,21.5
797097600,28.2
797184000,31.7
797270400,33.4
797356800,36.6
797443200,32.2
797529600,41.7
797616000,54.7
797702400,44.5
797788800,38.7
797875200,36.6
797961600,39.6
798048000,39.7
798134400,42.8
798220800,58.6
798307200,44.3
798393600,54.5
798480000,48.5
798566400,41.3
798652800,40.3
798739200,43.4
798825600,46.6
798912000,52.1
798998400,49.3
799084800,47.3
799171200,41.2
799257600,45.7
799344000,49.5
799430400,53.1
799516800,52.3
799603200,55.3
799689600,52.5
799776000,48.3
799862400,47.2
799948800,52.1
800035200,59.3
800121600,57.9
800208000,55.5
800294400,58.7
800380800,62.8
800467200,59.7
800553600,59.0
800640000,62.1
800726400,52.1
800812800,55.0
800899200,56.2
800985600,62.6
801072000,55.2
801158400,60.5
801244800,63.2
801331200,55.2
801417600,60.9
801504000,59.9
801590400,59.0
801676800,64.2
801763200,62.4
801849600,66.7
801936000,68.6
802022400,70.9
802108800,69.3
802195200,64.8
802281600,63.7
802368000,70.4
802454400,75.3
802540800,57.6
802627200,55.5
802713600,65.9
802800000,72.4
802886400,60.1
802972800,60.0
803059200,64.0
803145600,63.3
803232000,64.6
803318400,68.3
803404800,77.5
803491200,81.0
803577600,77.6
803664000,70.1
803750400,73.6
803836800,74.7
803923200,74.0
804009600,76.1
804096000,73.7
804182400,71.3
804268800,70.2
804355200,73.2
804441600,73.5
804528000,70.1
804614400,62.6
804700800,61.9
804787200,70.8
804873600,76.2
804960000,76.5
805046400,72.8
805132800,61.7
805219200,62.0
805305600,66.6
805392000,69.4
805478400,69.7
805564800,75.5
805651200,79.4
805737600,82.2
805824000,77.4
805910400,76.9
805996800,74.2
806083200,69.6
806169600,70.9
806256000,73.6
806342400,73.0
806428800,74.9
806515200,70.8
806601600,74.8
806688000,77.9
806774400,75.2
806860800,76.9
806947200,79.4
807033600,74.1
807120000,74.5
807206400,79.0
807292800,73.6
807379200,74.3
807465600,76.3
807552000,73.7
807638400,70.9
807724800,71.6
807811200,70.9
807897600,72.0
807984000,73.8
808070400,75.9
808156800,77.5
808243200,72.5
808329600,75.8
808416000,82.5
808502400,77.9
808588800,74.5
808675200,76.5
808761600,76.5
808848000,77.1
808934400,77.3
809020800,70.0
809107200,68.8
809193600,71.7
809280000,62.8
809366400,65.7
809452800,66.5
809539200,62.9
809625600,66.6
809712000,65.6
809798400,71.0
809884800,67.9
809971200,63.2
810057600,61.6
810144000,68.3
810230400,66.5
810316800,70.8
810403200,71.4
810489600,57.3
810576000,59.7
810662400,53.7
810748800,53.3
810835200,64.3
810921600,73.3
811008000,66.9
811094400,56.4
811180800,59.6
811267200,64.6
811353600,56.8
811440000,50.7
811526400,58.9
811612800,62.0
811699200,59.7
811785600,49.8
811872000,48.1
811958400,53.5
812044800,56.2
812131200,60.4
812217600,55.8
812304000,55.6
812390400,64.2
812476800,63.5
812563200,65.7
812649600,57.8
812736000,57.0
812822400,56.5
812908800,62.7
812995200,63.2
813081600,55.0
813168000,55.0
813254400,53.7
813340800,59.7
813427200,62.9
813513600,64.9
813600000,59.4
813686400,51.1
813772800,46.7
813859200,46.6
813945600,60.0
814032000,54.1
814118400,61.6
814204800,49.3
814291200,47.1
814377600,55.8
814464000,59.7
814550400,49.2
814636800,47.6
814723200,55.2
814809600,56.1
814896000,43.8
814982400,41.5
815068800,39.8
815155200,44.7
815241600,58.0
815328000,53.3
815414400,34.8
815500800,33.8
815587200,35.1
815673600,40.0
815760000,36.3
815846400,26.9
815932800,37.0
816019200,54.5
816105600,34.0
816192000,30.0
816278400,33.2
816364800,33.4
816451200,31.4
816537600,30.0
816624000,31.2
816710400,34.2
816796800,36.2
816883200,37.7
816969600,32.5
817056000,31.9
817142400,27.1
817228800,25.4
817315200,34.0
817401600,35.2
817488000,35.2
817574400,26.5
817660800,25.5
817747200,38.7
817833600,31.4
817920000,34.9
818006400,37.6
818092800,30.2
818179200,30.5
818265600,24.1
818352000,22.3
818438400,25.5
818524800,11.2
818611200,13.4
818697600,13.5
818784000,16.1
818870400,26.8
818956800,36.6
819043200,33.8
819129600,28.4
819216000,26.5
819302400,20.9
819388800,16.2
819475200,17.3
819561600,24.5
819648000,27.0
819734400,23.9
819820800,27.1
819907200,23.6
819993600,18.6
820080000,22.0
820166400,23.0
820252800,25.6
820339200,32.5
820425600,31.6
820512000,21.5
820598400,16.0
820684800,9.1
820771200,7.9
820857600,1.8
820944000,5.6
821030400,13.6
821116800,21.2
821203200,20.8
821289600,12.3
821376000,20.1
821462400,23.3
821548800,35.6
821635200,23.3
821721600,19.6
821808000,42.9
821894400,47.6
821980800,45.4
822067200,18.8
822153600,24.1
822240000,26.2
822326400,37.2
822412800,38.4
822499200,20.4
822585600,28.0
822672000,37.4
822758400,22.3
822844800,23.3
822931200,24.6
823017600,14.0
823104000,9.3
823190400,9.9
823276800,5.8
823363200,3.6
823449600,5.0
823536000,13.0
823622400,25.4
823708800,40.2
823795200,37.0
823881600,33.0
823968000,36.6
824054400,12.4
824140800,9.1
824227200,18.1
824313600,17.2
824400000,15.3
824486400,15.9
824572800,15.5
824659200,17.6
824745600,41.9
824832000,43.3
824918400,33.7
825004800,35.8
825091200,43.1
825177600,40.8
825264000,34.8
825350400,30.5
825436800,37.5
825523200,17.1
825609600,21.1
825696000,29.6
825782400,21.8
825868800,18.3
825955200,26.3
826041600,24.2
826128000,14.6
826214400,13.7
826300800,11.0
826387200,19.8
826473600,18.7
826560000,27.2
826646400,35.2
826732800,44.9
826819200,39.0
826905600,28.6
826992000,29.8
827078400,37.7
827164800,41.8
827251200,35.9
827337600,31.6
827424000,24.6
827510400,27.0
827596800,32.1
827683200,53.2
827769600,32.2
827856000,21.2
827942400,25.9
828028800,36.2
828115200,35.3
828201600,41.7
828288000,39.3
828374400,35.1
828460800,34.4
828547200,29.4
828633600,32.9
828720000,33.3
828806400,31.4
828892800,32.0
828979200,32.0
829065600,33.7
829152000,43.2
829238400,47.6
829324800,40.3
829411200,40.8
829497600,43.6
829584000,44.4
829670400,38.2
829756800,45.6
829843200,60.5
829929600,62.2
830016000,59.2
830102400,52.8
830188800,50.6
830275200,40.0
830361600,47.4
830448000,58.8
830534400,39.4
830620800,41.4
830707200,45.7
830793600,49.5
830880000,48.3
830966400,49.5
831052800,52.1
831139200,46.1
831225600,46.7
831312000,46.9
831398400,47.1
831484800,52.7
831571200,56.6
831657600,62.8
831744000,50.9
831830400,39.2
831916800,42.5
832003200,46.8
832089600,52.8
832176000,54.1
832262400,57.5
832348800,67.6
832435200,76.5
832521600,77.9
832608000,65.8
832694400,62.3
832780800,58.5
832867200,53.4
832953600,50.6
833040000,53.9
833126400,56.9
833212800,57.4
833299200,51.5
833385600,51.7
833472000,56.7
833558400,60.1
833644800,68.4
833731200,67.8
833817600,64.5
833904000,59.5
833990400,60.8
834076800,65.0
834163200,64.0
834249600,61.7
834336000,72.6
834422400,69.3
834508800,69.3
834595200,69.3
834681600,69.3
834768000,69.3
834854400,70.9
834940800,70.9
835027200,70.9
835113600,70.9
835200000,70.9
835286400,70.9
835372800,70.9
835459200,70.9
835545600,68.4
835632000,65.5
835718400,62.8
835804800,66.2
835891200,68.4
835977600,71.2
836064000,77.0
836150400,74.9
836236800,69.3
836323200,63.1
836409600,63.1
836496000,66.3
836582400,67.4
836668800,71.6
836755200,71.4
836841600,65.2
836928000,60.8
837014400,63.9
837100800,69.0
