timestamp,value
788889600,19.2
788976000,9.9
789062400,9.1
789148800,-0.3
789235200,2.1
789321600,20.7
789408000,19.0
789494400,7.9
789580800,13.3
789667200,18.4
789753600,28.7
789840000,36.1
789926400,32.9
790012800,34.2
790099200,31.4
790185600,30.1
790272000,33.2
790358400,30.7
790444800,29.0
790531200,27.0
790617600,21.4
790704000,19.0
790790400,17.3
790876800,10.6
790963200,11.5
791049600,11.3
791136000,17.5
791222400,29.3
791308800,18.9
791395200,14.7
791481600,25.6
791568000,35.1
791654400,31.8
791740800,30.7
791827200,23.4
791913600,9.6
792000000,7.0
792086400,13.6
792172800,7.8
792259200,22.6
792345600,28.4
792432000,6.2
792518400,2.4
792604800,12.0
792691200,13.1
792777600,29.5
792864000,20.9
792950400,23.3
793036800,34.3
793123200,37.1
793209600,36.6
793296000,27.9
793382400,32.0
793468800,36.8
793555200,31.3
793641600,36.1
793728000,29.0
793814400,29.1
793900800,28.9
793987200,15.1
794073600,14.2
794160000,19.1
794246400,25.8
794332800,33.9
794419200,30.4
794505600,26.6
794592000,20.6
794678400,19.2
794764800,34.7
794851200,47.5
794937600,50.9
795024000,58.2
795110400,58.2
795196800,53.9
795283200,51.2
795369600,46.1
795456000,43.6
795542400,45.7
795628800,46.3
795715200,40.1
795801600,39.6
795888000,36.9
795974400,37.9
796060800,42.5
796147200,45.4
796233600,40.9
796320000,38.4
796406400,38.0
796492800,37.0
796579200,36.0
796665600,33.6
796752000,41.2
796838400,52.5
796924800,31.2
797011200,28.7
797097600,50.8
797184000,41.5
797270400,41.5
797356800,37.0
797443200,34.0
797529600,42.1
797616000,39.0
797702400,44.3
797788800,45.1
797875200,46.7
797961600,49.9
798048000,53.4
798134400,55.5
798220800,46.1
798307200,44.9
798393600,45.1
798480000,47.4
798566400,47.3
798652800,45.5
798739200,45.3
798825600,49.1
798912000,46.1
798998400,50.6
799084800,53.7
799171200,46.6
799257600,44.4
799344000,50.4
799430400,50.9
799516800,52.4
799603200,54.3
799689600,57.2
799776000,63.3
799862400,57.2
799948800,56.4
800035200,52.3
800121600,55.6
800208000,58.0
800294400,58.6
800380800,61.9
800467200,58.9
800553600,64.1
800640000,60.8
800726400,54.1
800812800,57.8
800899200,63.5
800985600,59.7
801072000,60.7
801158400,62.8
801244800,53.2
801331200,55.5
801417600,57.8
801504000,57.2
801590400,62.8
801676800,59.0
801763200,66.0
801849600,67.4
801936000,70.9
802022400,65.2
802108800,68.7
802195200,69.1
802281600,70.5
802368000,72.8
802454400,76.7
802540800,57.8
802627200,56.6
802713600,65.7
802800000,64.4
802886400,64.0
802972800,65.8
803059200,70.6
803145600,74.2
803232000,76.2
803318400,77.6
803404800,79.3
803491200,80.0
803577600,82.9
803664000,82.8
803750400,80.3
803836800,81.4
803923200,78.0
804009600,78.0
804096000,73.3
804182400,70.8
804268800,71.1
804355200,73.6
804441600,71.5
804528000,62.3
804614400,61.7
804700800,67.6
804787200,69.8
804873600,72.3
804960000,69.9
805046400,68.9
805132800,67.2
805219200,72.6
805305600,70.5
805392000,78.0
805478400,80.9
805564800,86.6
805651200,87.4
805737600,84.4
805824000,78.7
805910400,74.7
805996800,72.4
806083200,72.4
806169600,73.0
806256000,72.1
806342400,72.2
806428800,74.6
806515200,75.2
806601600,76.3
806688000,74.4
806774400,75.7
806860800,74.0
806947200,77.9
807033600,79.5
807120000,80.6
807206400,74.2
807292800,70.7
807379200,72.9
807465600,75.3
807552000,73.6
807638400,74.6
807724800,78.0
807811200,77.1
807897600,71.9
807984000,74.6
808070400,78.5
808156800,82.5
808243200,83.3
808329600,82.5
808416000,74.2
808502400,76.5
808588800,77.9
808675200,78.7
808761600,77.9
808848000,74.9
808934400,71.3
809020800,72.7
809107200,73.4
809193600,74.5
809280000,74.3
809366400,74.1
809452800,75.3
809539200,73.4
809625600,73.9
809712000,75.6
809798400,76.9
809884800,69.2
809971200,66.8
810057600,67.4
810144000,70.5
810230400,70.9
810316800,73.0
810403200,61.7
810489600,57.1
810576000,56.2
810662400,57.9
810748800,55.6
810835200,62.9
810921600,70.4
811008000,66.0
811094400,61.3
811180800,65.6
811267200,60.2
811353600,52.9
811440000,56.4
811526400,53.2
811612800,45.8
811699200,39.7
811785600,41.3
811872000,48.0
811958400,54.6
812044800,55.9
812131200,60.1
812217600,64.5
812304000,62.9
812390400,71.9
812476800,65.3
812563200,59.5
812649600,59.3
812736000,54.1
812822400,55.1
812908800,55.8
812995200,49.0
813081600,50.4
813168000,58.2
813254400,52.0
813340800,58.0
813427200,63.6
813513600,63.0
813600000,49.9
813686400,43.6
813772800,43.4
813859200,55.0
813945600,58.1
814032000,58.6
814118400,45.1
814204800,38.2
814291200,41.5
814377600,55.0
814464000,44.7
814550400,41.6
814636800,47.4
814723200,51.4
814809600,46.4
814896000,42.4
814982400,40.1
815068800,37.5
815155200,47.9
815241600,45.5
815328000,28.0
815414400,26.6
815500800,26.3
815587200,35.1
815673600,35.1
815760000,27.6
815846400,22.9
815932800,44.3
816019200,26.7
816105600,20.7
816192000,26.2
816278400,25.4
816364800,22.0
816451200,32.5
816537600,33.2
816624000,33.7
816710400,34.4
816796800,39.2
816883200,31.9
816969600,23.5
817056000,25.5
817142400,21.8
817228800,35.2
817315200,37.1
817401600,34.0
817488000,19.3
817574400,9.9
817660800,23.1
817747200,38.4
817833600,34.2
817920000,44.1
818006400,32.9
818092800,35.8
818179200,24.6
818265600,22.5
818352000,21.2
818438400,2.5
818524800,2.9
818611200,2.2
818697600,7.4
818784000,20.7
818870400,33.4
818956800,28.9
819043200,23.2
819129600,24.9
819216000,32.6
819302400,29.8
819388800,21.2
819475200,21.8
819561600,22.6
819648000,23.3
819734400,24.5
819820800,23.7
819907200,20.1
819993600,18.1
820080000,16.5
820166400,18.4
820252800,27.4
820339200,31.0
820425600,33.8
820512000,26.3
820598400,15.5
820684800,18.0
820771200,10.1
820857600,8.9
820944000,11.9
821030400,9.3
821116800,24.9
821203200,16.0
821289600,24.7
821376000,25.3
821462400,29.3
821548800,31.6
821635200,23.6
821721600,27.1
821808000,36.4
821894400,48.4
821980800,7.0
822067200,8.2
822153600,22.2
822240000,29.1
822326400,29.2
822412800,16.1
822499200,11.4
822585600,26.1
822672000,18.3
822758400,8.9
822844800,17.9
822931200,-0.7
823017600,-10.2
823104000,-5.7
823190400,-14.6
823276800,-19.2
823363200,-13.2
823449600,5.4
823536000,9.2
823622400,34.2
823708800,39.4
823795200,35.9
823881600,40.6
823968000,33.5
824054400,25.0
824140800,26.2
824227200,29.6
824313600,23.2
824400000,17.8
824486400,23.2
824572800,15.6
824659200,27.8
824745600,38.6
824832000,33.7
824918400,33.8
825004800,40.1
825091200,41.7
825177600,40.6
825264000,41.2
825350400,36.9
825436800,18.1
825523200,14.7
825609600,22.2
825696000,22.0
825782400,8.2
825868800,21.1
825955200,31.7
826041600,20.6
826128000,7.9
826214400,5.2
826300800,14.5
826387200,23.8
826473600,33.7
826560000,40.2
826646400,41.2
826732800,44.6
826819200,38.1
826905600,35.2
826992000,32.2
827078400,32.8
827164800,33.7
827251200,32.4
827337600,28.0
827424000,32.4
827510400,34.4
827596800,44.3
827683200,39.4
827769600,16.2
827856000,21.3
827942400,34.3
828028800,38.4
828115200,41.0
828201600,42.0
828288000,37.5
828374400,44.6
828460800,52.6
828547200,36.3
828633600,29.9
828720000,36.8
828806400,33.1
828892800,31.0
828979200,35.3
829065600,42.8
829152000,56.0
829238400,61.7
829324800,42.6
829411200,35.6
829497600,37.4
829584000,38.3
829670400,38.3
829756800,38.3
829843200,60.6
829929600,50.6
830016000,50.6
830102400,50.6
830188800,50.6
830275200,50.6
830361600,50.6
830448000,44.8
830534400,44.8
830620800,44.8
830707200,39.5
830793600,36.7
830880000,36.7
830966400,36.7
831052800,36.7
831139200,51.5
831225600,51.5
831312000,46.1
831398400,47.9
831484800,52.3
831571200,59.2
831657600,57.4
831744000,46.3
831830400,46.3
831916800,44.8
832003200,44.8
832089600,49.4
832176000,55.5
832262400,59.4
832348800,59.4
832435200,59.4
832521600,62.5
832608000,51.9
832694400,51.9
832780800,57.7
832867200,52.0
832953600,50.9
833040000,50.9
833126400,51.9
833212800,51.4
833299200,51.4
833385600,51.4
833472000,51.4
