timestamp,value
788889600,58.3
788976000,46.5
789062400,41.6
789148800,39.9
789235200,37.0
789321600,37.7
789408000,38.4
789494400,39.2
789580800,37.0
789667200,38.0
789753600,46.2
789840000,42.6
789926400,38.4
790012800,38.2
790099200,38.6
790185600,38.4
790272000,37.5
790358400,44.1
790444800,52.4
790531200,43.3
790617600,47.8
790704000,46.2
790790400,53.5
790876800,57.1
790963200,53.0
791049600,56.8
791136000,53.7
791222400,50.2
791308800,55.3
791395200,53.8
791481600,49.9
791568000,43.1
791654400,44.3
791740800,44.5
791827200,41.9
791913600,46.1
792000000,47.7
792086400,46.6
792172800,53.4
792259200,55.7
792345600,49.2
792432000,51.0
792518400,54.9
792604800,54.5
792691200,54.3
792777600,51.1
792864000,52.2
792950400,53.9
793036800,54.0
793123200,49.6
793209600,46.1
793296000,45.4
793382400,50.1
793468800,53.1
793555200,54.6
793641600,54.9
793728000,56.5
793814400,53.0
793900800,49.0
793987200,50.0
794073600,57.5
794160000,53.9
794246400,51.4
794332800,47.3
794419200,50.3
794505600,46.2
794592000,47.6
794678400,49.2
794764800,46.4
794851200,48.1
794937600,48.8
795024000,51.0
795110400,49.1
795196800,47.9
795283200,55.6
795369600,51.7
795456000,52.2
795542400,57.3
795628800,55.7
795715200,47.7
795801600,46.0
795888000,47.3
795974400,51.7
796060800,52.0
796147200,55.5
796233600,56.7
796320000,46.5
796406400,49.2
796492800,44.7
796579200,45.2
796665600,46.5
796752000,49.3
796838400,53.4
796924800,55.5
797011200,53.0
797097600,51.2
797184000,55.2
797270400,56.3
797356800,54.4
797443200,50.1
797529600,54.0
797616000,54.1
797702400,55.2
797788800,47.3
797875200,44.5
797961600,47.3
798048000,52.1
798134400,55.1
798220800,57.4
798307200,56.3
798393600,59.6
798480000,63.0
798566400,62.9
798652800,55.1
798739200,55.2
798825600,54.3
798912000,57.9
798998400,57.7
799084800,58.9
799171200,60.5
799257600,59.1
799344000,59.7
799430400,60.9
799516800,57.1
799603200,58.3
799689600,59.5
799776000,59.5
799862400,63.1
799948800,62.1
800035200,63.6
800121600,65.2
800208000,61.3
800294400,59.1
800380800,57.8
800467200,59.0
800553600,60.6
800640000,60.9
800726400,61.4
800812800,63.7
800899200,62.0
800985600,57.0
801072000,60.0
801158400,58.9
801244800,60.1
801331200,64.7
801417600,65.3
801504000,66.5
801590400,65.5
801676800,65.3
801763200,65.5
801849600,64.3
801936000,59.1
802022400,60.4
802108800,64.1
802195200,63.6
802281600,64.8
802368000,66.2
802454400,65.3
802540800,65.4
802627200,64.5
802713600,68.3
802800000,68.0
802886400,64.7
802972800,65.8
803059200,66.5
803145600,69.0
803232000,67.1
803318400,66.9
803404800,66.6
803491200,68.5
803577600,70.2
803664000,70.9
803750400,69.1
803836800,70.9
803923200,65.7
804009600,65.1
804096000,68.3
804182400,74.6
804268800,74.2
804355200,70.5
804441600,71.2
804528000,73.1
804614400,74.1
804700800,73.8
804787200,74.4
804873600,73.1
804960000,71.4
805046400,73.1
805132800,73.9
805219200,75.2
805305600,76.2
805392000,75.1
805478400,75.2
805564800,75.1
805651200,77.3
805737600,76.2
805824000,76.4
805910400,78.9
805996800,77.4
806083200,78.7
806169600,81.0
806256000,79.8
806342400,78.4
806428800,79.6
806515200,80.0
806601600,80.1
806688000,79.9
806774400,79.2
806860800,78.2
806947200,79.5
807033600,78.0
807120000,78.0
807206400,75.9
807292800,76.4
807379200,79.1
807465600,78.3
807552000,77.8
807638400,78.2
807724800,78.0
807811200,78.6
807897600,78.0
807984000,76.5
808070400,79.4
808156800,80.0
808243200,78.7
808329600,79.8
808416000,77.4
808502400,75.8
808588800,68.8
808675200,70.4
808761600,71.1
808848000,73.1
808934400,73.3
809020800,72.2
809107200,73.9
809193600,72.5
809280000,69.3
809366400,73.1
809452800,74.0
809539200,73.7
809625600,67.8
809712000,68.9
809798400,66.0
809884800,64.4
809971200,68.4
810057600,71.0
810144000,73.5
810230400,66.7
810316800,65.9
810403200,69.3
810489600,74.0
810576000,68.5
810662400,68.3
810748800,67.6
810835200,68.6
810921600,71.4
811008000,67.4
811094400,68.1
811180800,68.1
811267200,69.6
811353600,70.9
811440000,74.0
811526400,70.1
811612800,68.0
811699200,66.0
811785600,63.6
811872000,63.0
811958400,64.0
812044800,64.0
812131200,64.1
812217600,61.4
812304000,59.3
812390400,61.1
812476800,60.2
812563200,66.0
812649600,67.3
812736000,66.5
812822400,68.5
812908800,66.1
812995200,66.1
813081600,66.8
813168000,66.9
813254400,65.9
813340800,61.0
813427200,64.0
813513600,63.5
813600000,64.2
813686400,63.6
813772800,62.9
813859200,63.7
813945600,62.2
814032000,61.6
814118400,59.4
814204800,59.0
814291200,60.7
814377600,60.0
814464000,56.4
814550400,56.3
814636800,56.6
814723200,55.1
814809600,60.5
814896000,63.0
814982400,65.4
815068800,61.3
815155200,59.2
815241600,61.2
815328000,54.8
815414400,48.4
815500800,45.4
815587200,45.6
815673600,49.7
815760000,52.6
815846400,53.0
815932800,56.9
816019200,62.7
816105600,64.3
816192000,60.5
816278400,59.6
816364800,56.1
816451200,62.0
816537600,63.1
816624000,56.8
816710400,46.7
816796800,45.6
816883200,40.8
816969600,41.3
817056000,42.6
817142400,44.5
817228800,49.6
817315200,55.6
817401600,56.9
817488000,53.2
817574400,51.6
817660800,46.3
817747200,47.4
817833600,45.0
817920000,45.0
818006400,41.2
818092800,43.3
818179200,47.3
818265600,49.2
818352000,52.4
818438400,50.5
818524800,50.0
818611200,50.7
818697600,51.6
818784000,52.0
818870400,50.5
818956800,56.2
819043200,54.8
819129600,52.9
819216000,51.6
819302400,47.9
819388800,44.8
819475200,55.2
819561600,58.0
819648000,60.1
819734400,59.2
819820800,60.8
819907200,61.1
819993600,56.6
820080000,50.1
820166400,49.0
820252800,50.1
820339200,57.2
820425600,53.3
820512000,53.2
820598400,48.8
820684800,45.1
820771200,45.4
820857600,52.7
820944000,54.8
821030400,54.3
821116800,52.0
821203200,56.9
821289600,55.8
821376000,58.8
821462400,55.6
821548800,49.4
821635200,46.5
821721600,44.1
821808000,40.6
821894400,41.5
821980800,42.5
822067200,48.5
822153600,48.7
822240000,47.3
822326400,54.4
822412800,56.9
822499200,55.4
822585600,53.7
822672000,50.5
822758400,49.7
822844800,52.2
822931200,50.5
823017600,45.6
823104000,45.5
823190400,52.7
823276800,54.5
823363200,49.7
823449600,45.5
823536000,41.9
823622400,41.7
823708800,39.9
823795200,42.6
823881600,41.6
823968000,45.4
824054400,48.3
824140800,52.6
824227200,48.7
824313600,46.9
824400000,44.5
824486400,44.4
824572800,49.1
824659200,53.8
824745600,49.0
824832000,44.4
824918400,40.5
825004800,40.2
825091200,40.5
825177600,42.5
825264000,46.0
825350400,45.4
825436800,48.3
825523200,47.5
825609600,47.8
825696000,44.6
825782400,40.2
825868800,44.2
825955200,41.4
826041600,40.2
826128000,44.6
826214400,49.6
826300800,50.4
826387200,47.7
826473600,44.4
826560000,47.3
826646400,53.4
826732800,51.8
826819200,52.9
826905600,51.7
826992000,52.4
827078400,51.9
827164800,51.2
827251200,49.6
827337600,49.4
827424000,51.7
827510400,50.8
827596800,51.8
827683200,54.5
827769600,56.0
827856000,54.8
827942400,53.2
828028800,50.9
828115200,52.7
828201600,49.7
828288000,53.1
828374400,57.7
828460800,52.6
828547200,48.5
828633600,49.4
828720000,50.7
828806400,55.6
828892800,56.9
828979200,56.2
829065600,54.9
829152000,55.5
829238400,56.5
829324800,55.6
829411200,52.3
829497600,51.8
829584000,52.0
829670400,52.5
829756800,54.7
829843200,56.9
829929600,57.4
830016000,56.4
830102400,57.2
830188800,60.9
830275200,60.3
830361600,63.3
830448000,62.0
830534400,63.2
