timestamp,value
788889600,43.0
788976000,40.6
789062400,47.5
789148800,49.2
789235200,48.6
789321600,48.0
789408000,51.9
789494400,52.9
789580800,58.4
789667200,56.3
789753600,53.5
789840000,53.9
789926400,56.1
790012800,57.5
790099200,50.1
790185600,46.7
790272000,41.2
790358400,46.1
790444800,45.3
790531200,43.9
790617600,48.1
790704000,50.9
790790400,52.4
790876800,52.0
790963200,51.5
791049600,49.3
791136000,49.7
791222400,53.2
791308800,53.1
791395200,54.8
791481600,57.4
791568000,57.8
791654400,57.9
791740800,55.9
791827200,50.5
791913600,49.4
792000000,50.2
792086400,50.5
792172800,51.2
792259200,49.2
792345600,50.1
792432000,49.0
792518400,51.5
792604800,50.4
792691200,44.0
792777600,42.4
792864000,45.5
792950400,47.2
793036800,53.4
793123200,54.5
793209600,53.2
793296000,53.7
793382400,55.0
793468800,54.2
793555200,53.9
793641600,52.8
793728000,54.9
793814400,52.1
793900800,52.9
793987200,55.9
794073600,55.6
794160000,54.1
794246400,48.7
794332800,53.3
794419200,47.1
794505600,49.2
794592000,53.9
794678400,57.3
794764800,57.5
794851200,53.8
794937600,54.6
795024000,54.4
795110400,58.0
795196800,52.1
795283200,54.8
795369600,54.4
795456000,55.8
795542400,53.2
795628800,53.7
795715200,49.3
795801600,47.3
795888000,44.4
795974400,43.2
796060800,48.1
796147200,50.9
796233600,52.0
796320000,54.7
796406400,57.8
796492800,57.1
796579200,57.1
796665600,57.7
796752000,58.7
796838400,59.1
796924800,60.1
797011200,61.8
797097600,60.4
797184000,58.0
797270400,52.2
797356800,50.4
797443200,55.7
797529600,59.0
797616000,60.4
797702400,57.2
797788800,51.8
797875200,51.4
797961600,49.1
798048000,53.0
798134400,50.7
798220800,53.8
798307200,52.8
798393600,53.6
798480000,58.4
798566400,63.1
798652800,65.0
798739200,59.9
798825600,58.4
798912000,56.7
798998400,58.4
799084800,60.2
799171200,62.8
799257600,62.1
799344000,59.4
799430400,59.8
799516800,59.8
799603200,56.2
799689600,52.7
799776000,59.5
799862400,57.3
799948800,56.1
800035200,58.5
800121600,59.9
800208000,54.5
800294400,52.3
800380800,56.4
800467200,57.5
800553600,61.7
800640000,62.8
800726400,69.5
800812800,68.3
800899200,68.2
800985600,59.6
801072000,58.9
801158400,62.1
801244800,64.1
801331200,64.4
801417600,62.4
801504000,63.9
801590400,67.1
801676800,72.0
801763200,72.0
801849600,73.8
801936000,75.3
802022400,58.8
802108800,63.1
802195200,64.5
802281600,62.8
802368000,63.9
802454400,66.3
802540800,66.9
802627200,63.3
802713600,65.5
802800000,65.7
802886400,65.5
802972800,68.1
803059200,60.2
803145600,61.5
803232000,55.2
803318400,62.2
803404800,63.1
803491200,60.2
803577600,67.3
803664000,71.5
803750400,75.7
803836800,80.1
803923200,83.2
804009600,85.8
804096000,85.1
804182400,74.0
