timestamp,value
788889600,38.1
788976000,36.5
789062400,36.6
789148800,36.1
789235200,34.1
789321600,35.4
789408000,37.3
789494400,44.2
789580800,49.4
789667200,50.6
789753600,48.2
789840000,45.9
789926400,50.4
790012800,49.9
790099200,45.5
790185600,42.6
790272000,38.2
790358400,46.7
790444800,41.2
790531200,44.7
790617600,41.4
790704000,43.2
790790400,43.9
790876800,42.1
790963200,41.9
791049600,43.0
791136000,46.1
791222400,45.4
791308800,49.8
791395200,55.5
791481600,58.4
791568000,55.8
791654400,47.6
791740800,48.2
791827200,48.4
791913600,48.3
792000000,48.1
792086400,50.8
792172800,47.5
792259200,45.2
792345600,40.9
792432000,48.0
792518400,43.8
792604800,27.7
792691200,25.7
792777600,36.7
792864000,44.1
792950400,49.1
793036800,53.4
793123200,59.8
793209600,55.3
793296000,56.0
793382400,47.0
793468800,46.1
793555200,49.1
793641600,50.6
793728000,46.3
793814400,43.1
793900800,42.9
793987200,39.6
794073600,43.7
794160000,44.7
794246400,44.2
794332800,43.1
794419200,39.7
794505600,37.6
794592000,46.3
794678400,54.5
794764800,49.9
794851200,52.6
794937600,49.2
795024000,51.9
795110400,53.7
795196800,49.9
795283200,47.1
795369600,51.1
795456000,53.4
795542400,47.6
795628800,48.8
795715200,44.1
795801600,42.8
795888000,40.6
795974400,44.2
796060800,43.1
796147200,43.4
796233600,47.9
796320000,50.5
796406400,52.3
796492800,52.6
796579200,54.2
796665600,47.9
796752000,47.8
796838400,52.9
796924800,50.6
797011200,49.7
797097600,49.9
797184000,51.9
797270400,45.1
797356800,44.7
797443200,46.4
797529600,51.0
797616000,50.1
797702400,49.3
797788800,43.4
797875200,46.4
797961600,47.5
798048000,49.7
798134400,44.0
798220800,44.1
798307200,44.8
798393600,47.4
798480000,48.1
798566400,57.6
798652800,59.3
798739200,53.4
798825600,53.9
798912000,48.0
798998400,52.1
799084800,52.8
799171200,55.8
799257600,57.7
799344000,54.9
799430400,53.6
799516800,55.9
799603200,52.3
799689600,53.4
799776000,54.2
799862400,55.6
799948800,56.4
800035200,54.1
800121600,51.6
800208000,51.2
800294400,53.4
800380800,60.8
800467200,65.6
800553600,58.5
800640000,55.4
800726400,53.1
800812800,54.6
800899200,62.6
800985600,63.2
801072000,62.8
801158400,61.9
801244800,59.6
801331200,65.2
801417600,63.7
801504000,61.3
801590400,63.7
801676800,71.1
801763200,67.4
801849600,64.8
801936000,65.0
802022400,63.6
802108800,60.6
802195200,60.9
802281600,52.4
802368000,52.1
802454400,57.0
802540800,61.2
802627200,65.9
802713600,61.3
802800000,53.0
802886400,60.7
802972800,57.5
803059200,56.0
803145600,58.7
803232000,59.6
803318400,59.5
803404800,56.1
803491200,56.1
803577600,57.7
803664000,59.2
803750400,61.6
803836800,67.5
803923200,71.0
804009600,69.0
804096000,69.4
804182400,72.3
804268800,74.6
804355200,76.6
804441600,78.1
804528000,70.9
804614400,67.8
804700800,64.4
804787200,65.8
804873600,66.9
804960000,63.3
805046400,64.1
805132800,69.2
805219200,67.5
805305600,60.2
805392000,63.1
805478400,64.3
805564800,62.0
805651200,66.1
805737600,67.4
805824000,74.2
805910400,79.6
805996800,78.5
806083200,75.8
806169600,74.3
806256000,67.6
806342400,67.4
806428800,67.0
806515200,67.6
806601600,67.9
806688000,65.8
806774400,68.5
806860800,70.0
806947200,62.5
807033600,62.0
807120000,71.5
807206400,74.4
807292800,69.1
807379200,69.7
807465600,74.7
807552000,72.8
807638400,67.9
807724800,61.5
807811200,61.6
807897600,66.1
807984000,64.0
808070400,62.0
808156800,65.1
808243200,60.0
808329600,63.2
808416000,67.2
808502400,61.1
808588800,57.7
808675200,57.0
808761600,56.9
808848000,66.1
808934400,64.0
809020800,61.6
809107200,65.5
809193600,61.9
809280000,60.5
809366400,59.6
809452800,59.1
809539200,64.4
809625600,61.2
809712000,58.7
809798400,63.4
809884800,70.1
809971200,66.4
810057600,62.6
810144000,61.5
810230400,63.2
810316800,62.1
810403200,61.0
810489600,62.5
810576000,69.2
810662400,69.2
810748800,66.3
810835200,67.1
810921600,68.0
811008000,67.7
811094400,64.2
811180800,63.1
811267200,63.8
811353600,62.3
811440000,63.2
811526400,68.8
811612800,69.3
811699200,64.7
811785600,62.7
811872000,62.6
811958400,63.0
812044800,56.6
812131200,60.3
812217600,60.0
812304000,58.0
812390400,60.5
812476800,54.3
812563200,58.0
812649600,61.8
812736000,55.6
812822400,53.1
812908800,55.3
812995200,53.2
813081600,53.7
813168000,55.3
813254400,59.3
813340800,54.9
813427200,51.1
813513600,47.7
813600000,52.4
813686400,55.6
813772800,59.8
813859200,54.3
813945600,49.8
814032000,50.4
814118400,54.9
814204800,51.5
814291200,43.3
814377600,47.8
814464000,51.7
814550400,51.7
814636800,55.4
814723200,52.2
814809600,48.5
814896000,48.5
814982400,46.0
815068800,40.5
815155200,43.6
815241600,40.3
815328000,38.1
815414400,39.6
815500800,47.3
815587200,47.7
815673600,55.8
815760000,58.1
815846400,48.0
815932800,46.5
816019200,54.6
816105600,50.6
816192000,58.1
816278400,57.7
816364800,57.3
816451200,56.0
816537600,54.8
816624000,54.1
816710400,47.9
816796800,44.2
816883200,45.3
816969600,54.9
817056000,54.5
817142400,56.6
817228800,54.9
817315200,47.2
817401600,47.6
817488000,54.4
817574400,55.1
817660800,53.7
817747200,50.6
817833600,46.7
817920000,41.6
818006400,46.2
818092800,39.9
818179200,36.5
818265600,41.4
818352000,37.4
818438400,31.4
818524800,36.1
818611200,50.4
818697600,53.4
818784000,49.1
818870400,47.2
818956800,43.3
819043200,43.7
819129600,42.7
819216000,40.8
819302400,42.7
819388800,44.5
819475200,42.7
819561600,35.7
819648000,33.8
819734400,32.3
819820800,31.6
819907200,30.9
819993600,36.7
820080000,36.9
820166400,49.6
820252800,54.5
820339200,51.9
820425600,45.7
820512000,50.0
820598400,50.8
820684800,42.6
820771200,44.3
820857600,50.6
820944000,53.1
821030400,51.5
821116800,48.7
821203200,46.5
821289600,39.9
821376000,38.1
821462400,40.7
821548800,46.1
821635200,51.1
821721600,46.6
821808000,39.1
821894400,35.1
821980800,45.5
822067200,44.1
822153600,41.7
822240000,36.5
822326400,40.0
822412800,38.3
822499200,37.1
822585600,37.8
822672000,36.3
822758400,36.6
822844800,37.3
822931200,25.8
823017600,23.3
823104000,23.6
823190400,23.1
823276800,22.7
823363200,28.5
823449600,37.9
823536000,52.9
823622400,55.2
823708800,59.1
823795200,49.7
823881600,45.1
823968000,46.0
824054400,44.5
824140800,43.7
824227200,43.6
824313600,44.3
824400000,45.8
824486400,50.0
824572800,54.4
824659200,47.9
824745600,48.0
824832000,39.5
824918400,37.7
825004800,39.5
825091200,36.8
825177600,34.6
825264000,32.0
825350400,34.3
825436800,38.3
825523200,40.9
825609600,40.0
825696000,41.9
825782400,48.6
825868800,47.5
825955200,45.1
826041600,48.4
826128000,50.0
826214400,51.6
826300800,51.5
826387200,52.8
826473600,51.4
826560000,48.9
826646400,47.9
826732800,48.9
826819200,51.4
826905600,44.2
826992000,50.4
827078400,49.5
827164800,53.5
827251200,45.5
827337600,45.1
827424000,45.7
827510400,45.3
827596800,44.3
827683200,38.4
827769600,41.0
827856000,44.4
827942400,41.0
828028800,45.5
828115200,45.6
828201600,48.7
828288000,52.3
828374400,48.7
