timestamp,value
788889600,20.1
788976000,21.9
789062400,21.8
789148800,24.3
789235200,29.6
789321600,32.6
789408000,37.0
789494400,40.5
789580800,46.6
789667200,46.9
789753600,45.2
789840000,36.7
789926400,41.1
790012800,46.6
790099200,38.7
790185600,32.9
790272000,30.4
790358400,28.7
790444800,32.2
790531200,28.0
790617600,29.4
790704000,25.8
790790400,25.2
790876800,32.3
790963200,41.8
791049600,42.6
791136000,36.5
791222400,35.5
791308800,32.3
791395200,35.5
791481600,39.4
791568000,45.6
791654400,49.3
791740800,42.3
791827200,42.6
791913600,41.4
792000000,42.0
792086400,42.9
792172800,47.9
792259200,38.5
792345600,40.9
792432000,35.9
792518400,32.5
792604800,39.5
792691200,38.9
792777600,21.7
792864000,27.7
792950400,34.8
793036800,43.3
793123200,43.2
793209600,43.7
793296000,42.9
793382400,43.1
793468800,44.2
793555200,46.8
793641600,46.9
793728000,50.0
793814400,49.4
793900800,41.7
793987200,40.8
794073600,43.3
794160000,45.6
794246400,41.0
794332800,43.4
794419200,34.5
794505600,34.9
794592000,44.5
794678400,54.7
794764800,57.5
794851200,53.8
794937600,43.6
795024000,45.9
795110400,49.8
795196800,53.7
795283200,46.0
795369600,45.8
795456000,52.5
795542400,49.5
795628800,49.5
795715200,58.5
795801600,39.0
795888000,49.6
795974400,36.3
796060800,32.9
796147200,33.6
796233600,35.9
796320000,35.7
796406400,36.9
796492800,36.9
796579200,41.7
796665600,47.0
796752000,50.5
796838400,47.2
796924800,50.9
797011200,57.3
797097600,56.0
797184000,55.0
797270400,50.0
797356800,39.8
797443200,39.7
797529600,42.2
797616000,51.1
797702400,60.5
797788800,47.4
797875200,39.8
797961600,41.1
798048000,44.8
798134400,47.6
798220800,41.9
798307200,41.1
798393600,44.3
798480000,43.9
798566400,45.5
798652800,47.8
798739200,54.9
798825600,47.6
798912000,55.0
798998400,55.7
799084800,52.5
799171200,52.4
799257600,52.4
799344000,49.9
799430400,49.0
799516800,54.5
799603200,57.4
799689600,48.5
799776000,50.1
799862400,52.1
799948800,55.1
800035200,56.1
800121600,51.9
800208000,45.2
800294400,45.4
800380800,50.3
800467200,57.6
800553600,57.3
800640000,55.8
800726400,60.1
800812800,61.0
800899200,63.1
800985600,66.3
801072000,63.4
801158400,51.4
801244800,54.3
801331200,52.0
801417600,52.0
801504000,50.0
801590400,54.8
801676800,59.3
801763200,61.8
801849600,63.4
801936000,67.0
802022400,62.5
802108800,58.1
802195200,58.0
