timestamp,value
788889600,36.8
788976000,31.6
789062400,37.5
789148800,33.9
789235200,32.1
789321600,47.8
789408000,46.3
789494400,52.8
789580800,55.0
789667200,59.9
789753600,60.0
789840000,63.0
789926400,52.5
790012800,47.4
790099200,48.9
790185600,59.4
790272000,56.9
790358400,47.2
790444800,41.4
790531200,46.9
790617600,48.5
790704000,50.5
790790400,39.8
790876800,41.2
790963200,48.5
791049600,60.5
791136000,56.4
791222400,53.3
791308800,42.4
791395200,41.2
791481600,45.1
791568000,50.6
791654400,55.7
791740800,58.0
791827200,48.6
791913600,51.7
792000000,45.8
792086400,48.3
792172800,38.4
792259200,51.3
792345600,61.5
792432000,47.7
792518400,36.0
792604800,44.5
792691200,49.5
792777600,60.5
792864000,45.2
792950400,43.8
793036800,48.1
793123200,55.0
793209600,52.9
793296000,56.1
793382400,60.9
793468800,59.5
793555200,57.9
793641600,54.8
793728000,61.7
793814400,61.2
793900800,50.6
793987200,32.5
794073600,27.9
794160000,29.6
794246400,43.4
794332800,56.7
794419200,55.9
794505600,46.4
794592000,35.7
794678400,44.5
794764800,49.6
794851200,61.3
794937600,66.7
795024000,61.9
795110400,58.2
795196800,56.5
795283200,58.4
795369600,58.3
795456000,60.1
795542400,66.7
795628800,69.3
795715200,69.5
795801600,74.0
795888000,69.4
795974400,71.5
796060800,71.9
796147200,65.2
796233600,55.7
796320000,55.9
796406400,47.1
796492800,50.4
796579200,50.5
796665600,50.6
796752000,59.4
796838400,66.1
796924800,60.3
797011200,58.5
797097600,62.0
797184000,70.8
797270400,72.4
797356800,75.0
797443200,72.3
797529600,52.8
797616000,61.5
797702400,63.3
797788800,67.8
797875200,73.4
797961600,76.7
798048000,79.1
798134400,64.4
798220800,67.3
798307200,60.0
798393600,63.1
798480000,60.2
798566400,51.1
798652800,53.9
798739200,62.9
798825600,70.5
798912000,57.5
798998400,64.4
799084800,76.8
799171200,79.1
799257600,76.5
799344000,62.3
799430400,74.1
799516800,72.0
799603200,71.3
799689600,71.4
799776000,77.7
799862400,66.7
799948800,71.1
