timestamp,value
788889600,48.5
788976000,39.5
789062400,41.9
789148800,43.2
789235200,36.8
789321600,48.6
789408000,51.7
789494400,51.7
789580800,56.7
789667200,66.6
789753600,68.1
789840000,69.1
789926400,58.9
790012800,53.2
790099200,52.0
790185600,60.6
790272000,64.6
790358400,58.8
790444800,47.6
790531200,53.3
790617600,49.9
790704000,62.0
790790400,47.6
790876800,42.8
790963200,51.7
791049600,61.2
791136000,63.1
791222400,60.5
791308800,50.4
791395200,46.1
791481600,48.0
791568000,56.4
791654400,59.5
791740800,62.0
791827200,54.2
791913600,56.4
792000000,54.3
792086400,57.2
792172800,46.5
792259200,50.6
792345600,58.8
792432000,63.8
792518400,39.9
792604800,42.1
792691200,45.3
792777600,61.1
792864000,62.6
792950400,51.9
793036800,50.6
793123200,60.7
793209600,60.3
793296000,62.0
793382400,60.9
793468800,67.2
793555200,65.8
793641600,59.7
793728000,64.1
793814400,67.5
793900800,63.7
793987200,44.9
794073600,39.7
794160000,40.4
794246400,45.9
794332800,57.5
794419200,65.5
794505600,57.8
794592000,44.9
794678400,44.9
794764800,54.5
794851200,60.6
794937600,67.3
795024000,66.9
795110400,63.9
795196800,61.7
795283200,62.9
795369600,63.2
795456000,65.1
795542400,67.6
795628800,71.8
795715200,73.2
795801600,75.0
795888000,79.0
795974400,73.8
796060800,72.5
796147200,72.0
796233600,65.3
796320000,62.6
796406400,52.1
796492800,55.7
796579200,57.2
796665600,60.0
796752000,60.5
796838400,65.6
796924800,65.8
797011200,65.3
797097600,63.9
797184000,70.0
797270400,73.5
797356800,73.8
797443200,75.5
797529600,63.9
797616000,64.3
797702400,68.8
797788800,69.3
797875200,73.9
797961600,74.9
798048000,78.1
798134400,71.7
798220800,75.1
798307200,74.3
798393600,71.0
798480000,78.0
798566400,58.2
798652800,57.6
798739200,62.2
798825600,68.7
798912000,69.6
798998400,70.8
799084800,75.9
799171200,78.7
799257600,76.8
799344000,67.9
799430400,73.0
799516800,78.5
799603200,78.8
799689600,78.9
799776000,78.1
799862400,73.9
799948800,74.6
800035200,81.1
800121600,72.7
800208000,74.8
800294400,83.0
800380800,85.3
800467200,84.7
800553600,82.6
800640000,82.7
800726400,80.7
800812800,73.6
800899200,73.9
800985600,76.4
801072000,75.6
801158400,77.8
801244800,77.7
801331200,79.0
801417600,78.2
801504000,76.4
801590400,81.5
801676800,80.0
801763200,72.4
801849600,72.4
801936000,76.4
802022400,81.0
802108800,81.6
802195200,79.6
802281600,79.8
802368000,81.7
802454400,82.4
802540800,83.8
802627200,84.3
802713600,83.9
802800000,76.2
802886400,71.9
802972800,71.1
803059200,74.2
803145600,75.0
803232000,76.2
803318400,76.0
803404800,77.5
803491200,75.4
803577600,76.7
803664000,78.4
803750400,79.0
803836800,79.2
803923200,82.0
804009600,83.5
804096000,81.6
804182400,79.5
804268800,84.2
804355200,76.0
804441600,77.0
804528000,79.7
804614400,80.3
804700800,82.9
804787200,79.6
804873600,83.4
804960000,82.2
805046400,79.9
805132800,82.6
805219200,82.5
805305600,83.6
805392000,83.6
805478400,84.5
805564800,83.6
805651200,82.8
805737600,80.6
805824000,83.2
805910400,83.1
805996800,85.3
806083200,85.7
806169600,86.1
806256000,85.7
806342400,87.1
806428800,87.3
806515200,85.9
806601600,85.8
806688000,87.4
806774400,87.3
806860800,85.9
806947200,88.5
807033600,80.6
807120000,80.5
807206400,83.7
807292800,81.9
807379200,84.1
807465600,85.6
807552000,85.6
807638400,85.8
807724800,83.8
807811200,84.4
807897600,84.4
807984000,84.1
808070400,84.9
808156800,80.9
808243200,82.7
808329600,83.8
808416000,84.2
808502400,84.9
808588800,84.5
808675200,85.0
808761600,82.2
808848000,85.5
808934400,86.8
809020800,85.1
809107200,84.9
809193600,80.0
809280000,82.2
809366400,84.8
809452800,84.6
809539200,83.9
809625600,79.8
809712000,83.7
809798400,81.3
809884800,79.5
809971200,84.5
810057600,86.4
810144000,86.0
810230400,84.7
810316800,85.3
810403200,83.7
810489600,81.1
810576000,81.7
810662400,81.2
810748800,79.8
810835200,82.4
810921600,82.8
811008000,79.9
811094400,80.9
811180800,83.7
811267200,85.5
811353600,83.0
811440000,85.8
811526400,77.7
811612800,72.9
811699200,56.9
811785600,60.5
811872000,67.2
811958400,71.6
812044800,73.6
812131200,77.8
812217600,81.8
812304000,78.0
812390400,78.3
812476800,80.7
812563200,76.2
812649600,72.2
812736000,69.8
812822400,73.2
812908800,65.8
812995200,64.4
813081600,66.6
813168000,70.5
813254400,70.0
813340800,71.7
813427200,73.0
