timestamp,value
788889600,55.0
788976000,53.1
789062400,55.4
789148800,54.2
789235200,57.7
789321600,55.6
789408000,56.3
789494400,59.8
789580800,59.6
789667200,56.8
789753600,58.3
789840000,58.3
789926400,58.8
790012800,58.5
790099200,58.1
790185600,54.6
790272000,53.6
790358400,52.9
790444800,53.4
790531200,54.7
790617600,55.3
790704000,54.2
790790400,58.5
790876800,58.9
790963200,57.9
791049600,56.5
791136000,55.4
791222400,55.9
791308800,57.2
791395200,58.2
791481600,61.8
791568000,61.5
791654400,63.3
791740800,63.7
791827200,62.6
791913600,56.6
792000000,55.2
792086400,56.8
792172800,58.2
792259200,57.9
792345600,56.6
792432000,58.2
792518400,57.4
792604800,58.0
792691200,60.0
792777600,60.4
792864000,57.7
792950400,60.5
793036800,60.3
793123200,66.9
793209600,72.7
793296000,63.5
793382400,61.1
793468800,61.6
793555200,60.7
793641600,60.6
793728000,60.7
793814400,60.3
793900800,60.5
793987200,58.5
794073600,58.5
794160000,61.4
794246400,61.2
794332800,61.5
794419200,60.8
794505600,58.9
794592000,60.0
794678400,61.1
794764800,63.7
794851200,62.0
794937600,58.7
795024000,59.3
795110400,61.5
795196800,63.1
795283200,62.1
795369600,60.8
795456000,62.2
795542400,61.9
795628800,62.3
795715200,59.1
795801600,56.0
795888000,56.3
795974400,53.9
796060800,55.4
796147200,57.2
796233600,59.1
796320000,59.1
796406400,60.3
796492800,64.1
796579200,62.9
796665600,61.8
796752000,61.6
796838400,62.3
796924800,64.2
797011200,59.8
797097600,59.7
797184000,61.3
797270400,61.8
797356800,60.4
797443200,62.5
797529600,64.6
797616000,65.1
797702400,62.8
797788800,59.2
797875200,58.1
797961600,54.9
798048000,55.4
798134400,55.2
798220800,55.1
798307200,55.6
798393600,57.4
798480000,59.8
798566400,68.3
798652800,69.1
798739200,63.0
798825600,59.2
798912000,61.1
798998400,62.7
799084800,63.4
799171200,64.4
799257600,64.0
799344000,62.4
799430400,62.3
799516800,61.0
799603200,58.4
799689600,56.8
799776000,58.0
799862400,58.7
799948800,60.1
800035200,61.1
800121600,60.6
800208000,61.3
800294400,60.0
800380800,60.1
800467200,61.1
800553600,60.6
800640000,61.5
800726400,62.6
800812800,62.3
800899200,60.4
800985600,60.5
801072000,60.9
801158400,60.3
801244800,60.4
801331200,60.6
801417600,61.7
801504000,61.2
801590400,62.3
801676800,63.0
801763200,63.4
801849600,62.0
801936000,62.1
802022400,63.7
802108800,61.8
802195200,63.2
802281600,62.4
802368000,63.7
802454400,62.7
802540800,60.5
802627200,62.4
802713600,63.8
802800000,68.0
802886400,67.0
802972800,63.2
803059200,62.6
803145600,63.4
803232000,61.5
803318400,62.2
803404800,64.8
803491200,65.1
803577600,63.8
803664000,62.4
803750400,64.8
803836800,64.1
803923200,63.6
804009600,62.7
804096000,63.8
804182400,65.6
804268800,66.5
804355200,66.8
804441600,67.6
804528000,66.6
804614400,65.8
804700800,66.1
804787200,64.3
804873600,64.9
804960000,66.8
