timestamp,value
788889600,46.7
788976000,47.3
789062400,49.6
789148800,50.0
789235200,50.8
789321600,49.3
789408000,54.4
789494400,54.9
789580800,59.0
789667200,57.7
789753600,55.0
789840000,54.3
789926400,56.5
790012800,57.3
790099200,50.7
790185600,47.2
790272000,45.1
790358400,46.6
790444800,47.7
790531200,47.7
790617600,48.5
790704000,51.1
790790400,52.1
790876800,52.3
790963200,51.8
791049600,50.6
791136000,53.3
791222400,55.1
791308800,54.7
791395200,55.3
791481600,56.0
791568000,56.4
791654400,58.5
791740800,57.0
791827200,54.0
791913600,52.9
792000000,53.1
792086400,54.2
792172800,52.6
792259200,52.2
792345600,52.2
792432000,50.8
792518400,51.5
792604800,52.2
792691200,46.6
792777600,46.1
792864000,48.1
792950400,48.4
793036800,53.6
793123200,53.3
793209600,57.4
793296000,58.1
793382400,52.8
793468800,54.2
793555200,54.2
793641600,53.9
793728000,53.9
793814400,55.8
793900800,54.1
793987200,54.5
794073600,55.2
794160000,53.7
794246400,48.8
794332800,51.4
794419200,48.5
794505600,50.2
794592000,55.0
794678400,60.1
794764800,57.2
794851200,56.2
794937600,53.8
795024000,54.4
795110400,57.6
795196800,52.5
795283200,54.3
795369600,53.5
795456000,54.8
795542400,54.5
795628800,54.0
795715200,49.5
795801600,49.8
795888000,46.6
795974400,47.9
796060800,50.0
796147200,50.8
796233600,53.0
796320000,54.5
796406400,59.0
796492800,61.0
796579200,60.5
796665600,56.7
796752000,56.4
796838400,56.3
796924800,53.9
797011200,55.9
797097600,57.4
797184000,56.1
797270400,53.3
797356800,51.1
797443200,54.2
797529600,55.2
797616000,56.0
797702400,55.0
797788800,51.0
797875200,49.3
797961600,47.7
798048000,51.1
798134400,50.4
798220800,50.3
798307200,51.6
798393600,51.2
798480000,56.4
798566400,60.2
798652800,54.4
798739200,51.9
798825600,53.3
798912000,55.8
798998400,57.8
799084800,59.2
799171200,59.1
799257600,59.8
799344000,57.8
799430400,56.0
799516800,54.9
799603200,53.0
799689600,53.8
799776000,53.6
799862400,55.2
799948800,54.5
800035200,55.6
800121600,56.2
800208000,53.6
800294400,52.4
800380800,55.2
800467200,54.3
800553600,58.4
800640000,55.9
800726400,55.7
800812800,56.5
800899200,54.0
800985600,55.2
801072000,54.8
801158400,56.2
801244800,55.0
801331200,56.8
801417600,54.4
801504000,54.6
801590400,56.4
801676800,54.9
801763200,55.3
801849600,56.9
801936000,55.9
802022400,54.3
802108800,54.9
802195200,56.1
802281600,56.6
802368000,55.1
802454400,56.3
802540800,56.9
802627200,56.1
802713600,57.7
802800000,58.9
802886400,57.0
802972800,57.2
803059200,57.6
803145600,58.6
803232000,55.1
803318400,56.6
803404800,58.6
803491200,57.2
803577600,59.6
803664000,63.4
803750400,60.4
803836800,63.5
803923200,68.2
804009600,73.9
804096000,65.3
804182400,62.8
804268800,61.2
804355200,61.0
804441600,61.5
804528000,62.2
804614400,60.0
804700800,60.8
804787200,60.8
804873600,59.5
804960000,61.5
805046400,62.7
805132800,65.1
805219200,62.8
805305600,61.0
805392000,61.0
805478400,61.5
805564800,63.4
805651200,67.2
805737600,72.2
805824000,67.0
805910400,62.5
805996800,60.5
806083200,62.1
806169600,61.2
806256000,62.3
806342400,62.8
806428800,62.5
806515200,61.7
806601600,61.0
806688000,61.6
806774400,67.9
806860800,60.3
806947200,62.0
807033600,67.2
807120000,73.7
807206400,64.6
807292800,60.8
807379200,59.6
807465600,59.9
807552000,62.3
807638400,61.8
807724800,60.7
807811200,67.1
807897600,65.7
807984000,59.0
808070400,59.0
808156800,61.0
808243200,65.4
808329600,64.3
808416000,63.8
808502400,60.9
808588800,59.4
808675200,62.1
808761600,65.8
808848000,68.1
808934400,60.6
809020800,60.3
809107200,60.8
809193600,60.0
809280000,57.6
809366400,58.3
809452800,57.8
809539200,58.8
809625600,61.3
809712000,58.7
809798400,56.5
809884800,56.5
809971200,59.7
810057600,60.5
810144000,61.3
810230400,61.6
810316800,66.4
810403200,65.6
810489600,61.8
810576000,60.6
810662400,60.9
810748800,59.1
810835200,58.5
810921600,57.1
811008000,57.7
811094400,58.7
811180800,60.6
811267200,61.9
811353600,62.9
811440000,66.4
811526400,62.5
811612800,59.2
811699200,59.4
811785600,60.3
811872000,62.5
811958400,62.9
812044800,61.5
812131200,63.5
812217600,62.5
812304000,60.7
812390400,61.4
812476800,63.8
812563200,68.1
812649600,68.8
812736000,67.0
812822400,70.3
812908800,61.9
812995200,58.5
813081600,56.4
813168000,58.4
813254400,60.1
813340800,60.3
813427200,58.9
813513600,62.7
813600000,67.6
813686400,60.1
813772800,60.5
813859200,57.5
813945600,62.0
814032000,62.9
814118400,57.5
814204800,56.8
814291200,61.9
814377600,59.5
814464000,56.9
814550400,57.9
814636800,56.9
814723200,59.8
814809600,57.3
814896000,56.0
814982400,55.4
815068800,59.2
815155200,58.5
815241600,53.6
815328000,53.4
815414400,56.7
815500800,54.9
815587200,54.8
815673600,56.4
815760000,59.5
815846400,58.1
815932800,55.1
816019200,57.6
816105600,57.6
816192000,60.6
816278400,57.7
816364800,55.9
816451200,59.0
816537600,56.4
816624000,57.0
816710400,55.2
816796800,57.2
816883200,58.7
816969600,57.4
817056000,58.0
817142400,57.0
817228800,57.0
817315200,56.4
817401600,56.0
817488000,55.6
817574400,56.8
817660800,57.2
817747200,56.5
817833600,54.9
817920000,51.9
818006400,56.6
818092800,57.6
818179200,58.8
818265600,57.6
818352000,53.7
818438400,52.4
818524800,52.9
818611200,57.0
818697600,60.6
818784000,56.2
818870400,51.3
818956800,56.9
819043200,50.7
819129600,48.9
