timestamp,value
788889600,72.9
788976000,72.0
789062400,74.3
789148800,71.5
789235200,72.8
789321600,72.2
789408000,70.8
789494400,70.9
789580800,75.3
789667200,72.3
789753600,70.0
789840000,72.7
789926400,72.2
790012800,73.1
790099200,72.2
790185600,73.1
790272000,73.4
790358400,75.8
790444800,76.2
790531200,70.7
790617600,72.2
790704000,72.7
790790400,74.6
790876800,73.3
790963200,72.4
791049600,72.6
791136000,73.0
791222400,74.9
791308800,71.9
791395200,70.4
791481600,70.4
791568000,70.4
791654400,71.3
791740800,74.5
791827200,75.8
791913600,72.6
792000000,71.8
792086400,75.1
792172800,74.9
792259200,70.4
792345600,74.6
792432000,73.6
792518400,68.9
792604800,68.9
792691200,68.9
792777600,73.8
792864000,74.0
792950400,75.8
793036800,74.8
793123200,74.2
793209600,74.1
793296000,74.1
793382400,70.9
793468800,72.6
793555200,72.6
793641600,72.6
793728000,71.8
793814400,75.9
793900800,75.7
793987200,78.7
794073600,73.4
794160000,73.0
794246400,75.2
794332800,76.1
794419200,77.8
794505600,73.2
794592000,75.8
794678400,74.8
794764800,73.7
794851200,73.0
794937600,74.6
795024000,71.2
795110400,72.3
795196800,73.7
795283200,72.0
795369600,72.4
795456000,75.3
795542400,72.8
795628800,74.1
795715200,74.2
795801600,71.1
795888000,71.8
795974400,71.4
796060800,72.9
796147200,74.6
796233600,73.9
796320000,74.9
796406400,73.2
796492800,73.5
796579200,76.1
796665600,73.4
796752000,72.5
796838400,75.3
796924800,78.8
797011200,75.1
797097600,73.7
797184000,73.1
797270400,72.7
797356800,74.0
797443200,74.7
797529600,72.5
797616000,76.7
797702400,79.5
797788800,76.9
797875200,75.1
797961600,78.8
798048000,73.7
798134400,71.0
798220800,71.5
798307200,73.6
798393600,71.3
798480000,72.4
798566400,71.8
798652800,74.1
798739200,74.1
798825600,75.7
798912000,72.0
798998400,69.4
799084800,69.1
799171200,69.1
799257600,69.1
799344000,69.1
799430400,69.1
799516800,68.3
799603200,68.3
799689600,68.3
799776000,68.3
799862400,68.3
799948800,68.3
800035200,68.3
800121600,72.1
800208000,75.0
800294400,75.0
800380800,75.0
800467200,74.6
800553600,73.6
800640000,70.4
800726400,70.5
800812800,70.1
800899200,71.9
800985600,72.1
801072000,74.2
801158400,71.9
801244800,71.9
801331200,68.9
801417600,68.9
801504000,68.9
801590400,68.9
801676800,68.9
801763200,68.9
801849600,68.9
801936000,68.9
802022400,68.9
802108800,68.9
802195200,68.9
802281600,68.9
802368000,68.9
802454400,68.9
802540800,70.9
802627200,71.1
802713600,71.8
802800000,74.4
802886400,74.4
802972800,73.7
803059200,72.3
803145600,72.5
803232000,70.0
803318400,72.1
803404800,70.4
803491200,73.3
803577600,72.4
803664000,73.4
803750400,74.5
803836800,74.1
803923200,72.9
804009600,70.3
804096000,72.9
804182400,71.2
804268800,71.5
804355200,74.1
804441600,72.4
804528000,74.3
804614400,74.3
804700800,72.2
804787200,75.9
804873600,69.9
804960000,69.9
805046400,69.5
805132800,71.4
805219200,75.3
805305600,78.3
805392000,76.8
805478400,73.9
805564800,74.5
805651200,72.8
805737600,74.0
805824000,73.1
805910400,70.2
805996800,69.6
806083200,73.5
806169600,73.5
806256000,72.9
806342400,72.9
806428800,72.3
806515200,75.6
806601600,74.3
806688000,74.3
806774400,74.3
806860800,74.3
806947200,75.1
807033600,73.8
807120000,73.6
807206400,73.6
807292800,73.6
807379200,73.8
807465600,75.2
807552000,73.2
807638400,74.9
807724800,76.2
807811200,78.0
807897600,77.4
807984000,77.4
808070400,76.6
808156800,70.9
808243200,71.3
808329600,68.7
808416000,69.4
808502400,70.0
808588800,71.3
808675200,71.3
808761600,69.9
808848000,70.9
808934400,71.2
809020800,72.4
809107200,72.4
809193600,71.3
809280000,73.3
809366400,73.1
809452800,67.8
809539200,69.8
809625600,69.6
809712000,71.1
809798400,74.3
809884800,74.3
809971200,73.3
810057600,69.8
810144000,69.8
810230400,69.8
810316800,69.8
810403200,69.6
810489600,70.9
810576000,70.9
810662400,74.6
810748800,72.5
810835200,71.1
810921600,71.1
811008000,69.3
811094400,70.5
811180800,72.8
811267200,71.5
811353600,71.6
811440000,73.2
811526400,75.3
811612800,70.3
811699200,70.3
811785600,76.6
811872000,75.5
811958400,74.4
812044800,71.5
812131200,72.5
812217600,72.5
812304000,72.5
812390400,72.5
812476800,71.9
812563200,70.7
812649600,72.9
812736000,73.0
812822400,74.1
812908800,74.1
812995200,67.9
813081600,69.5
813168000,69.0
813254400,71.5
813340800,71.5
813427200,69.6
