timestamp,value
788889600,71.8
788976000,73.5
789062400,72.7
789148800,72.7
789235200,75.3
789321600,78.4
789408000,79.2
789494400,74.7
789580800,75.5
789667200,78.3
789753600,73.2
789840000,72.1
789926400,73.7
790012800,75.7
790099200,78.4
790185600,82.7
790272000,81.5
790358400,74.7
790444800,75.7
790531200,74.8
790617600,74.8
790704000,71.2
790790400,70.6
790876800,72.8
790963200,76.5
791049600,78.2
791136000,76.5
791222400,71.9
791308800,71.6
791395200,71.7
791481600,72.0
791568000,73.2
791654400,74.7
791740800,69.5
791827200,67.8
791913600,69.3
792000000,67.5
792086400,65.1
792172800,66.9
792259200,69.4
792345600,72.2
792432000,71.3
792518400,70.1
792604800,70.9
792691200,72.6
792777600,75.1
792864000,74.5
792950400,73.9
793036800,72.8
793123200,68.5
793209600,67.1
793296000,72.7
793382400,76.3
793468800,80.5
793555200,81.9
793641600,81.4
793728000,77.1
793814400,78.4
793900800,80.4
793987200,76.9
794073600,78.7
794160000,77.9
794246400,75.3
794332800,78.0
794419200,74.0
794505600,74.1
794592000,77.9
794678400,74.6
794764800,67.7
794851200,68.1
794937600,69.4
795024000,65.0
795110400,63.9
795196800,63.9
795283200,68.2
795369600,71.8
795456000,71.4
795542400,70.1
795628800,70.8
795715200,71.2
795801600,69.4
795888000,71.5
795974400,70.8
796060800,65.8
796147200,66.9
796233600,67.1
796320000,67.6
796406400,74.2
796492800,69.6
796579200,72.4
796665600,70.9
796752000,72.5
796838400,67.7
796924800,66.3
797011200,68.8
797097600,69.0
797184000,70.6
797270400,72.4
797356800,71.0
797443200,73.0
797529600,74.7
797616000,65.3
797702400,61.7
797788800,61.2
797875200,61.8
797961600,65.2
798048000,68.0
798134400,70.6
798220800,71.5
798307200,68.5
798393600,64.6
798480000,63.8
798566400,68.1
798652800,68.3
798739200,63.7
798825600,64.7
798912000,66.0
798998400,65.7
799084800,69.7
799171200,72.5
799257600,73.7
799344000,72.0
799430400,66.6
799516800,69.4
799603200,68.5
799689600,68.4
799776000,66.4
799862400,63.6
799948800,65.9
800035200,61.5
800121600,61.1
800208000,64.0
800294400,66.0
800380800,66.6
800467200,68.8
800553600,70.9
800640000,73.1
800726400,62.4
800812800,57.4
800899200,56.9
800985600,57.1
801072000,58.5
801158400,60.3
801244800,61.9
801331200,61.2
801417600,57.8
801504000,59.8
801590400,60.7
801676800,63.9
801763200,59.2
801849600,56.9
801936000,62.1
802022400,63.0
802108800,58.7
802195200,57.9
802281600,59.1
802368000,63.1
802454400,66.8
802540800,63.1
802627200,64.9
802713600,67.1
802800000,65.3
802886400,65.5
802972800,65.7
803059200,63.2
