timestamp,value
788889600,14.8
788976000,18.1
789062400,33.0
789148800,32.2
789235200,24.8
789321600,26.2
789408000,27.1
789494400,24.4
789580800,36.7
789667200,23.5
789753600,15.3
789840000,13.9
789926400,11.1
790012800,12.6
790099200,17.0
790185600,18.4
790272000,5.9
790358400,24.6
790444800,15.9
790531200,14.0
790617600,14.7
790704000,31.1
790790400,33.3
790876800,26.3
790963200,21.9
791049600,18.6
791136000,14.8
791222400,17.0
791308800,21.7
791395200,25.6
791481600,30.4
791568000,20.1
791654400,8.7
791740800,8.1
791827200,20.9
791913600,19.9
792000000,11.9
792086400,24.6
792172800,17.8
792259200,18.6
792345600,13.6
792432000,29.7
792518400,32.1
792604800,27.9
792691200,23.0
792777600,21.6
792864000,20.4
792950400,28.5
793036800,32.0
793123200,27.1
793209600,30.5
793296000,28.7
793382400,29.8
793468800,28.0
793555200,26.2
793641600,17.5
793728000,25.3
793814400,21.4
793900800,22.1
793987200,27.0
794073600,21.1
794160000,16.6
794246400,17.0
794332800,16.5
794419200,20.6
794505600,27.3
794592000,31.3
794678400,30.6
794764800,32.2
794851200,33.1
794937600,35.0
795024000,36.0
795110400,32.2
795196800,33.4
795283200,40.8
795369600,35.1
795456000,29.7
795542400,31.9
795628800,38.2
795715200,36.2
795801600,28.1
795888000,27.8
795974400,29.9
796060800,26.5
796147200,29.8
796233600,32.9
796320000,34.2
796406400,36.9
796492800,43.4
796579200,38.9
796665600,35.6
796752000,33.9
796838400,38.0
796924800,37.3
797011200,39.7
797097600,45.7
797184000,40.3
797270400,42.1
797356800,38.9
797443200,36.1
797529600,35.4
797616000,33.9
797702400,36.5
797788800,39.5
797875200,40.3
797961600,41.2
798048000,38.8
798134400,45.0
798220800,42.4
798307200,39.1
798393600,48.9
798480000,47.5
798566400,48.5
798652800,48.3
798739200,46.9
798825600,47.5
798912000,46.5
798998400,50.0
799084800,52.7
799171200,50.4
799257600,49.3
799344000,51.1
799430400,48.3
799516800,50.9
799603200,47.7
799689600,47.8
799776000,47.8
799862400,48.3
799948800,52.0
800035200,54.7
800121600,55.9
800208000,54.3
800294400,54.3
800380800,54.7
800467200,55.9
800553600,53.9
800640000,51.6
800726400,57.4
800812800,58.0
800899200,56.4
800985600,52.5
801072000,51.8
801158400,48.0
801244800,48.5
801331200,55.0
801417600,50.9
801504000,51.0
801590400,57.1
801676800,58.1
801763200,50.9
801849600,51.6
801936000,53.6
802022400,52.6
802108800,56.4
802195200,55.1
802281600,54.2
802368000,54.8
802454400,54.6
802540800,57.6
802627200,59.2
802713600,56.1
802800000,53.5
802886400,55.0
802972800,56.6
803059200,53.8
803145600,60.3
803232000,62.3
803318400,62.4
803404800,60.7
803491200,57.1
803577600,54.7
803664000,53.3
803750400,54.1
803836800,52.5
803923200,55.2
804009600,57.4
804096000,59.7
804182400,59.1
804268800,58.9
804355200,58.4
804441600,59.6
804528000,60.0
804614400,65.5
804700800,64.6
804787200,59.5
804873600,63.0
804960000,62.6
805046400,63.0
805132800,66.7
805219200,63.9
805305600,65.0
805392000,65.1
805478400,67.9
805564800,68.1
805651200,65.4
805737600,64.9
805824000,63.2
805910400,64.4
805996800,67.2
806083200,66.3
806169600,64.9
806256000,67.4
806342400,67.5
806428800,71.1
806515200,71.9
806601600,71.0
806688000,73.5
806774400,75.1
806860800,75.0
806947200,73.9
807033600,69.7
807120000,70.2
807206400,66.2
807292800,64.6
807379200,70.0
807465600,66.7
807552000,62.3
807638400,63.0
807724800,62.0
807811200,67.9
807897600,66.6
807984000,64.0
808070400,63.7
808156800,67.8
808243200,67.9
808329600,70.6
808416000,70.8
808502400,65.2
808588800,69.7
808675200,63.6
808761600,68.7
808848000,68.4
808934400,67.3
809020800,67.0
809107200,66.8
809193600,69.7
809280000,74.0
809366400,69.6
809452800,69.1
809539200,65.4
809625600,66.0
809712000,68.9
809798400,70.1
809884800,67.3
809971200,68.2
810057600,68.4
810144000,62.0
810230400,60.0
810316800,60.3
810403200,62.8
810489600,60.9
810576000,61.9
810662400,68.5
810748800,61.9
810835200,59.3
810921600,64.7
811008000,56.4
811094400,55.1
811180800,57.7
811267200,55.9
811353600,53.6
811440000,56.0
811526400,55.6
811612800,58.9
811699200,60.5
811785600,61.6
811872000,61.4
811958400,61.5
812044800,64.1
812131200,63.6
812217600,58.2
812304000,60.7
812390400,57.2
812476800,57.9
812563200,55.1
812649600,55.6
812736000,57.1
812822400,53.5
812908800,49.9
812995200,47.9
813081600,49.7
813168000,48.1
813254400,47.5
813340800,52.3
813427200,53.0
813513600,55.3
813600000,57.3
813686400,58.7
813772800,63.1
813859200,60.1
813945600,56.3
814032000,55.2
814118400,53.8
814204800,50.1
814291200,51.6
814377600,51.7
814464000,58.5
814550400,54.3
814636800,49.2
814723200,42.7
814809600,43.9
814896000,55.1
814982400,55.2
815068800,54.3
815155200,41.5
815241600,41.8
815328000,40.3
815414400,40.9
815500800,35.7
815587200,46.0
815673600,56.0
815760000,34.9
815846400,38.9
815932800,39.2
816019200,36.8
816105600,36.4
816192000,50.1
816278400,49.0
816364800,35.1
816451200,45.0
816537600,39.0
816624000,37.2
816710400,50.7
816796800,39.5
816883200,32.1
816969600,44.4
817056000,42.1
817142400,33.0
817228800,30.0
817315200,37.2
817401600,31.8
817488000,38.2
817574400,37.4
817660800,35.0
817747200,30.9
817833600,36.5
817920000,37.4
818006400,37.2
818092800,37.1
818179200,35.8
818265600,30.2
818352000,30.2
818438400,26.8
818524800,32.9
818611200,32.5
818697600,28.3
818784000,20.2
818870400,18.4
818956800,23.7
819043200,16.4
819129600,19.4
819216000,23.2
819302400,20.0
