timestamp,value
788889600,26.4
788976000,18.5
789062400,14.7
789148800,3.0
789235200,14.4
789321600,24.6
789408000,12.5
789494400,15.4
789580800,6.3
789667200,0.2
789753600,10.6
789840000,24.9
789926400,31.1
790012800,32.8
790099200,29.7
790185600,20.1
790272000,19.7
790358400,33.1
790444800,29.3
790531200,30.3
790617600,24.2
790704000,24.5
790790400,24.9
790876800,26.3
790963200,25.4
791049600,24.1
791136000,20.8
791222400,6.9
791308800,14.2
791395200,28.3
791481600,29.5
791568000,27.1
791654400,9.6
791740800,14.2
791827200,14.1
791913600,-10.6
792000000,-1.4
792086400,4.3
792172800,3.1
792259200,16.4
792345600,19.5
792432000,1.7
792518400,1.2
792604800,8.8
792691200,7.6
792777600,18.9
792864000,20.6
792950400,18.0
793036800,28.9
793123200,31.9
793209600,25.6
793296000,13.6
793382400,14.1
793468800,27.1
793555200,9.0
793641600,7.0
793728000,-0.2
793814400,13.2
793900800,18.2
793987200,9.1
794073600,8.0
794160000,14.5
794246400,24.5
794332800,17.6
794419200,9.4
794505600,15.3
794592000,9.2
794678400,6.4
794764800,13.2
794851200,33.5
794937600,41.7
795024000,48.2
795110400,49.4
795196800,44.0
795283200,33.9
795369600,31.6
795456000,30.4
795542400,33.9
795628800,36.3
795715200,34.8
795801600,33.0
795888000,29.8
795974400,32.8
796060800,32.9
796147200,38.5
796233600,35.7
796320000,37.8
796406400,36.8
796492800,30.1
796579200,30.0
796665600,30.5
796752000,34.5
796838400,38.4
796924800,17.9
797011200,15.4
797097600,26.9
797184000,29.2
797270400,30.9
797356800,25.1
797443200,29.5
797529600,37.3
797616000,42.7
797702400,34.0
797788800,34.6
797875200,32.8
797961600,37.4
798048000,38.8
798134400,35.7
798220800,37.1
798307200,34.5
798393600,39.1
798480000,36.5
798566400,36.1
798652800,37.5
798739200,38.4
798825600,38.2
798912000,38.3
798998400,36.4
799084800,39.8
799171200,39.8
799257600,45.0
799344000,45.8
799430400,45.5
799516800,51.3
799603200,44.2
799689600,45.2
799776000,47.1
799862400,47.8
799948800,49.2
800035200,49.7
800121600,50.3
800208000,54.7
800294400,57.1
800380800,50.4
800467200,47.4
800553600,43.5
800640000,44.8
800726400,45.1
800812800,46.1
800899200,46.2
800985600,44.6
801072000,48.2
801158400,49.5
801244800,45.6
801331200,50.1
801417600,53.1
801504000,54.1
801590400,52.7
801676800,55.4
801763200,59.2
801849600,64.3
801936000,65.9
802022400,66.8
802108800,63.4
802195200,58.0
802281600,63.0
802368000,65.9
802454400,56.6
802540800,47.3
802627200,51.2
802713600,51.2
802800000,53.0
802886400,52.3
802972800,57.7
803059200,57.5
803145600,61.1
803232000,64.9
803318400,70.9
803404800,74.6
803491200,71.5
803577600,70.1
803664000,68.4
803750400,67.4
803836800,70.4
803923200,71.4
804009600,71.8
804096000,66.5
804182400,69.8
804268800,66.6
804355200,68.0
804441600,64.7
804528000,51.9
804614400,54.3
804700800,61.6
804787200,66.6
804873600,67.6
804960000,66.9
805046400,53.8
805132800,53.1
805219200,59.1
805305600,54.8
805392000,61.4
