timestamp,value
788889600,51.2
788976000,54.4
789062400,44.5
789148800,40.5
789235200,37.7
789321600,45.5
789408000,65.2
789494400,43.9
789580800,44.3
789667200,50.0
789753600,53.1
789840000,57.7
789926400,61.9
790012800,66.9
790099200,60.0
790185600,54.7
790272000,52.7
790358400,51.8
790444800,56.4
790531200,50.6
790617600,46.5
790704000,46.9
790790400,44.7
790876800,40.8
790963200,40.4
791049600,48.2
791136000,45.8
791222400,57.0
791308800,56.3
791395200,45.6
791481600,41.7
791568000,44.9
791654400,54.9
791740800,59.0
791827200,53.6
791913600,42.2
792000000,36.9
792086400,39.7
792172800,39.0
792259200,31.6
792345600,44.1
792432000,59.6
792518400,52.6
792604800,47.8
792691200,48.5
792777600,56.2
792864000,67.6
792950400,66.3
793036800,51.8
793123200,49.1
793209600,55.7
793296000,54.0
793382400,45.6
793468800,49.9
793555200,57.9
793641600,51.4
793728000,52.7
793814400,62.3
793900800,65.5
793987200,63.6
794073600,56.1
794160000,53.5
794246400,56.8
794332800,55.3
794419200,63.2
794505600,66.8
794592000,67.9
794678400,51.9
794764800,45.8
794851200,52.5
794937600,61.8
795024000,65.2
795110400,65.4
795196800,64.4
795283200,65.5
795369600,64.9
795456000,64.4
795542400,58.6
795628800,61.1
795715200,68.7
795801600,68.5
795888000,74.0
795974400,69.0
796060800,59.8
796147200,61.6
796233600,65.0
796320000,71.1
796406400,63.2
796492800,66.5
796579200,60.2
796665600,58.7
796752000,57.7
796838400,62.5
796924800,64.5
797011200,64.0
797097600,59.2
797184000,62.6
797270400,64.3
797356800,67.5
797443200,70.2
797529600,73.0
797616000,73.3
797702400,72.3
797788800,64.6
797875200,64.7
797961600,69.5
798048000,73.7
798134400,74.8
798220800,74.2
798307200,76.8
798393600,76.9
798480000,76.4
798566400,76.1
798652800,70.6
798739200,58.0
798825600,62.8
798912000,68.0
798998400,70.4
799084800,71.7
799171200,71.5
799257600,74.7
799344000,74.7
799430400,64.1
799516800,68.5
799603200,75.7
799689600,70.7
799776000,70.9
799862400,73.8
799948800,75.3
800035200,77.4
800121600,73.9
800208000,77.2
800294400,75.7
800380800,80.3
800467200,81.7
800553600,77.6
800640000,79.9
800726400,81.5
800812800,78.3
800899200,70.6
800985600,69.9
801072000,75.0
801158400,73.9
801244800,75.1
801331200,75.7
801417600,77.5
801504000,78.5
801590400,78.3
801676800,78.9
801763200,76.1
801849600,76.0
801936000,79.6
802022400,79.9
802108800,74.4
802195200,76.3
802281600,77.0
802368000,78.2
802454400,81.6
802540800,83.7
802627200,87.1
802713600,80.4
802800000,82.9
802886400,81.3
802972800,72.9
803059200,71.4
803145600,73.3
803232000,75.1
803318400,74.9
803404800,73.7
803491200,73.6
803577600,72.6
803664000,73.8
803750400,78.0
803836800,77.9
803923200,77.9
804009600,79.6
