timestamp,value
788889600,41.3
788976000,39.8
789062400,44.5
789148800,42.4
789235200,39.2
789321600,35.9
789408000,39.9
789494400,45.9
789580800,49.0
789667200,49.3
789753600,47.5
789840000,46.0
789926400,47.0
790012800,47.3
790099200,44.9
790185600,43.4
790272000,40.5
790358400,46.2
790444800,42.7
790531200,51.0
790617600,51.0
790704000,49.8
790790400,49.3
790876800,48.3
790963200,50.2
791049600,47.4
791136000,46.9
791222400,48.2
791308800,49.6
791395200,52.0
791481600,53.5
791568000,52.2
791654400,47.6
791740800,47.8
791827200,48.6
791913600,48.5
792000000,51.1
792086400,48.2
792172800,49.3
792259200,46.3
792345600,44.1
792432000,43.3
792518400,36.7
792604800,30.0
792691200,28.2
792777600,37.5
792864000,43.0
792950400,47.1
793036800,47.9
793123200,53.9
793209600,56.2
793296000,50.3
793382400,46.3
793468800,47.3
793555200,49.6
793641600,48.2
793728000,42.9
793814400,42.3
793900800,41.8
793987200,41.5
794073600,42.0
794160000,41.6
794246400,44.0
794332800,38.7
794419200,39.4
794505600,41.1
794592000,45.7
794678400,52.0
794764800,51.1
794851200,50.9
794937600,47.0
795024000,50.3
795110400,53.9
795196800,48.8
795283200,46.4
795369600,51.5
795456000,52.1
795542400,48.4
795628800,48.8
795715200,47.0
795801600,41.5
795888000,43.6
795974400,42.6
796060800,42.2
796147200,44.6
796233600,47.4
796320000,52.6
796406400,55.2
796492800,58.9
796579200,58.1
796665600,50.1
796752000,50.8
796838400,53.8
796924800,53.9
797011200,48.4
797097600,48.7
797184000,52.5
797270400,47.1
797356800,46.6
797443200,46.4
797529600,47.3
797616000,46.8
797702400,48.0
797788800,45.1
797875200,46.2
797961600,48.9
798048000,51.1
798134400,45.6
798220800,44.8
798307200,47.3
798393600,50.2
798480000,53.2
798566400,57.5
798652800,56.8
798739200,54.5
798825600,59.7
798912000,58.9
798998400,53.0
799084800,55.6
799171200,55.7
799257600,56.0
799344000,53.2
799430400,54.1
799516800,55.2
799603200,54.4
799689600,54.3
799776000,54.2
799862400,57.4
799948800,58.0
800035200,54.1
800121600,52.4
800208000,51.3
800294400,57.8
800380800,65.2
800467200,66.0
800553600,60.4
800640000,53.9
800726400,53.9
800812800,57.6
800899200,61.7
800985600,65.3
801072000,65.8
801158400,65.8
801244800,64.7
801331200,68.9
801417600,64.0
801504000,62.8
801590400,65.5
801676800,70.8
801763200,68.4
801849600,63.0
801936000,64.0
802022400,64.3
802108800,62.0
802195200,61.7
802281600,54.0
802368000,50.7
802454400,58.1
802540800,67.9
802627200,69.4
802713600,62.6
802800000,56.8
802886400,60.4
802972800,56.0
803059200,56.4
803145600,56.0
803232000,56.8
803318400,56.1
803404800,53.9
803491200,55.0
803577600,56.8
