timestamp,value
788889600,23.3
788976000,33.2
789062400,32.1
789148800,26.8
789235200,25.3
789321600,28.6
789408000,39.5
789494400,43.0
789580800,25.1
789667200,20.3
789753600,21.3
789840000,24.0
789926400,18.3
790012800,17.3
790099200,25.2
790185600,25.7
790272000,27.5
790358400,24.1
790444800,24.2
790531200,30.5
790617600,35.0
790704000,34.4
790790400,26.8
790876800,24.7
790963200,30.3
791049600,18.5
791136000,21.6
791222400,20.3
791308800,16.9
791395200,18.6
791481600,22.8
791568000,20.3
791654400,24.6
791740800,26.4
791827200,23.0
791913600,24.6
792000000,27.9
792086400,33.4
792172800,37.3
792259200,30.5
792345600,31.9
792432000,33.5
792518400,32.5
792604800,29.3
792691200,31.9
792777600,26.4
792864000,27.2
792950400,29.3
793036800,32.4
793123200,35.2
793209600,31.6
793296000,28.7
793382400,31.1
793468800,33.6
793555200,35.0
793641600,35.6
793728000,30.9
793814400,40.3
793900800,33.7
793987200,31.5
794073600,34.0
794160000,32.3
794246400,31.9
794332800,38.2
794419200,43.0
794505600,43.1
794592000,42.6
794678400,46.6
794764800,36.5
794851200,39.2
794937600,39.1
795024000,38.5
795110400,38.3
795196800,49.4
795283200,40.0
795369600,30.9
795456000,35.1
795542400,42.6
795628800,49.3
795715200,47.3
795801600,49.1
795888000,43.7
795974400,38.4
796060800,39.1
796147200,42.9
796233600,40.8
796320000,44.1
796406400,42.2
796492800,46.1
796579200,39.4
796665600,40.3
796752000,37.2
796838400,41.2
796924800,44.1
797011200,43.6
797097600,43.4
797184000,51.9
797270400,53.3
797356800,45.3
797443200,44.2
797529600,40.8
797616000,44.9
797702400,52.9
797788800,56.6
797875200,55.2
797961600,50.1
798048000,52.3
798134400,50.7
798220800,49.3
798307200,48.9
798393600,54.1
798480000,50.0
798566400,52.0
798652800,53.3
798739200,52.7
798825600,54.2
798912000,53.8
798998400,57.0
799084800,57.7
799171200,61.4
799257600,61.5
799344000,58.2
799430400,51.9
799516800,53.2
799603200,58.3
799689600,60.6
799776000,57.7
799862400,64.2
799948800,68.5
800035200,50.1
800121600,52.8
800208000,63.6
800294400,54.5
800380800,54.5
800467200,58.9
800553600,63.9
800640000,63.8
800726400,67.7
800812800,69.7
800899200,62.4
800985600,58.7
801072000,60.1
801158400,65.7
801244800,68.7
801331200,60.0
801417600,61.7
801504000,64.0
801590400,64.6
801676800,62.9
801763200,61.0
801849600,61.2
801936000,68.6
802022400,62.5
802108800,62.0
802195200,60.6
802281600,61.6
802368000,65.5
802454400,70.2
802540800,71.5
802627200,71.0
802713600,71.0
802800000,72.1
802886400,68.7
802972800,71.8
803059200,71.7
803145600,69.7
803232000,69.3
803318400,72.3
803404800,63.3
803491200,68.4
803577600,73.1
803664000,74.3
803750400,70.8
803836800,71.1
803923200,72.5
804009600,69.9
804096000,69.1
804182400,70.1
804268800,72.3
804355200,73.4
804441600,70.4
804528000,70.8
