timestamp,value
788889600,40.1
788976000,42.3
789062400,36.5
789148800,36.3
789235200,38.5
789321600,42.2
789408000,46.3
789494400,47.6
789580800,43.5
789667200,40.2
789753600,37.3
789840000,36.0
789926400,34.5
790012800,36.3
790099200,37.4
790185600,37.6
790272000,43.6
790358400,45.0
790444800,38.3
790531200,44.7
790617600,48.4
790704000,40.7
790790400,36.9
790876800,39.6
790963200,46.0
791049600,41.1
791136000,39.0
791222400,36.7
791308800,41.0
791395200,40.5
791481600,37.0
791568000,33.9
791654400,34.3
791740800,35.0
791827200,32.5
791913600,31.8
792000000,38.4
792086400,45.9
792172800,43.8
792259200,46.9
792345600,47.6
792432000,50.3
792518400,45.4
792604800,43.0
792691200,44.8
792777600,41.6
792864000,40.4
792950400,43.6
793036800,43.5
793123200,44.5
793209600,43.0
793296000,40.7
793382400,40.8
793468800,43.2
793555200,45.9
793641600,45.8
793728000,44.1
793814400,46.2
793900800,38.3
793987200,45.5
794073600,51.3
794160000,44.2
794246400,39.9
794332800,46.2
794419200,52.5
794505600,59.4
794592000,56.2
794678400,49.3
794764800,49.2
794851200,50.2
794937600,48.0
795024000,50.4
795110400,52.7
795196800,53.9
795283200,48.9
795369600,39.4
795456000,44.4
795542400,51.2
795628800,56.5
795715200,62.4
795801600,61.0
795888000,54.4
795974400,49.5
796060800,41.3
796147200,48.9
796233600,57.8
796320000,53.3
796406400,51.9
796492800,49.4
796579200,49.6
796665600,52.0
796752000,47.3
796838400,47.7
796924800,52.5
797011200,58.7
797097600,62.2
797184000,59.7
797270400,66.8
797356800,53.7
797443200,50.5
797529600,52.5
797616000,59.9
797702400,60.2
797788800,57.7
797875200,57.5
797961600,59.5
798048000,56.8
798134400,55.8
798220800,53.6
798307200,58.6
798393600,66.5
798480000,64.5
798566400,60.0
798652800,52.7
798739200,56.5
798825600,58.7
798912000,62.7
798998400,61.1
799084800,60.5
799171200,60.1
799257600,65.3
799344000,63.7
799430400,60.4
799516800,56.8
799603200,63.0
799689600,67.0
799776000,70.3
799862400,72.8
799948800,71.8
800035200,59.9
800121600,56.4
800208000,61.7
800294400,72.7
800380800,61.6
800467200,60.2
800553600,68.2
800640000,68.2
800726400,68.2
800812800,69.7
800899200,65.9
800985600,64.7
801072000,68.8
801158400,70.3
801244800,70.7
801331200,70.3
801417600,69.9
801504000,69.4
801590400,75.0
801676800,70.7
801763200,71.2
801849600,69.6
801936000,70.7
802022400,78.8
802108800,74.8
802195200,69.7
802281600,75.0
802368000,73.1
802454400,67.8
802540800,68.0
802627200,67.7
802713600,72.0
802800000,70.4
802886400,71.0
802972800,70.7
803059200,73.5
803145600,69.7
803232000,71.8
803318400,69.7
803404800,79.2
803491200,80.3
803577600,78.7
803664000,73.1
803750400,69.7
803836800,71.1
803923200,73.6
804009600,76.9
804096000,74.2
804182400,74.8
804268800,77.8
804355200,80.1
804441600,78.2
804528000,76.8
804614400,72.2
804700800,73.5
804787200,70.4
804873600,69.3
804960000,72.5
805046400,77.6
805132800,83.5
805219200,83.9
805305600,84.9
805392000,85.3
805478400,85.3
805564800,84.8
805651200,86.0
805737600,87.3
805824000,89.1
805910400,85.5
805996800,87.3
806083200,91.1
806169600,91.6
806256000,89.4
806342400,84.2
806428800,84.7
806515200,85.2
806601600,84.0
806688000,84.2
806774400,82.9
806860800,82.3
806947200,83.4
807033600,84.2
807120000,85.0
807206400,86.1
807292800,84.8
807379200,84.4
807465600,84.7
807552000,86.3
807638400,86.6
807724800,85.2
807811200,86.8
807897600,82.9
807984000,82.4
808070400,86.9
808156800,89.4
808243200,89.4
808329600,85.4
808416000,84.4
808502400,84.7
808588800,85.5
808675200,83.5
808761600,81.1
808848000,80.8
808934400,81.7
809020800,83.3
809107200,81.6
809193600,80.9
809280000,78.3
809366400,76.4
809452800,81.4
809539200,81.3
809625600,83.9
809712000,85.1
809798400,85.0
809884800,86.2
809971200,88.3
810057600,87.5
810144000,84.0
810230400,81.8
810316800,87.1
810403200,89.6
810489600,82.1
810576000,83.6
810662400,72.1
810748800,68.7
810835200,75.7
810921600,76.0
811008000,71.8
811094400,72.8
811180800,70.6
811267200,68.7
811353600,70.5
811440000,72.7
811526400,65.6
811612800,71.1
811699200,72.5
811785600,68.4
811872000,70.9
811958400,72.7
812044800,73.2
812131200,70.2
812217600,71.8
812304000,72.4
812390400,72.8
812476800,72.8
812563200,76.6
812649600,65.7
812736000,62.7
812822400,60.1
812908800,63.6
812995200,64.2
813081600,61.8
813168000,64.0
813254400,68.9
813340800,68.9
813427200,69.0
813513600,70.3
813600000,70.1
813686400,67.6
813772800,63.7
813859200,65.3
813945600,63.6
814032000,63.4
814118400,65.2
814204800,67.1
814291200,67.5
814377600,67.8
814464000,59.0
814550400,59.2
814636800,64.0
814723200,61.9
814809600,62.6
814896000,62.0
814982400,65.9
815068800,54.0
815155200,48.8
815241600,47.9
815328000,54.3
815414400,58.4
815500800,65.0
815587200,66.4
815673600,49.4
815760000,44.8
815846400,53.4
815932800,52.5
816019200,55.7
816105600,61.5
816192000,58.2
816278400,52.3
816364800,50.1
816451200,53.2
816537600,55.9
816624000,59.1
816710400,52.9
816796800,48.9
816883200,46.5
816969600,49.0
817056000,39.7
817142400,39.7
817228800,48.0
817315200,53.2
817401600,52.0
817488000,54.1
817574400,51.0
817660800,55.2
817747200,44.3
817833600,47.9
817920000,44.1
818006400,39.6
818092800,36.8
818179200,34.4
818265600,34.6
818352000,36.6
818438400,40.7
818524800,49.1
818611200,51.0
818697600,44.3
818784000,46.9
818870400,51.1
818956800,47.1
819043200,42.7
819129600,42.8
819216000,36.6
819302400,39.6
819388800,38.6
819475200,39.2
819561600,44.9
819648000,46.1
819734400,35.2
819820800,36.2
819907200,37.8
819993600,42.3
820080000,36.4
820166400,34.0
820252800,37.8
820339200,41.2
820425600,40.2
820512000,43.0
820598400,39.9
820684800,47.3
820771200,52.7
820857600,43.6
820944000,45.9
821030400,30.0
821116800,27.4
821203200,33.1
821289600,41.5
821376000,43.9
821462400,46.6
821548800,40.8
821635200,34.1
821721600,35.5
821808000,35.4
821894400,34.1
821980800,31.9
822067200,36.3
822153600,41.1
822240000,40.0
822326400,37.2
822412800,39.1
822499200,34.6
822585600,36.1
822672000,37.6
822758400,40.1
822844800,40.2
822931200,42.3
823017600,42.3
823104000,34.3
823190400,30.3
823276800,36.4
823363200,42.6
823449600,36.7
823536000,37.4
823622400,45.1
823708800,36.9
823795200,30.7
823881600,35.7
823968000,46.4
824054400,58.1
824140800,62.9
824227200,58.3
824313600,43.9
824400000,37.8
824486400,31.0
824572800,30.9
824659200,34.7
824745600,33.2
824832000,34.6
