timestamp,value
788889600,14.0
788976000,25.6
789062400,20.8
789148800,18.3
789235200,12.8
789321600,26.3
789408000,24.6
789494400,30.9
789580800,16.2
789667200,11.3
789753600,12.3
789840000,15.1
789926400,11.6
790012800,13.6
790099200,13.7
790185600,12.7
790272000,20.6
790358400,13.6
790444800,17.4
790531200,25.4
790617600,25.8
790704000,21.5
790790400,13.9
790876800,23.5
790963200,16.7
791049600,13.5
791136000,8.6
791222400,11.7
791308800,7.5
791395200,19.4
791481600,16.2
791568000,16.0
791654400,15.9
791740800,12.7
791827200,10.9
791913600,13.9
792000000,21.5
792086400,25.8
792172800,23.4
792259200,21.0
792345600,30.9
792432000,33.5
792518400,23.7
792604800,21.4
792691200,19.5
792777600,19.0
792864000,20.8
792950400,33.0
793036800,28.6
793123200,24.3
793209600,23.0
793296000,23.8
793382400,27.4
793468800,26.3
793555200,33.2
793641600,25.7
793728000,22.6
793814400,25.5
793900800,23.1
793987200,29.8
794073600,29.9
794160000,25.5
794246400,30.3
794332800,35.3
794419200,37.0
794505600,39.7
794592000,45.7
794678400,35.8
794764800,33.7
794851200,34.4
794937600,33.8
795024000,41.0
795110400,42.2
795196800,42.5
795283200,19.8
795369600,28.5
795456000,32.6
795542400,41.4
795628800,41.8
795715200,37.3
795801600,30.8
795888000,30.4
795974400,32.4
796060800,35.0
796147200,40.9
796233600,34.1
796320000,39.6
796406400,42.3
796492800,41.6
796579200,36.7
796665600,30.6
796752000,37.7
796838400,47.8
796924800,47.8
797011200,50.2
797097600,37.0
797184000,42.9
797270400,37.9
797356800,38.6
797443200,39.7
797529600,44.1
797616000,48.1
797702400,50.2
797788800,49.4
797875200,50.7
797961600,50.6
798048000,55.4
798134400,41.6
798220800,50.2
798307200,56.5
798393600,51.3
798480000,52.3
798566400,52.2
798652800,60.9
798739200,42.7
798825600,60.1
798912000,61.6
798998400,63.9
799084800,58.5
799171200,67.8
799257600,55.3
799344000,43.6
799430400,49.6
799516800,55.1
799603200,54.0
799689600,51.9
799776000,65.8
799862400,64.9
799948800,49.7
800035200,48.3
800121600,55.2
800208000,61.4
800294400,60.3
800380800,61.3
