timestamp,value
788889600,46.2
788976000,34.5
789062400,39.3
789148800,38.0
789235200,30.6
789321600,43.2
789408000,43.6
789494400,43.3
789580800,51.4
789667200,62.4
789753600,70.3
789840000,69.3
789926400,58.4
790012800,46.9
790099200,47.5
790185600,48.1
790272000,55.2
790358400,55.4
790444800,45.9
790531200,45.2
790617600,46.6
790704000,43.2
790790400,37.6
790876800,39.4
790963200,49.0
791049600,53.4
791136000,57.5
791222400,55.0
791308800,44.6
791395200,41.4
791481600,41.3
791568000,54.5
791654400,59.9
791740800,62.2
791827200,49.5
791913600,50.5
792000000,45.8
792086400,46.4
792172800,39.9
792259200,41.8
792345600,58.8
792432000,48.1
792518400,35.8
792604800,35.4
792691200,36.6
792777600,60.4
792864000,56.6
792950400,46.2
793036800,47.3
793123200,55.0
793209600,58.3
793296000,62.8
793382400,52.9
793468800,61.2
793555200,61.2
793641600,52.2
793728000,59.7
793814400,67.3
793900800,62.1
793987200,46.0
794073600,40.9
794160000,37.5
794246400,41.0
794332800,54.6
794419200,60.7
794505600,57.7
794592000,38.0
794678400,45.6
794764800,47.5
794851200,58.5
794937600,64.6
795024000,62.7
795110400,59.9
795196800,59.6
795283200,61.1
795369600,62.5
795456000,65.1
795542400,66.4
795628800,70.1
795715200,66.7
795801600,74.4
795888000,77.4
795974400,72.2
796060800,68.9
796147200,74.2
796233600,66.0
796320000,59.4
796406400,52.1
796492800,59.0
796579200,59.4
796665600,55.9
796752000,60.3
796838400,62.1
796924800,62.5
797011200,61.0
797097600,59.4
797184000,62.8
797270400,68.9
797356800,72.5
797443200,71.6
797529600,58.7
797616000,58.5
797702400,62.9
797788800,60.5
797875200,65.8
797961600,71.4
798048000,73.1
798134400,72.4
798220800,71.8
798307200,70.0
798393600,63.9
798480000,65.3
798566400,56.2
798652800,54.1
798739200,58.5
798825600,63.8
798912000,65.6
798998400,63.8
799084800,69.0
799171200,73.1
799257600,70.7
799344000,59.5
799430400,60.0
799516800,67.8
799603200,71.7
799689600,71.8
799776000,73.5
799862400,69.8
799948800,69.7
800035200,72.9
800121600,67.6
800208000,65.2
800294400,79.8
800380800,81.3
800467200,82.2
800553600,80.7
800640000,78.8
800726400,78.8
800812800,63.6
800899200,64.8
800985600,70.7
801072000,75.5
801158400,77.1
801244800,78.6
801331200,78.3
801417600,79.3
801504000,78.6
801590400,80.3
801676800,76.7
801763200,72.8
801849600,74.9
801936000,74.5
802022400,77.1
802108800,80.6
802195200,81.8
802281600,80.9
802368000,81.2
802454400,82.5
802540800,83.2
802627200,84.0
802713600,83.6
802800000,71.3
802886400,69.3
802972800,71.0
803059200,72.5
803145600,76.6
803232000,78.8
803318400,78.2
803404800,79.2
803491200,78.9
803577600,78.3
803664000,81.8
803750400,82.2
803836800,81.0
803923200,77.8
804009600,78.6
804096000,79.3
804182400,81.2
804268800,82.2
804355200,80.0
804441600,77.6
804528000,77.4
804614400,80.2
804700800,83.5
804787200,83.8
804873600,75.2
804960000,76.6
805046400,83.2
805132800,85.0
805219200,86.9
805305600,85.8
805392000,87.4
805478400,87.1
805564800,86.5
805651200,81.5
805737600,79.4
805824000,80.5
805910400,80.6
805996800,79.8
806083200,82.7
806169600,80.8
806256000,85.5
806342400,86.2
806428800,85.9
806515200,85.6
806601600,86.0
806688000,85.8
806774400,87.4
806860800,88.8
806947200,81.8
807033600,82.0
807120000,80.3
807206400,79.4
807292800,80.4
807379200,84.5
807465600,86.3
807552000,85.3
807638400,84.4
807724800,83.8
807811200,83.4
807897600,84.2
807984000,85.2
808070400,85.9
808156800,86.2
808243200,84.7
808329600,80.6
808416000,80.9
808502400,82.6
808588800,88.2
808675200,90.2
808761600,86.0
808848000,90.4
808934400,84.6
809020800,88.2
809107200,87.5
809193600,84.9
809280000,86.6
809366400,86.0
809452800,86.3
809539200,86.3
809625600,86.1
809712000,84.0
809798400,81.8
809884800,86.0
809971200,86.3
810057600,83.4
810144000,81.1
810230400,74.7
810316800,80.9
810403200,77.7
810489600,81.5
810576000,78.2
810662400,75.1
810748800,77.2
810835200,78.8
810921600,75.9
811008000,79.4
811094400,83.0
811180800,84.4
811267200,77.3
811353600,76.4
811440000,79.1
811526400,74.7
811612800,71.5
811699200,60.0
811785600,59.0
811872000,64.7
811958400,66.8
812044800,66.6
812131200,71.5
812217600,76.8
812304000,76.6
812390400,77.5
812476800,78.4
812563200,77.1
812649600,70.3
812736000,70.9
812822400,67.5
812908800,63.6
812995200,61.2
813081600,62.0
813168000,66.4
813254400,68.3
813340800,71.8
813427200,70.0
813513600,72.2
813600000,69.2
813686400,63.5
813772800,65.1
813859200,66.8
813945600,66.6
814032000,67.6
814118400,65.8
814204800,57.7
814291200,64.6
814377600,67.1
814464000,61.3
814550400,54.6
814636800,63.3
814723200,76.3
