timestamp,value
788889600,81.1
788976000,81.7
789062400,82.4
789148800,82.6
789235200,82.4
789321600,80.0
789408000,77.7
789494400,79.4
789580800,81.5
789667200,80.2
789753600,78.6
789840000,81.4
789926400,81.7
790012800,80.7
790099200,81.4
790185600,81.2
790272000,82.2
790358400,80.6
790444800,74.1
790531200,79.0
790617600,79.6
790704000,79.5
790790400,77.7
790876800,80.8
790963200,79.6
791049600,80.8
791136000,80.6
791222400,80.9
791308800,80.5
791395200,81.5
791481600,79.5
791568000,80.8
791654400,79.6
791740800,77.2
791827200,75.5
791913600,75.6
792000000,75.8
792086400,79.0
792172800,80.2
792259200,80.5
792345600,80.5
792432000,81.8
792518400,79.9
792604800,76.9
792691200,81.5
792777600,81.8
792864000,82.4
792950400,80.1
793036800,81.8
793123200,81.1
793209600,77.9
793296000,78.8
793382400,80.6
793468800,81.4
793555200,81.3
793641600,76.2
793728000,80.6
793814400,81.2
793900800,81.4
793987200,79.9
794073600,77.4
794160000,80.8
794246400,81.6
794332800,81.7
794419200,81.6
794505600,81.8
794592000,81.5
794678400,81.8
794764800,82.1
794851200,82.8
794937600,80.2
795024000,82.2
795110400,82.3
795196800,83.2
795283200,83.5
795369600,83.1
795456000,81.7
795542400,82.3
795628800,83.6
795715200,82.8
795801600,81.0
795888000,82.0
795974400,84.5
796060800,81.4
796147200,82.1
796233600,80.0
796320000,83.6
796406400,80.3
796492800,80.4
796579200,81.4
796665600,81.7
796752000,84.0
796838400,84.7
796924800,81.3
797011200,83.3
797097600,82.1
797184000,81.6
797270400,83.2
797356800,84.3
797443200,82.1
797529600,81.5
797616000,81.5
797702400,84.2
797788800,82.7
797875200,83.2
797961600,83.5
798048000,81.5
798134400,84.1
798220800,82.0
798307200,82.0
798393600,79.2
798480000,83.6
798566400,84.4
798652800,82.3
798739200,81.7
798825600,80.3
798912000,82.4
798998400,79.4
799084800,83.3
799171200,82.1
799257600,80.5
799344000,82.3
799430400,80.7
799516800,81.1
799603200,81.9
799689600,83.8
799776000,82.9
799862400,82.5
