timestamp,value
788889600,8.3
788976000,9.3
789062400,6.3
789148800,-3.5
789235200,6.9
789321600,21.3
789408000,2.2
789494400,12.7
789580800,12.9
789667200,21.0
789753600,33.2
789840000,33.4
789926400,30.5
790012800,25.1
790099200,25.6
790185600,35.0
790272000,29.7
790358400,23.4
790444800,23.4
790531200,18.5
790617600,14.8
790704000,16.6
790790400,18.1
790876800,22.2
790963200,20.3
791049600,24.6
791136000,33.5
791222400,30.7
791308800,21.3
791395200,16.3
791481600,31.4
791568000,34.7
791654400,33.6
791740800,34.2
791827200,21.3
791913600,18.2
792000000,23.6
792086400,19.0
792172800,16.0
792259200,33.3
792345600,28.0
792432000,7.8
792518400,11.6
792604800,15.8
792691200,19.8
792777600,21.1
792864000,21.6
792950400,35.1
793036800,42.5
793123200,36.5
793209600,43.3
793296000,38.9
793382400,43.0
793468800,39.3
793555200,34.0
793641600,42.9
793728000,35.3
793814400,28.7
793900800,16.1
793987200,13.6
794073600,13.8
794160000,25.3
794246400,27.8
794332800,23.9
794419200,17.0
794505600,6.6
794592000,1.6
794678400,14.4
794764800,38.6
794851200,50.7
794937600,56.2
795024000,53.3
795110400,48.8
795196800,45.0
795283200,55.0
795369600,52.9
795456000,48.7
795542400,44.6
795628800,42.3
795715200,39.4
795801600,44.2
795888000,43.3
795974400,45.3
796060800,48.8
796147200,48.9
796233600,41.6
796320000,37.5
796406400,33.1
796492800,29.8
796579200,33.1
796665600,39.5
796752000,50.7
796838400,50.8
796924800,27.3
797011200,42.4
797097600,53.7
797184000,51.0
797270400,44.8
797356800,36.8
797443200,31.7
797529600,34.2
797616000,35.9
797702400,42.3
797788800,55.7
797875200,56.3
797961600,43.6
798048000,43.6
798134400,45.9
798220800,44.2
798307200,44.3
798393600,43.1
798480000,47.4
798566400,50.4
798652800,49.5
798739200,46.2
798825600,47.5
798912000,45.3
798998400,48.2
799084800,49.9
799171200,49.2
799257600,49.7
799344000,47.1
799430400,49.5
799516800,50.1
799603200,49.1
799689600,55.8
799776000,58.3
799862400,61.7
799948800,57.2
800035200,49.9
800121600,52.6
800208000,53.4
800294400,58.9
800380800,55.5
800467200,59.2
800553600,67.2
800640000,55.0
800726400,58.2
800812800,60.6
800899200,60.0
800985600,57.7
801072000,61.7
801158400,51.6
801244800,55.0
801331200,58.1
801417600,59.2
801504000,59.4
801590400,54.7
801676800,59.0
801763200,64.5
801849600,65.1
801936000,62.8
802022400,61.8
802108800,67.4
802195200,68.0
802281600,68.7
802368000,73.3
802454400,76.0
802540800,52.3
802627200,54.7
802713600,57.0
802800000,59.2
802886400,61.6
802972800,67.6
803059200,75.0
803145600,78.6
803232000,82.8
803318400,84.2
803404800,81.0
803491200,80.0
803577600,79.0
