timestamp,value
788889600,5.3
788976000,11.8
789062400,2.7
789148800,-5.0
789235200,7.6
789321600,19.3
789408000,2.6
789494400,9.1
789580800,15.7
789667200,18.0
789753600,31.7
789840000,32.3
789926400,25.9
790012800,23.1
790099200,23.4
790185600,30.4
790272000,26.8
790358400,17.9
790444800,15.6
790531200,14.3
790617600,11.5
790704000,11.3
790790400,11.8
790876800,18.7
790963200,19.2
791049600,23.2
791136000,30.6
791222400,29.1
791308800,17.6
791395200,12.7
791481600,31.6
791568000,30.9
791654400,32.5
791740800,32.2
791827200,16.0
791913600,13.4
792000000,19.8
792086400,14.4
792172800,11.7
792259200,27.9
792345600,21.6
792432000,0.2
792518400,2.8
792604800,3.8
792691200,13.9
792777600,14.9
792864000,14.4
792950400,32.2
793036800,36.0
793123200,30.3
793209600,39.7
793296000,35.4
793382400,39.9
793468800,35.5
793555200,32.6
793641600,37.1
793728000,32.2
793814400,25.0
793900800,9.5
793987200,5.9
794073600,9.4
794160000,25.2
794246400,25.5
794332800,21.5
794419200,13.4
794505600,2.9
794592000,-2.0
794678400,12.4
794764800,36.1
794851200,49.1
794937600,56.2
795024000,55.0
795110400,51.6
795196800,47.4
795283200,56.5
795369600,46.9
795456000,47.9
795542400,44.0
795628800,39.0
795715200,37.1
795801600,41.2
795888000,42.4
795974400,45.0
796060800,43.0
796147200,43.3
796233600,40.6
796320000,35.1
796406400,30.9
796492800,28.2
796579200,29.6
796665600,36.9
796752000,47.1
796838400,45.0
796924800,22.3
797011200,37.2
797097600,45.2
797184000,43.5
797270400,38.0
797356800,32.7
797443200,28.2
797529600,31.4
797616000,33.2
797702400,37.9
797788800,48.1
797875200,49.2
797961600,41.0
798048000,40.6
798134400,39.2
798220800,42.4
798307200,42.9
798393600,42.0
798480000,45.1
798566400,49.1
798652800,45.3
798739200,46.5
798825600,44.0
798912000,41.8
798998400,48.3
799084800,46.7
799171200,48.0
799257600,48.6
799344000,48.4
799430400,47.9
799516800,48.9
799603200,53.5
799689600,56.1
799776000,58.9
799862400,60.8
799948800,54.1
800035200,46.0
800121600,50.1
800208000,55.4
800294400,54.0
800380800,51.9
800467200,58.6
800553600,66.9
800640000,52.1
800726400,54.9
800812800,61.4
800899200,57.3
800985600,59.2
801072000,58.8
801158400,51.5
801244800,53.6
801331200,58.7
801417600,59.4
801504000,55.3
801590400,51.6
801676800,59.9
801763200,64.6
801849600,64.7
801936000,63.0
802022400,64.3
802108800,69.5
802195200,67.6
802281600,69.8
802368000,71.3
802454400,70.2
802540800,47.8
802627200,51.8
802713600,55.9
802800000,58.9
802886400,61.2
802972800,67.3
803059200,76.1
803145600,78.4
803232000,81.8
803318400,84.6
803404800,82.2
803491200,81.3
803577600,82.0
803664000,82.4
803750400,82.6
803836800,73.8
803923200,72.5
804009600,66.5
804096000,66.2
804182400,69.8
804268800,69.2
804355200,66.6
804441600,61.7
804528000,60.7
804614400,68.4
804700800,73.4
