timestamp,value
788976000,44.0
789062400,44.0
789148800,31.1
789235200,31.1
789321600,31.1
789408000,30.9
789494400,28.6
789580800,30.1
789667200,30.2
789753600,29.8
789840000,29.8
789926400,29.8
790012800,29.0
790099200,27.5
790185600,23.6
790272000,12.0
790358400,12.2
790444800,25.2
790531200,29.5
790617600,30.6
790704000,34.1
790790400,34.1
790876800,33.8
790963200,33.2
791049600,31.9
791136000,35.6
791222400,36.5
791308800,36.5
791395200,34.7
791481600,34.7
791568000,36.1
791654400,29.4
791740800,35.0
791827200,35.0
791913600,32.7
792000000,36.9
792086400,36.3
792172800,35.5
792259200,35.7
792345600,40.1
792432000,39.6
792518400,40.6
792604800,39.4
792691200,44.8
792777600,49.2
792864000,45.1
792950400,45.9
793036800,41.2
793123200,42.7
793209600,44.9
793296000,41.6
793382400,47.7
793468800,48.0
793555200,51.8
793641600,52.0
793728000,52.2
793814400,61.5
793900800,43.5
793987200,42.9
794073600,44.8
794160000,49.2
794246400,52.4
794332800,53.3
794419200,50.2
794505600,48.0
794592000,43.1
794678400,42.1
794764800,44.2
794851200,47.2
794937600,43.0
795024000,40.3
795110400,36.9
795196800,39.0
795283200,45.3
795369600,47.8
795456000,50.0
795542400,48.6
795628800,54.6
795715200,41.6
795801600,40.6
795888000,39.8
795974400,38.1
796060800,45.8
796147200,49.3
796233600,49.6
796320000,48.0
796406400,43.1
796492800,36.6
796579200,37.2
796665600,39.0
796752000,41.9
796838400,55.1
796924800,57.9
797011200,61.5
797097600,63.3
797184000,55.2
797270400,52.7
797356800,40.9
797443200,41.4
797529600,44.0
797616000,41.5
797702400,42.6
797788800,46.3
797875200,48.4
797961600,48.1
798048000,49.3
798134400,51.6
798220800,53.3
798307200,58.4
798393600,59.8
798480000,62.3
798566400,65.7
798652800,60.1
798739200,58.8
798825600,55.1
798912000,53.6
798998400,55.2
799084800,56.7
799171200,61.3
799257600,57.0
799344000,58.7
799430400,47.3
799516800,50.2
799603200,52.4
799689600,57.8
799776000,57.5
799862400,64.2
799948800,63.6
