timestamp,value
788889600,46.2
788976000,34.4
789062400,30.7
789148800,27.9
789235200,26.9
789321600,26.2
789408000,26.6
789494400,27.4
789580800,30.8
789667200,29.4
789753600,32.4
789840000,28.1
789926400,22.0
790012800,23.7
790099200,20.5
790185600,15.6
790272000,15.6
790358400,19.0
790444800,22.0
790531200,23.4
790617600,28.2
790704000,24.8
790790400,21.9
790876800,27.3
790963200,34.3
791049600,35.2
791136000,41.3
791222400,30.9
791308800,30.2
791395200,36.8
791481600,35.8
791568000,28.9
791654400,29.2
791740800,34.6
791827200,32.0
791913600,29.7
792000000,33.3
792086400,36.1
792172800,39.0
792259200,42.7
792345600,41.8
792432000,37.2
792518400,37.5
792604800,36.4
792691200,40.4
792777600,37.4
792864000,37.1
792950400,39.4
793036800,41.2
793123200,39.0
793209600,39.5
793296000,44.0
793382400,45.4
793468800,45.3
793555200,48.9
793641600,49.4
793728000,49.9
793814400,57.1
793900800,40.2
793987200,40.2
794073600,45.8
794160000,48.7
794246400,49.3
794332800,48.8
794419200,48.1
794505600,44.4
794592000,39.4
794678400,38.2
794764800,42.7
794851200,42.5
794937600,38.3
795024000,34.4
795110400,27.3
795196800,28.4
795283200,36.7
795369600,41.3
795456000,47.5
795542400,51.0
795628800,53.5
795715200,36.7
795801600,36.3
795888000,32.2
795974400,33.4
796060800,38.9
796147200,46.0
796233600,48.8
796320000,43.1
796406400,30.6
796492800,31.0
796579200,30.8
796665600,31.6
796752000,37.3
796838400,50.9
796924800,57.2
797011200,56.1
797097600,55.9
797184000,54.6
797270400,46.9
797356800,36.4
797443200,36.1
797529600,38.9
797616000,35.4
797702400,38.3
797788800,41.2
797875200,46.4
797961600,46.7
798048000,44.7
798134400,47.8
798220800,52.6
798307200,57.0
798393600,59.6
798480000,60.8
798566400,60.8
798652800,53.1
798739200,54.3
798825600,55.3
798912000,53.8
798998400,54.4
799084800,53.9
799171200,54.1
799257600,51.9
799344000,52.6
799430400,44.0
799516800,46.9
799603200,47.0
799689600,50.0
799776000,53.9
799862400,62.2
799948800,61.4
800035200,58.9
800121600,59.2
800208000,60.1
800294400,61.5
800380800,53.8
800467200,45.8
800553600,50.1
800640000,56.0
800726400,54.4
800812800,53.6
800899200,57.1
800985600,54.0
801072000,52.7
801158400,50.1
801244800,58.9
801331200,62.3
801417600,65.5
801504000,66.9
801590400,65.7
801676800,66.1
801763200,66.6
801849600,66.1
801936000,70.2
802022400,67.5
802108800,62.7
802195200,61.6
802281600,61.4
802368000,64.6
802454400,62.6
802540800,58.5
802627200,61.7
802713600,61.3
802800000,63.7
802886400,66.9
802972800,68.4
803059200,64.4
803145600,65.3
803232000,66.1
803318400,66.6
803404800,63.7
803491200,64.4
803577600,66.4
803664000,68.2
803750400,68.1
803836800,66.7
803923200,67.7
804009600,70.7
804096000,63.7
804182400,61.3
804268800,66.2
804355200,65.5
804441600,66.4
804528000,65.1
804614400,68.9
804700800,72.6
804787200,70.6
804873600,72.1
804960000,67.7
805046400,64.7
805132800,64.9
805219200,61.7
805305600,62.5
805392000,68.7
805478400,70.4
805564800,69.7
805651200,70.7
805737600,68.1
805824000,68.2
805910400,70.0
805996800,67.7
806083200,65.9
806169600,69.4
806256000,70.7
806342400,70.1
806428800,70.6
806515200,71.4
806601600,71.1
806688000,72.3
806774400,73.2
806860800,73.3
806947200,68.4
807033600,66.6
807120000,66.0
807206400,64.6
807292800,66.6
807379200,65.7
807465600,66.2
807552000,66.8
807638400,65.5
807724800,68.1
807811200,71.1
807897600,71.8
807984000,66.1
808070400,65.6
808156800,66.3
808243200,65.9
808329600,67.1
808416000,67.7
808502400,67.9
808588800,65.3
808675200,67.6
808761600,71.0
808848000,70.3
808934400,64.3
809020800,64.1
809107200,68.2
809193600,69.2
809280000,67.6
809366400,67.1
809452800,65.4
809539200,66.1
809625600,60.5
809712000,53.8
809798400,48.9
809884800,55.4
809971200,55.6
810057600,59.7
810144000,63.2
810230400,63.2
810316800,63.2
810403200,60.1
810489600,62.7
810576000,65.3
810662400,61.8
810748800,60.6
810835200,63.1
810921600,65.4
811008000,64.4
811094400,64.0
811180800,62.0
811267200,61.4
811353600,61.2
811440000,59.1
811526400,59.3
811612800,58.8
811699200,57.7
811785600,51.7
811872000,53.3
811958400,53.1
812044800,53.4
812131200,55.2
812217600,58.1
812304000,48.4
812390400,45.0
812476800,43.2
812563200,47.3
812649600,51.9
812736000,56.9
812822400,54.6
812908800,54.8
812995200,53.9
813081600,51.5
813168000,51.5
813254400,55.6
813340800,53.6
813427200,53.4
813513600,56.7
813600000,59.2
813686400,57.3
813772800,55.1
813859200,52.4
813945600,50.4
814032000,49.6
814118400,50.2
814204800,51.4
814291200,47.8
814377600,41.8
814464000,38.4
814550400,39.6
814636800,42.9
814723200,45.8
814809600,44.4
814896000,45.4
814982400,48.3
815068800,50.1
815155200,49.3
815241600,50.1
815328000,40.2
815414400,36.3
815500800,28.2
815587200,28.2
815673600,30.6
815760000,26.3
815846400,24.2
815932800,25.7
816019200,28.7
816105600,36.2
816192000,44.1
816278400,42.6
816364800,43.3
816451200,48.4
816537600,50.3
816624000,47.1
816710400,25.9
816796800,27.9
816883200,28.6
816969600,29.0
817056000,25.2
817142400,22.9
817228800,25.7
817315200,27.5
817401600,33.3
817488000,34.9
817574400,39.1
817660800,39.1
817747200,40.0
817833600,37.5
817920000,37.7
818006400,36.3
818092800,32.6
818179200,34.4
818265600,35.2
818352000,33.4
818438400,30.0
818524800,28.7
818611200,23.5
818697600,24.9
818784000,31.1
818870400,34.7
818956800,29.1
819043200,31.1
819129600,31.9
819216000,34.8
819302400,34.8
819388800,33.1
819475200,33.5
819561600,30.1
819648000,35.8
819734400,52.7
819820800,51.2
819907200,59.0
819993600,59.1
820080000,38.6
820166400,29.9
820252800,19.1
820339200,20.9
820425600,20.9
820512000,20.9
820598400,20.9
820684800,20.9
820771200,20.9
820857600,20.9
820944000,20.9
821030400,20.9
821116800,20.9
821203200,20.9
821289600,20.9
821376000,20.9
821462400,20.9
821548800,20.9
821635200,20.9
821721600,20.9
821808000,20.9
821894400,20.9
821980800,20.9
822067200,20.9
822153600,20.9
822240000,20.9
822326400,20.9
822412800,20.9
822499200,20.9
822585600,20.9
822672000,20.9
822758400,20.9
822844800,20.9
822931200,20.9
823017600,20.9
823104000,20.9
823190400,20.9
823276800,20.9
823363200,20.9
823449600,20.9
823536000,20.9
823622400,20.9
823708800,20.9
823795200,20.9
823881600,20.9
823968000,20.9
824054400,20.9
824140800,20.9
824227200,20.9
824313600,20.9
824400000,20.9
824486400,20.9
824572800,20.9
824659200,20.9
824745600,20.9
824832000,20.9
824918400,20.9
825004800,20.9
825091200,20.9
825177600,20.9
825264000,20.9
825350400,20.9
825436800,20.9
825523200,20.9
825609600,20.9
825696000,20.9
825782400,20.9
825868800,20.9
825955200,20.9
826041600,20.9
826128000,20.9
826214400,20.9
826300800,20.9
826387200,20.9
826473600,20.9
826560000,20.9
826646400,20.9
826732800,20.9
826819200,20.9
826905600,20.9
826992000,20.9
827078400,20.9
827164800,20.9
827251200,20.9
827337600,20.9
827424000,20.9
827510400,20.9
827596800,20.9
827683200,20.9
827769600,20.9
827856000,20.9
827942400,20.9
828028800,20.9
828115200,20.9
828201600,20.9
828288000,20.9
828374400,20.9
828460800,20.9
828547200,20.9
828633600,20.9
828720000,20.9
828806400,20.9
828892800,20.9
828979200,20.9
829065600,20.9
829152000,20.9
829238400,20.9
829324800,20.9
829411200,20.9
829497600,20.9
829584000,20.9
829670400,20.9
829756800,20.9
829843200,20.9
829929600,20.9
830016000,20.9
830102400,20.9
830188800,20.9
830275200,20.9
830361600,20.9
830448000,20.9
830534400,20.9
830620800,20.9
830707200,20.9
830793600,20.9
830880000,20.9
830966400,20.9
831052800,20.9
831139200,20.9
831225600,20.9
831312000,20.9
831398400,20.9
831484800,20.9
831571200,20.9
831657600,20.9
831744000,20.9
831830400,20.9
831916800,20.9
832003200,20.9
832089600,20.9
832176000,20.9
832262400,20.9
832348800,20.9
832435200,20.9
832521600,20.9
832608000,20.9
832694400,20.9
832780800,20.9
832867200,20.9
832953600,20.9
833040000,20.9
833126400,20.9
833212800,20.9
833299200,20.9
833385600,20.9
833472000,20.9
833558400,20.9
833644800,20.9
833731200,20.9
833817600,20.9
833904000,20.9
833990400,20.9
834076800,20.9
834163200,20.9
834249600,20.9
834336000,20.9
834422400,20.9
834508800,20.9
834595200,20.9
834681600,20.9
834768000,20.9
834854400,20.9
834940800,20.9
835027200,20.9
835113600,20.9
835200000,20.9
835286400,20.9
835372800,20.9
835459200,20.9
835545600,20.9
835632000,20.9
835718400,20.9
835804800,20.9
835891200,20.9
835977600,20.9
836064000,20.9
836150400,20.9
836236800,20.9
836323200,20.9
836409600,20.9
836496000,20.9
836582400,20.9
836668800,20.9
836755200,20.9
836841600,20.9
836928000,20.9
837014400,20.9
837100800,20.9
837187200,20.9
837273600,20.9
837360000,20.9
837446400,20.9
837532800,20.9
837619200,20.9
837705600,20.9
837792000,20.9
837878400,20.9
837964800,20.9
838051200,20.9
