timestamp,value
788889600,29.5
788976000,13.0
789062400,14.5
789148800,5.7
789235200,1.9
789321600,20.1
789408000,25.3
789494400,15.9
789580800,16.7
789667200,21.9
789753600,29.1
789840000,46.2
789926400,45.7
790012800,44.0
790099200,35.1
790185600,30.5
790272000,32.6
790358400,40.5
790444800,36.6
790531200,36.3
790617600,28.3
790704000,20.5
790790400,20.8
790876800,21.1
790963200,16.3
791049600,20.1
791136000,19.9
791222400,27.1
791308800,19.9
791395200,18.8
791481600,27.4
791568000,34.7
791654400,31.9
791740800,28.6
791827200,25.3
791913600,12.2
792000000,12.2
792086400,10.8
792172800,14.5
792259200,18.2
792345600,31.1
792432000,10.4
792518400,3.7
792604800,12.9
792691200,14.2
792777600,30.5
792864000,29.6
792950400,25.0
793036800,36.3
793123200,39.2
793209600,33.6
793296000,29.5
793382400,32.2
793468800,37.0
793555200,30.4
793641600,33.4
793728000,29.2
793814400,31.8
793900800,29.9
793987200,20.4
794073600,19.6
794160000,20.8
794246400,26.3
794332800,35.3
794419200,34.2
794505600,33.9
794592000,27.5
794678400,22.1
794764800,32.5
794851200,50.5
794937600,57.9
795024000,63.1
795110400,62.3
795196800,57.8
795283200,52.0
795369600,46.3
795456000,44.9
795542400,54.4
795628800,51.6
795715200,42.5
795801600,41.5
795888000,39.9
795974400,37.6
796060800,40.6
796147200,45.7
796233600,42.5
796320000,37.9
796406400,38.6
796492800,38.0
796579200,35.7
796665600,35.8
796752000,38.1
796838400,48.8
796924800,34.4
797011200,28.1
797097600,50.6
797184000,43.8
797270400,45.5
797356800,40.5
797443200,35.5
797529600,48.5
797616000,46.9
797702400,43.5
797788800,42.7
797875200,45.4
797961600,53.7
798048000,54.8
798134400,57.4
798220800,49.7
798307200,40.6
798393600,50.5
798480000,46.4
798566400,45.9
798652800,47.8
798739200,47.4
798825600,52.6
798912000,51.4
798998400,47.9
799084800,50.5
799171200,47.5
799257600,46.0
799344000,50.9
799430400,48.6
799516800,49.8
799603200,50.1
799689600,54.4
799776000,61.1
799862400,58.3
799948800,59.1
800035200,61.5
800121600,51.7
800208000,57.6
800294400,61.5
800380800,63.3
800467200,60.6
800553600,64.8
800640000,61.9
800726400,51.5
800812800,57.6
800899200,62.3
800985600,58.8
801072000,59.7
801158400,66.8
801244800,54.7
801331200,53.6
801417600,57.6
801504000,59.6
801590400,68.0
801676800,59.1
801763200,62.4
801849600,66.9
801936000,70.2
802022400,67.3
802108800,63.0
802195200,66.5
802281600,68.9
802368000,73.2
802454400,75.1
802540800,61.1
802627200,63.6
802713600,70.0
802800000,63.1
802886400,57.6
802972800,61.2
803059200,68.4
803145600,71.6
803232000,75.5
803318400,76.9
803404800,79.9
803491200,79.2
803577600,81.2
803664000,80.8
803750400,78.5
803836800,77.4
803923200,78.0
804009600,74.3
804096000,70.4
804182400,67.5
804268800,69.1
804355200,70.0
804441600,71.1
804528000,64.6
804614400,61.0
804700800,65.5
804787200,72.1
804873600,74.8
804960000,74.3
805046400,69.5
805132800,64.4
805219200,68.3
805305600,68.7
805392000,76.3
805478400,80.3
805564800,86.3
805651200,88.6
805737600,87.1
805824000,76.4
805910400,75.6
805996800,71.7
806083200,73.5
806169600,72.8
806256000,72.6
806342400,73.7
806428800,73.7
806515200,74.8
806601600,76.0
806688000,76.2
806774400,76.1
806860800,77.7
806947200,78.5
807033600,80.3
807120000,81.7
807206400,79.5
807292800,74.9
807379200,71.4
807465600,75.5
807552000,73.2
807638400,75.4
807724800,75.4
807811200,75.3
807897600,73.8
807984000,76.3
808070400,79.6
808156800,82.2
808243200,84.0
808329600,82.8
808416000,78.1
808502400,78.5
808588800,77.8
808675200,78.6
808761600,78.6
808848000,78.4
808934400,73.2
809020800,71.9
809107200,70.9
809193600,72.4
809280000,72.0
809366400,73.6
809452800,74.2
809539200,70.9
809625600,75.3
809712000,73.7
809798400,76.7
809884800,69.6
809971200,64.8
810057600,68.3
810144000,70.9
810230400,72.0
810316800,75.2
810403200,69.2
810489600,53.7
810576000,59.6
810662400,57.2
810748800,56.8
810835200,63.6
810921600,71.5
811008000,66.8
811094400,58.7
811180800,66.2
811267200,63.6
811353600,53.2
811440000,58.6
811526400,60.8
811612800,52.7
811699200,46.0
811785600,45.6
811872000,48.4
811958400,55.6
812044800,55.5
812131200,61.6
812217600,64.8
812304000,63.5
812390400,70.6
812476800,70.7
812563200,61.7
812649600,56.8
812736000,54.8
812822400,55.7
812908800,57.8
812995200,51.6
813081600,52.9
813168000,57.3
813254400,57.2
813340800,57.6
813427200,66.5
813513600,67.4
813600000,55.2
813686400,47.0
813772800,46.6
813859200,50.2
813945600,64.4
814032000,64.5
814118400,51.6
814204800,39.9
814291200,44.4
814377600,57.9
814464000,49.5
814550400,44.0
814636800,51.0
814723200,54.0
814809600,47.5
814896000,43.7
814982400,44.0
815068800,43.2
815155200,53.4
815241600,55.6
815328000,31.8
815414400,29.6
815500800,24.7
815587200,35.2
815673600,39.8
815760000,31.3
815846400,27.3
815932800,46.9
816019200,39.1
816105600,22.2
816192000,27.3
816278400,30.2
816364800,30.1
816451200,31.8
816537600,31.1
816624000,36.4
816710400,37.7
816796800,41.9
816883200,33.1
816969600,30.1
817056000,32.2
817142400,28.1
817228800,34.6
817315200,39.5
817401600,46.6
817488000,32.4
817574400,25.5
817660800,31.0
817747200,45.0
817833600,35.1
817920000,47.7
818006400,37.8
818092800,38.5
818179200,27.8
818265600,26.2
818352000,19.7
818438400,8.8
818524800,6.2
818611200,12.7
818697600,13.3
818784000,20.1
818870400,37.5
818956800,33.3
819043200,29.1
819129600,26.7
819216000,30.7
819302400,29.5
819388800,21.9
819475200,24.9
819561600,24.6
819648000,24.6
819734400,25.8
819820800,25.3
819907200,19.9
819993600,18.6
820080000,25.7
820166400,19.1
820252800,25.1
820339200,33.7
820425600,33.7
820512000,26.7
820598400,16.4
820684800,16.4
820771200,17.2
820857600,17.0
820944000,16.3
821030400,15.2
821116800,22.6
821203200,26.3
821289600,21.4
821376000,22.1
821462400,29.2
821548800,33.5
821635200,25.5
821721600,26.7
821808000,45.1
821894400,54.5
821980800,16.6
822067200,11.6
822153600,22.5
822240000,32.4
822326400,35.7
822412800,30.3
822499200,15.8
822585600,34.1
822672000,24.0
822758400,15.7
822844800,24.7
822931200,11.7
823017600,6.0
823104000,1.8
823190400,-0.2
823276800,-6.6
823363200,-6.3
823449600,7.4
823536000,12.3
823622400,34.9
823708800,41.3
823795200,36.3
823881600,45.1
823968000,33.9
824054400,23.3
824140800,25.1
824227200,31.4
824313600,25.4
824400000,19.6
824486400,22.7
824572800,17.9
824659200,32.4
824745600,42.1
824832000,40.4
824918400,35.3
825004800,40.2
825091200,45.1
825177600,47.4
825264000,49.9
825350400,49.8
825436800,25.7
825523200,18.1
825609600,22.6
825696000,28.2
825782400,12.6
825868800,22.1
825955200,34.1
826041600,25.1
826128000,14.6
826214400,11.4
826300800,15.9
826387200,21.5
826473600,33.1
826560000,40.0
826646400,45.9
826732800,47.7
826819200,40.1
826905600,33.4
826992000,34.8
827078400,37.7
827164800,37.4
827251200,33.9
827337600,27.0
827424000,29.7
827510400,33.1
827596800,47.1
827683200,44.5
827769600,20.9
827856000,20.0
827942400,36.7
828028800,45.2
828115200,44.8
828201600,44.7
828288000,35.6
828374400,38.1
828460800,56.4
828547200,44.3
828633600,31.7
828720000,36.3
828806400,29.2
828892800,28.6
828979200,32.2
829065600,37.5
829152000,55.6
829238400,66.2
829324800,47.0
829411200,36.9
829497600,40.7
829584000,38.6
829670400,41.5
829756800,61.1
829843200,63.5
829929600,59.0
830016000,52.7
830102400,54.0
830188800,43.3
830275200,49.1
830361600,60.8
830448000,46.9
830534400,41.2
830620800,47.0
830707200,46.4
830793600,42.7
830880000,50.1
830966400,50.6
831052800,57.7
831139200,52.4
831225600,48.3
831312000,53.2
831398400,52.8
831484800,56.0
831571200,63.4
831657600,60.3
831744000,43.4
831830400,41.5
831916800,43.2
832003200,48.0
832089600,49.1
832176000,55.8
832262400,66.0
832348800,78.0
832435200,79.8
832521600,75.4
832608000,62.5
832694400,65.0
832780800,63.3
832867200,59.0
832953600,55.3
833040000,57.2
833126400,53.0
833212800,55.5
833299200,57.1
833385600,54.6
833472000,57.5
833558400,63.9
833644800,66.5
833731200,63.3
833817600,56.4
833904000,60.3
833990400,65.6
834076800,62.8
834163200,61.6
834249600,62.4
834336000,64.8
834422400,64.2
834508800,63.9
834595200,71.9
834681600,76.0
834768000,70.4
834854400,71.8
834940800,72.2
835027200,72.7
835113600,71.9
835200000,67.7
835286400,74.5
835372800,75.1
835459200,68.0
835545600,72.8
835632000,61.6
835718400,65.6
835804800,74.2
835891200,78.3
835977600,81.2
836064000,82.0
836150400,77.0
836236800,68.4
836323200,64.9
836409600,61.5
836496000,65.0
836582400,72.9
