timestamp,value
788889600,16.4
788976000,15.4
789062400,16.9
789148800,15.9
789235200,16.3
789321600,18.1
789408000,23.7
789494400,26.8
789580800,35.0
789667200,38.4
789753600,36.1
789840000,36.3
789926400,36.7
790012800,39.3
790099200,36.4
790185600,34.2
790272000,31.5
790358400,33.2
790444800,35.4
790531200,31.2
790617600,28.7
790704000,25.9
790790400,24.5
790876800,25.0
790963200,31.1
791049600,33.9
791136000,33.6
791222400,34.1
791308800,37.1
791395200,39.7
791481600,45.7
791568000,46.8
791654400,39.9
791740800,39.0
791827200,36.1
791913600,38.0
792000000,37.4
792086400,39.7
792172800,43.6
792259200,36.3
792345600,35.0
792432000,32.4
792518400,21.3
792604800,14.6
792691200,11.7
792777600,20.6
792864000,33.5
792950400,38.3
793036800,38.5
793123200,49.6
793209600,51.3
793296000,51.4
793382400,46.1
793468800,40.0
793555200,45.3
793641600,46.8
793728000,41.2
793814400,31.6
793900800,28.6
793987200,27.7
794073600,28.7
794160000,29.7
794246400,33.6
794332800,29.2
794419200,30.6
794505600,30.7
794592000,35.6
794678400,43.9
794764800,47.9
794851200,47.8
794937600,43.9
795024000,39.8
795110400,43.9
795196800,43.5
795283200,38.5
795369600,40.7
795456000,46.2
795542400,42.4
795628800,41.0
795715200,40.1
795801600,37.9
795888000,41.1
795974400,37.8
796060800,35.3
796147200,38.4
796233600,40.7
796320000,42.1
796406400,42.7
796492800,45.4
796579200,47.0
796665600,50.9
796752000,42.8
796838400,47.4
796924800,50.1
797011200,43.8
797097600,45.9
797184000,45.0
797270400,43.9
797356800,41.3
797443200,41.5
797529600,44.4
797616000,38.6
797702400,42.4
797788800,39.0
797875200,37.5
797961600,40.5
798048000,42.9
798134400,42.0
798220800,40.9
798307200,40.1
798393600,42.2
798480000,47.6
798566400,51.7
798652800,54.3
798739200,51.1
798825600,52.6
798912000,55.5
798998400,53.3
799084800,49.9
799171200,48.5
799257600,49.8
799344000,48.5
799430400,47.1
799516800,49.9
799603200,53.3
799689600,53.4
799776000,56.2
799862400,56.7
799948800,57.5
800035200,57.0
800121600,50.4
800208000,45.2
800294400,49.7
800380800,56.6
800467200,62.1
800553600,59.1
800640000,58.3
800726400,52.6
800812800,54.9
800899200,57.4
800985600,58.9
801072000,57.7
801158400,60.3
801244800,63.9
801331200,57.9
801417600,53.0
801504000,59.5
801590400,66.5
801676800,69.7
801763200,71.0
801849600,68.8
801936000,69.9
802022400,65.1
802108800,60.2
802195200,66.8
802281600,55.0
802368000,45.6
802454400,47.4
802540800,57.1
802627200,59.9
802713600,63.0
802800000,60.9
802886400,59.7
802972800,58.4
803059200,52.5
803145600,58.6
803232000,60.1
803318400,59.3
803404800,53.9
803491200,51.0
803577600,50.2
803664000,54.1
803750400,57.2
803836800,62.8
803923200,69.1
804009600,70.4
804096000,70.0
804182400,64.5
804268800,62.3
804355200,67.9
804441600,71.2
804528000,71.4
804614400,68.9
804700800,60.5
804787200,62.4
804873600,63.5
804960000,67.8
805046400,63.1
805132800,69.4
805219200,73.5
805305600,64.8
805392000,63.7
805478400,63.4
805564800,64.9
805651200,64.0
805737600,68.1
805824000,70.7
805910400,73.2
805996800,75.6
806083200,77.4
806169600,79.8
806256000,75.3
806342400,69.1
806428800,70.8
806515200,68.9
806601600,68.8
806688000,68.4
806774400,65.1
806860800,65.9
806947200,67.5
807033600,60.8
807120000,65.7
807206400,71.6
807292800,73.4
807379200,69.8
807465600,74.7
807552000,76.6
807638400,69.5
807724800,60.5
807811200,57.0
807897600,60.6
807984000,65.8
808070400,61.6
808156800,58.7
808243200,51.8
808329600,62.1
808416000,62.3
808502400,59.0
808588800,55.2
808675200,53.9
808761600,61.0
808848000,66.2
808934400,70.8
809020800,70.6
809107200,67.1
809193600,61.7
809280000,59.7
809366400,63.1
809452800,63.3
809539200,63.9
809625600,63.8
809712000,60.0
809798400,63.5
809884800,67.9
809971200,70.3
810057600,70.2
810144000,71.3
810230400,65.4
810316800,60.7
810403200,60.3
810489600,56.8
810576000,60.5
810662400,64.3
810748800,66.6
810835200,66.9
810921600,64.6
811008000,64.4
811094400,67.8
811180800,68.3
811267200,66.4
811353600,64.5
811440000,59.1
811526400,55.4
811612800,50.8
811699200,50.1
811785600,55.7
811872000,59.1
811958400,59.6
812044800,56.3
812131200,53.4
812217600,51.8
812304000,50.0
812390400,51.8
812476800,46.6
812563200,45.9
812649600,49.8
812736000,44.7
812822400,44.3
812908800,48.8
812995200,47.6
813081600,47.4
813168000,47.5
813254400,51.7
813340800,49.4
813427200,43.6
813513600,43.4
813600000,46.3
813686400,60.0
813772800,55.9
813859200,48.2
813945600,46.1
814032000,40.5
814118400,43.3
814204800,41.0
814291200,36.0
814377600,37.2
814464000,41.9
814550400,40.2
814636800,45.7
814723200,40.2
814809600,33.2
814896000,31.3
814982400,32.6
815068800,28.6
815155200,29.2
815241600,26.1
815328000,28.0
815414400,28.0
815500800,34.2
815587200,36.9
815673600,32.4
815760000,47.5
815846400,43.3
815932800,32.5
816019200,38.6
816105600,40.0
816192000,40.2
816278400,49.9
816364800,46.7
816451200,47.3
816537600,46.9
816624000,47.1
816710400,38.7
816796800,35.5
816883200,36.0
816969600,36.1
817056000,43.9
817142400,47.9
817228800,46.2
817315200,39.9
817401600,33.5
817488000,36.5
817574400,49.7
817660800,47.7
817747200,44.5
817833600,36.8
817920000,32.2
818006400,34.6
818092800,25.7
818179200,22.6
818265600,26.1
818352000,12.5
818438400,11.5
818524800,17.9
818611200,35.1
818697600,39.6
