timestamp,value
788889600,27.9
788976000,22.3
789062400,24.0
789148800,14.1
789235200,14.8
789321600,29.1
789408000,27.9
789494400,26.2
789580800,28.2
789667200,32.5
789753600,41.0
789840000,58.0
789926400,46.4
790012800,37.9
790099200,30.6
790185600,30.5
790272000,39.4
790358400,39.5
790444800,34.3
790531200,28.3
790617600,22.4
790704000,23.9
790790400,24.1
790876800,24.3
790963200,28.6
791049600,28.1
791136000,35.2
791222400,36.2
791308800,28.9
791395200,26.3
791481600,37.3
791568000,46.2
791654400,43.4
791740800,38.1
791827200,29.5
791913600,22.0
792000000,18.6
792086400,24.8
792172800,17.1
792259200,32.1
792345600,39.0
792432000,25.9
792518400,13.9
792604800,25.7
792691200,30.4
792777600,37.8
792864000,28.3
792950400,32.7
793036800,43.1
793123200,47.3
793209600,47.3
793296000,40.4
793382400,49.5
793468800,55.8
793555200,40.2
793641600,49.6
793728000,63.5
793814400,48.4
793900800,35.2
793987200,25.8
794073600,23.8
794160000,28.8
794246400,35.9
794332800,43.9
794419200,40.7
794505600,39.1
794592000,24.5
794678400,28.8
794764800,43.0
794851200,57.7
794937600,63.1
795024000,66.1
795110400,66.5
795196800,64.3
795283200,63.9
795369600,64.1
795456000,65.7
795542400,64.8
795628800,66.6
795715200,52.6
795801600,55.4
795888000,54.1
795974400,49.3
796060800,52.6
796147200,58.7
796233600,53.8
796320000,47.2
796406400,46.6
796492800,42.4
796579200,39.9
796665600,39.5
796752000,48.1
796838400,61.9
796924800,45.0
797011200,42.1
797097600,60.4
797184000,66.0
797270400,73.4
797356800,62.9
797443200,55.0
797529600,57.9
797616000,45.2
797702400,50.9
797788800,57.8
797875200,65.9
797961600,68.2
798048000,66.8
798134400,71.1
798220800,55.4
798307200,53.9
798393600,57.8
798480000,51.2
798566400,49.9
798652800,50.1
798739200,55.2
798825600,62.4
798912000,56.3
798998400,53.1
799084800,54.8
799171200,52.0
799257600,49.3
799344000,51.1
799430400,55.2
799516800,51.0
799603200,55.8
799689600,61.2
799776000,64.0
799862400,70.6
799948800,67.8
800035200,65.5
800121600,58.9
800208000,61.8
800294400,68.0
800380800,74.2
800467200,68.8
800553600,71.3
800640000,67.5
800726400,61.3
800812800,58.4
800899200,66.2
800985600,68.5
801072000,69.7
801158400,74.7
801244800,70.5
801331200,60.3
801417600,61.2
801504000,67.0
801590400,71.0
801676800,64.6
801763200,66.9
801849600,70.7
801936000,72.0
802022400,68.5
802108800,71.6
802195200,75.2
802281600,75.9
802368000,76.8
802454400,78.5
802540800,76.1
802627200,73.7
802713600,75.5
802800000,66.8
802886400,66.2
802972800,67.8
803059200,71.6
803145600,75.4
803232000,78.5
803318400,80.2
803404800,79.8
803491200,80.6
803577600,83.0
803664000,80.4
803750400,80.4
803836800,80.8
803923200,76.7
804009600,79.1
804096000,71.1
804182400,73.3
804268800,75.0
804355200,77.7
804441600,75.3
804528000,69.4
804614400,70.2
804700800,71.0
804787200,75.5
804873600,78.7
804960000,77.1
805046400,77.8
805132800,77.3
805219200,79.9
805305600,78.7
805392000,83.4
805478400,88.3
805564800,91.6
805651200,90.3
805737600,90.0
805824000,88.5
805910400,80.5
805996800,80.1
806083200,82.6
806169600,78.3
806256000,80.2
806342400,80.2
806428800,80.4
806515200,81.1
806601600,80.6
806688000,78.9
806774400,83.9
806860800,85.4
806947200,85.5
807033600,86.2
807120000,87.4
807206400,81.2
807292800,75.6
807379200,79.9
807465600,80.0
807552000,78.0
807638400,81.5
807724800,78.6
