timestamp,value
788889600,31.3
788976000,30.0
789062400,17.8
789148800,22.8
789235200,24.5
789321600,26.4
789408000,20.3
789494400,28.5
789580800,31.4
789667200,34.0
789753600,30.6
789840000,28.8
789926400,19.6
790012800,34.7
790099200,32.8
790185600,34.5
790272000,37.0
790358400,36.7
790444800,31.9
790531200,33.4
790617600,32.3
790704000,33.6
790790400,32.1
790876800,27.0
790963200,27.4
791049600,24.3
791136000,20.5
791222400,15.7
791308800,22.1
791395200,18.3
791481600,16.6
791568000,35.6
791654400,34.3
791740800,29.6
791827200,39.4
791913600,34.3
792000000,40.3
792086400,28.5
792172800,21.2
792259200,22.8
792345600,25.5
792432000,20.2
792518400,28.2
792604800,39.0
792691200,37.4
792777600,36.4
792864000,37.6
792950400,36.3
793036800,34.1
793123200,33.5
793209600,38.2
793296000,34.3
793382400,34.5
793468800,38.0
793555200,36.0
793641600,31.7
793728000,29.9
793814400,27.8
793900800,39.6
793987200,40.0
794073600,35.1
794160000,35.3
794246400,36.0
794332800,35.0
794419200,34.0
794505600,37.5
794592000,33.6
794678400,34.0
794764800,34.5
794851200,35.2
794937600,38.2
795024000,37.1
795110400,30.6
795196800,30.4
795283200,33.1
795369600,35.5
795456000,36.6
795542400,36.1
795628800,35.1
795715200,34.4
795801600,36.1
795888000,41.2
795974400,43.5
796060800,38.9
796147200,38.1
796233600,29.7
796320000,29.3
796406400,33.9
796492800,34.0
796579200,36.0
796665600,41.4
796752000,38.5
796838400,37.6
796924800,37.2
797011200,36.6
797097600,35.7
797184000,31.5
797270400,34.5
797356800,35.2
797443200,35.1
797529600,39.9
797616000,40.1
797702400,41.7
797788800,44.6
797875200,44.5
797961600,42.1
798048000,36.0
798134400,37.2
798220800,41.0
798307200,34.9
798393600,39.5
798480000,42.2
798566400,54.8
798652800,53.8
798739200,48.6
798825600,41.3
798912000,38.3
798998400,33.0
799084800,33.4
799171200,37.3
799257600,40.3
799344000,45.2
799430400,53.5
799516800,54.9
799603200,54.1
799689600,50.6
799776000,43.3
799862400,42.9
799948800,42.6
800035200,42.3
800121600,39.2
800208000,37.9
800294400,43.0
800380800,34.9
800467200,39.3
800553600,42.5
800640000,46.3
800726400,47.2
800812800,47.2
800899200,51.7
800985600,49.3
801072000,44.1
801158400,42.7
801244800,50.7
801331200,54.7
801417600,53.0
801504000,61.7
801590400,63.4
801676800,65.4
801763200,67.9
801849600,66.7
801936000,65.5
802022400,68.6
802108800,62.5
802195200,61.2
802281600,62.6
802368000,65.7
802454400,61.1
802540800,60.8
802627200,61.4
802713600,56.0
802800000,58.0
802886400,52.3
802972800,55.0
803059200,65.1
803145600,62.0
803232000,64.3
803318400,59.8
803404800,56.1
803491200,55.6
803577600,64.1
803664000,63.1
803750400,53.7
803836800,59.8
803923200,68.2
804009600,69.0
804096000,69.7
804182400,63.3
804268800,65.1
804355200,60.8
804441600,56.0
804528000,55.7
804614400,59.6
804700800,61.5
804787200,56.5
804873600,60.5
804960000,59.3
805046400,67.6
805132800,66.7
805219200,60.6
805305600,59.8
805392000,65.2
805478400,70.3
805564800,70.7
805651200,68.8
805737600,64.1
805824000,64.3
805910400,60.2
805996800,65.2
806083200,64.1
806169600,62.9
806256000,68.7
806342400,64.2
806428800,63.3
806515200,61.5
806601600,61.6
806688000,64.3
806774400,68.9
806860800,68.7
806947200,74.4
807033600,73.1
807120000,71.1
807206400,72.5
807292800,70.9
807379200,69.3
807465600,62.4
807552000,67.1
807638400,74.4
807724800,59.7
807811200,58.3
807897600,64.4
807984000,65.7
808070400,65.3
808156800,68.1
808243200,73.1
808329600,66.6
808416000,65.3
808502400,67.2
808588800,73.9
808675200,76.2
808761600,70.9
808848000,63.8
808934400,66.2
809020800,72.0
809107200,73.0
809193600,66.8
809280000,64.8
809366400,58.5
809452800,58.3
809539200,51.5
809625600,51.2
809712000,52.0
809798400,57.3
809884800,56.0
809971200,59.1
810057600,60.2
810144000,57.9
810230400,58.0
810316800,64.2
810403200,59.0
810489600,59.3
810576000,55.7
810662400,52.4
810748800,53.1
810835200,55.0
810921600,55.8
811008000,56.7
811094400,54.6
811180800,53.4
811267200,51.1
811353600,48.6
811440000,49.6
811526400,51.7
811612800,50.8
811699200,53.9
811785600,56.3
811872000,55.7
811958400,56.0
812044800,56.9
812131200,51.1
812217600,47.7
812304000,46.3
812390400,44.2
812476800,42.0
812563200,44.7
812649600,52.8
812736000,54.9
812822400,57.6
812908800,55.2
812995200,54.6
813081600,55.2
813168000,61.0
813254400,58.2
813340800,53.1
813427200,51.1
813513600,53.3
813600000,41.5
813686400,46.4
813772800,53.4
813859200,55.9
813945600,51.1
814032000,53.7
814118400,47.5
814204800,40.1
814291200,39.2
814377600,46.7
814464000,48.1
814550400,48.6
814636800,49.7
814723200,53.1
814809600,47.3
814896000,38.2
814982400,35.2
815068800,36.3
815155200,31.8
815241600,30.8
815328000,31.0
815414400,28.0
815500800,25.3
815587200,37.1
815673600,27.9
815760000,28.4
815846400,37.8
815932800,36.5
816019200,33.4
816105600,27.8
816192000,33.7
816278400,33.1
816364800,37.5
816451200,31.5
816537600,28.0
816624000,25.4
816710400,26.9
816796800,20.2
816883200,33.3
816969600,33.5
817056000,37.8
817142400,45.9
817228800,44.4
817315200,39.4
817401600,32.8
817488000,24.8
817574400,30.4
817660800,26.8
817747200,28.3
817833600,27.0
817920000,31.2
818006400,25.6
818092800,19.7
818179200,26.7
818265600,28.3
818352000,34.9
818438400,30.3
818524800,32.0
818611200,31.8
818697600,31.1
818784000,30.0
818870400,28.0
818956800,29.0
819043200,26.6
819129600,28.4
819216000,24.1
819302400,17.6
819388800,15.2
819475200,15.6
819561600,8.1
819648000,23.1
819734400,11.8
819820800,3.0
819907200,1.7
819993600,7.4
820080000,12.0
820166400,18.1
820252800,22.9
820339200,12.9
820425600,13.1
820512000,4.9
820598400,13.2
820684800,11.8
820771200,3.0
820857600,20.3
820944000,32.5
821030400,32.2
821116800,33.2
821203200,33.7
821289600,32.7
821376000,32.7
821462400,34.8
821548800,34.4
821635200,33.1
821721600,29.7
821808000,30.0
821894400,31.1
821980800,29.5
822067200,27.9
822153600,24.4
822240000,26.8
822326400,25.5
822412800,23.3
822499200,24.4
822585600,19.2
822672000,18.2
822758400,25.8
822844800,25.3
822931200,25.1
823017600,21.2
823104000,21.0
823190400,26.8
823276800,24.7
823363200,19.7
823449600,7.1
823536000,4.5
823622400,6.4
823708800,4.8
823795200,9.0
823881600,20.3
823968000,21.0
824054400,19.8
824140800,18.4
824227200,13.9
824313600,29.7
824400000,31.8
824486400,17.3
824572800,9.4
824659200,16.5
824745600,16.1
824832000,15.3
824918400,16.7
825004800,8.9
825091200,21.5
825177600,25.1
825264000,34.1
825350400,34.1
825436800,32.7
825523200,33.8
825609600,31.4
825696000,29.7
825782400,25.5
825868800,30.7
825955200,34.5
826041600,27.3
826128000,27.1
826214400,32.5
826300800,30.1
826387200,30.2
826473600,29.9
826560000,27.9
826646400,29.4
826732800,30.1
826819200,29.2
826905600,32.6
826992000,31.6
827078400,29.2
827164800,30.6
827251200,32.2
827337600,25.6
827424000,24.8
827510400,30.1
827596800,32.7
827683200,32.0
827769600,32.2
827856000,32.4
827942400,34.2
828028800,32.9
828115200,31.9
828201600,32.5
828288000,33.6
828374400,31.5
828460800,35.2
828547200,39.3
828633600,41.1
828720000,44.2
828806400,45.1
828892800,46.0
828979200,50.2
829065600,36.1
829152000,32.1
829238400,35.1
829324800,36.9
829411200,41.4
829497600,40.8
829584000,45.8
829670400,50.6
829756800,51.8
829843200,52.7
829929600,53.5
830016000,51.2
830102400,58.1
830188800,47.4
830275200,44.7
830361600,39.8
830448000,39.6
830534400,46.8
830620800,48.8
830707200,41.3
830793600,43.1
830880000,46.2
830966400,47.3
831052800,47.1
831139200,47.1
831225600,38.9
831312000,39.9
831398400,45.7
831484800,45.4
831571200,44.0
831657600,43.3
831744000,45.3
831830400,56.9
831916800,62.8
832003200,59.5
832089600,42.6
832176000,41.3
832262400,38.6
832348800,43.2
832435200,44.0
832521600,44.6
832608000,51.9
832694400,53.2
832780800,56.4
832867200,54.3
832953600,50.4
833040000,50.3
833126400,52.7
833212800,48.9
833299200,49.6
833385600,54.9
833472000,55.9
833558400,57.0
833644800,58.2
833731200,59.1
833817600,60.1
833904000,62.6
833990400,64.4
834076800,60.8
834163200,61.7
834249600,62.3
834336000,63.2
834422400,70.0
834508800,64.7
834595200,58.0
834681600,56.3
834768000,57.3
834854400,59.3
834940800,58.9
835027200,57.0
835113600,53.1
835200000,54.8
835286400,54.8
835372800,56.3
835459200,59.7
835545600,60.2
835632000,62.6
835718400,64.4
835804800,60.1
835891200,61.0
835977600,61.4
836064000,62.4
836150400,56.7
836236800,56.9
836323200,54.7
836409600,57.4
836496000,60.4
836582400,57.0
836668800,60.7
836755200,62.4
836841600,54.5
836928000,57.1
837014400,66.3
837100800,63.6
837187200,63.4
837273600,63.4
837360000,63.9
837446400,57.2
837532800,57.4
837619200,55.7
837705600,59.3
837792000,61.4
837878400,58.2
837964800,66.8
838051200,71.3
838137600,68.0
838224000,65.5
838310400,71.1
838396800,65.6
838483200,63.7
838569600,64.0
838656000,63.4
838742400,62.1
838828800,64.2
838915200,62.5
839001600,62.0
839088000,66.1
839174400,67.4
839260800,66.6
839347200,64.3
839433600,64.9
839520000,63.2
839606400,67.2
839692800,69.4
839779200,69.3
839865600,70.5
839952000,70.7
840038400,69.6
840124800,68.2
840211200,70.2
840297600,66.7
840384000,71.9
840470400,72.6
840556800,73.2
840643200,72.6
840729600,70.0
840816000,68.3
840902400,71.4
840988800,68.2
841075200,66.7
841161600,67.0
841248000,68.1
841334400,67.1
841420800,64.9
841507200,64.1
841593600,63.3
841680000,61.0
841766400,55.9
841852800,52.5
841939200,51.7
842025600,52.5
842112000,53.6
842198400,50.5
842284800,45.6
842371200,46.2
842457600,49.4
842544000,52.8
842630400,49.3
842716800,51.3
842803200,51.1
842889600,51.2
842976000,49.8
843062400,52.9
843148800,47.0
843235200,46.2
843321600,47.7
843408000,47.2
843494400,48.6
843580800,45.8
843667200,46.9
843753600,48.2
843840000,51.6
843926400,50.9
844012800,53.0
844099200,52.4
844185600,45.8
844272000,48.4
844358400,53.2
844444800,49.6
844531200,51.3
844617600,55.1
844704000,56.0
844790400,53.1
844876800,48.6
844963200,42.6
845049600,50.5
845136000,46.0
845222400,47.4
845308800,48.7
845395200,48.4
845481600,51.2
845568000,50.8
845654400,45.1
845740800,44.4
845827200,41.9
845913600,40.3
846000000,42.9
846086400,42.2
846172800,42.1
846259200,44.7
846345600,46.7
846432000,47.5
846518400,50.1
846604800,40.9
846691200,31.7
846777600,44.8
846864000,47.1
846950400,52.4
847036800,47.0
847123200,50.5
847209600,45.2
847296000,39.7
847382400,34.9
847468800,38.4
847555200,32.1
847641600,30.3
847728000,38.0
847814400,35.1
847900800,27.3
847987200,39.4
848073600,44.5
848160000,42.4
848246400,38.6
848332800,43.7
848419200,39.5
848505600,42.2
848592000,35.9
848678400,36.7
848764800,31.4
848851200,28.2
848937600,30.2
849024000,30.2
849110400,31.3
849196800,31.8
849283200,34.0
849369600,33.5
849456000,36.8
849542400,38.9
849628800,40.5
849715200,41.0
849801600,39.7
849888000,31.0
849974400,34.9
850060800,40.2
850147200,40.6
850233600,36.2
850320000,32.9
850406400,23.4
850492800,9.2
850579200,13.0
850665600,22.6
850752000,20.7
850838400,20.1
850924800,14.8
851011200,13.2
851097600,20.9
851184000,19.5
851270400,13.2
851356800,23.7
851443200,11.7
851529600,17.1
851616000,30.8
851702400,29.7
851788800,29.0
851875200,23.2
851961600,19.6
852048000,17.8
852134400,13.3
852220800,14.6
852307200,17.2
852393600,24.6
852480000,17.8
852566400,22.7
852652800,22.5
852739200,25.9
852825600,15.5
852912000,17.9
852998400,21.7
853084800,39.4
853171200,38.9
853257600,39.7
853344000,36.4
853430400,30.6
853516800,32.4
853603200,34.8
853689600,26.4
853776000,33.2
853862400,32.9
853948800,31.6
854035200,26.1
854121600,19.2
854208000,32.6
854294400,32.7
854380800,32.9
854467200,38.0
854553600,35.9
854640000,32.7
854726400,28.7
854812800,27.2
854899200,28.8
854985600,34.4
855072000,28.6
855158400,29.6
855244800,40.3
855331200,39.4
855417600,34.1
855504000,37.8
855590400,37.9
855676800,35.9
855763200,28.0
855849600,19.6
855936000,12.8
856022400,15.9
856108800,15.2
856195200,29.4
856281600,32.5
856368000,33.4
856454400,36.4
856540800,36.7
856627200,42.8
856713600,43.7
856800000,40.4
856886400,39.1
856972800,37.4
857059200,33.0
857145600,42.9
857232000,43.3
857318400,42.9
857404800,39.6
857491200,38.7
857577600,40.1
857664000,37.4
857750400,42.1
857836800,38.4
857923200,37.1
858009600,41.4
858096000,39.4
858182400,41.5
858268800,33.1
858355200,30.4
858441600,27.6
858528000,26.8
858614400,26.8
858700800,26.4
858787200,27.8
858873600,27.0
858960000,26.1
859046400,26.1
859132800,26.0
859219200,28.9
859305600,32.4
859392000,45.3
859478400,39.2
859564800,36.8
859651200,40.5
859737600,47.9
859824000,49.3
859910400,47.1
859996800,46.1
860083200,37.1
860169600,34.4
860256000,32.6
860342400,34.9
860428800,35.9
860515200,38.9
860601600,44.0
860688000,32.5
860774400,30.4
860860800,42.8
860947200,39.7
861033600,34.1
861120000,40.8
861206400,43.0
861292800,38.2
861379200,36.2
861465600,36.8
861552000,39.0
861638400,40.4
861724800,36.6
861811200,36.9
861897600,41.4
861984000,40.7
862070400,46.4
862156800,49.3
862243200,42.5
862329600,43.1
862416000,50.9
862502400,55.8
862588800,46.4
862675200,44.2
862761600,37.8
862848000,45.7
862934400,46.1
863020800,46.9
863107200,43.0
863193600,45.1
863280000,50.4
863366400,55.0
863452800,55.9
863539200,57.1
863625600,56.4
863712000,53.7
863798400,52.9
863884800,53.8
863971200,47.0
864057600,41.9
864144000,43.4
864230400,45.0
864316800,43.2
864403200,46.7
864489600,48.0
864576000,48.4
864662400,48.5
864748800,48.6
864835200,46.1
864921600,46.6
865008000,49.0
865094400,57.0
865180800,61.4
865267200,56.1
865353600,53.8
865440000,60.1
865526400,62.7
865612800,65.0
865699200,64.5
865785600,66.2
865872000,66.7
865958400,66.5
866044800,67.8
866131200,67.9
866217600,62.4
866304000,64.5
866390400,56.6
866476800,50.1
866563200,55.5
866649600,57.4
866736000,58.6
866822400,58.5
866908800,57.7
866995200,60.4
867081600,60.1
867168000,57.1
867254400,57.5
867340800,58.7
867427200,64.0
867513600,65.4
867600000,68.8
867686400,73.8
867772800,71.2
867859200,67.8
867945600,69.1
868032000,71.9
868118400,69.7
868204800,71.8
868291200,64.4
868377600,60.8
868464000,59.5
868550400,58.5
868636800,60.2
868723200,62.0
868809600,63.2
868896000,65.6
868982400,64.3
869068800,62.4
869155200,63.5
869241600,66.0
869328000,70.8
869414400,70.8
869500800,72.7
869587200,71.7
869673600,69.3
869760000,67.5
869846400,65.7
869932800,68.2
870019200,63.3
870105600,61.7
870192000,66.3
870278400,66.6
870364800,67.6
870451200,67.6
870537600,70.7
870624000,67.2
870710400,68.6
870796800,67.9
870883200,69.2
870969600,71.0
871056000,72.3
871142400,72.6
871228800,66.4
871315200,68.1
871401600,68.9
871488000,63.7
871574400,59.5
871660800,62.8
871747200,69.9
871833600,69.0
871920000,71.4
872006400,73.1
872092800,72.2
872179200,72.4
872265600,68.5
872352000,67.4
872438400,68.5
872524800,74.3
872611200,73.8
872697600,74.0
872784000,71.9
872870400,70.3
872956800,70.6
873043200,67.7
873129600,67.8
873216000,66.4
873302400,66.0
873388800,62.3
873475200,60.1
873561600,57.7
873648000,59.0
873734400,55.4
873820800,55.2
873907200,53.2
873993600,56.2
874080000,56.3
874166400,52.6
874252800,53.6
874339200,58.9
874425600,58.5
874512000,47.7
874598400,48.0
874684800,47.2
874771200,50.6
874857600,53.1
874944000,48.4
875030400,49.8
875116800,57.8
875203200,53.4
875289600,48.5
875376000,43.9
875462400,46.8
875548800,48.4
875635200,43.8
875721600,46.7
875808000,46.0
875894400,47.3
875980800,42.1
876067200,43.3
876153600,48.7
876240000,52.8
876326400,46.5
876412800,47.6
876499200,45.3
876585600,42.4
876672000,36.3
876758400,38.0
876844800,37.7
876931200,38.2
877017600,39.3
877104000,49.8
877190400,48.5
877276800,36.9
877363200,36.8
877449600,36.5
877536000,30.9
877622400,29.7
877708800,28.9
877795200,29.7
877881600,30.0
877968000,32.9
878054400,38.2
878140800,37.4
878227200,44.4
878313600,47.8
878400000,33.1
878486400,29.1
878572800,26.6
878659200,31.6
878745600,39.7
878832000,37.9
878918400,45.4
879004800,39.0
879091200,44.4
879177600,44.5
879264000,43.8
879350400,43.5
879436800,41.4
879523200,38.3
879609600,34.8
879696000,38.1
879782400,33.3
879868800,35.6
879955200,35.9
880041600,37.0
880128000,35.2
880214400,34.4
880300800,31.8
880387200,30.8
880473600,31.0
880560000,22.6
880646400,22.4
880732800,28.5
880819200,33.1
880905600,36.1
880992000,32.4
881078400,28.9
881164800,19.7
881251200,23.5
881337600,29.9
881424000,28.2
881510400,38.0
881596800,39.6
881683200,40.9
881769600,39.1
881856000,35.5
881942400,31.8
882028800,31.7
882115200,28.5
882201600,29.7
882288000,31.9
882374400,27.7
882460800,25.7
882547200,27.6
882633600,31.3
882720000,29.7
882806400,26.9
882892800,28.6
882979200,35.7
883065600,36.5
883152000,29.7
883238400,25.6
883324800,34.6
883411200,34.7
883497600,36.0
883584000,36.3
883670400,38.5
883756800,39.2
883843200,38.9
883929600,34.6
884016000,31.1
884102400,29.8
884188800,30.6
884275200,29.1
884361600,35.4
884448000,44.1
884534400,40.9
884620800,39.3
884707200,38.6
884793600,39.2
884880000,40.2
884966400,38.5
885052800,32.6
885139200,35.1
885225600,29.1
885312000,27.0
885398400,29.8
885484800,32.0
885571200,26.6
885657600,29.2
885744000,29.4
885830400,31.8
885916800,22.0
886003200,19.3
886089600,21.1
886176000,21.1
886262400,22.9
886348800,27.4
886435200,24.3
886521600,23.3
886608000,24.5
886694400,23.7
886780800,36.2
886867200,34.5
886953600,38.3
887040000,42.3
887126400,37.7
887212800,36.1
887299200,32.6
887385600,34.0
887472000,32.3
887558400,32.5
887644800,27.6
887731200,41.5
887817600,42.9
887904000,43.2
887990400,44.4
888076800,43.5
888163200,42.6
888249600,34.3
888336000,29.6
888422400,42.1
888508800,41.2
888595200,36.4
888681600,31.8
888768000,27.1
888854400,29.6
888940800,32.8
889027200,27.1
889113600,29.4
889200000,27.9
889286400,28.1
889372800,19.1
889459200,17.5
889545600,23.8
889632000,30.8
889718400,25.0
889804800,24.1
889891200,24.8
889977600,33.7
890064000,34.2
890150400,40.2
890236800,32.6
890323200,33.8
890409600,34.8
890496000,33.7
890582400,30.9
890668800,33.0
890755200,36.1
890841600,39.9
890928000,35.3
891014400,36.5
891100800,35.8
891187200,43.7
891273600,41.8
891360000,27.2
891446400,27.1
891532800,27.0
891619200,32.1
891705600,32.0
891792000,34.1
891878400,32.4
891964800,35.0
892051200,31.8
892137600,34.4
892224000,37.5
892310400,32.0
892396800,33.0
892483200,35.2
892569600,37.3
892656000,40.2
892742400,40.3
892828800,38.4
892915200,36.4
893001600,38.2
893088000,42.1
893174400,39.1
893260800,42.6
893347200,46.5
893433600,51.2
893520000,47.5
893606400,47.4
893692800,53.4
893779200,54.2
893865600,57.3
893952000,55.2
894038400,51.4
894124800,42.0
894211200,42.5
894297600,41.4
894384000,46.7
894470400,50.5
894556800,56.8
894643200,54.7
894729600,60.6
894816000,51.4
894902400,48.2
894988800,48.8
895075200,53.5
895161600,55.6
895248000,53.6
895334400,57.5
895420800,61.6
895507200,56.7
895593600,46.8
895680000,44.5
895766400,42.1
895852800,45.0
895939200,45.8
896025600,42.3
896112000,45.0
896198400,48.7
896284800,51.4
896371200,52.2
896457600,53.7
896544000,60.5
896630400,50.1
896716800,47.7
896803200,50.7
896889600,57.1
896976000,53.4
897062400,54.1
897148800,54.6
897235200,61.4
897321600,58.6
897408000,61.8
897494400,59.9
897580800,60.4
897667200,59.4
897753600,57.9
