timestamp,value
788889600,59.1
788976000,64.6
789062400,79.1
789148800,77.3
789235200,70.2
789321600,56.3
789408000,54.3
789494400,61.2
789580800,77.5
789667200,75.7
789753600,76.3
789840000,67.3
789926400,77.3
790012800,71.0
790099200,69.3
790185600,64.9
790272000,66.6
790358400,70.8
790444800,80.3
790531200,60.5
790617600,57.4
790704000,63.9
790790400,72.9
790876800,69.0
790963200,64.8
791049600,67.6
791136000,69.9
791222400,69.8
791308800,68.3
791395200,64.4
791481600,60.0
791568000,69.4
791654400,70.0
791740800,59.3
791827200,74.8
791913600,58.6
792000000,58.3
792086400,65.0
792172800,61.2
792259200,59.9
792345600,60.6
792432000,72.3
792518400,76.2
792604800,79.8
792691200,81.6
792777600,80.2
792864000,60.3
792950400,62.1
793036800,61.1
793123200,61.9
793209600,63.7
793296000,71.5
793382400,61.1
793468800,65.6
793555200,83.3
793641600,83.5
793728000,69.3
793814400,67.9
793900800,63.8
793987200,66.3
794073600,65.8
794160000,70.6
794246400,70.1
794332800,72.3
794419200,72.0
794505600,77.0
794592000,65.4
794678400,60.4
794764800,60.3
794851200,69.1
794937600,54.5
795024000,60.2
795110400,60.7
795196800,53.5
795283200,61.7
795369600,62.8
795456000,58.0
795542400,57.6
795628800,63.1
795715200,64.5
795801600,62.1
795888000,60.3
795974400,53.0
796060800,52.2
796147200,57.6
796233600,56.2
796320000,56.1
796406400,57.2
796492800,54.7
796579200,49.8
796665600,55.4
796752000,52.5
796838400,58.9
796924800,60.0
797011200,50.7
797097600,49.7
797184000,48.8
797270400,52.6
797356800,51.3
797443200,52.2
797529600,54.5
797616000,54.0
797702400,55.6
797788800,59.4
797875200,64.1
797961600,51.7
798048000,52.9
798134400,53.9
798220800,53.6
798307200,55.0
798393600,53.1
798480000,57.2
798566400,56.4
798652800,48.7
798739200,58.2
798825600,49.1
798912000,49.2
798998400,58.3
799084800,67.3
799171200,58.2
799257600,55.5
799344000,53.5
799430400,49.5
799516800,51.2
799603200,50.9
799689600,53.7
799776000,50.2
799862400,54.0
799948800,56.7
800035200,59.2
800121600,64.4
800208000,66.4
800294400,58.3
800380800,49.8
800467200,54.9
800553600,53.6
800640000,52.2
800726400,49.7
800812800,52.5
800899200,51.5
800985600,51.9
801072000,53.2
801158400,52.2
801244800,55.0
801331200,52.0
801417600,47.5
801504000,52.9
801590400,48.7
801676800,48.6
801763200,47.7
801849600,50.2
801936000,49.1
802022400,49.5
802108800,45.9
802195200,45.7
802281600,54.5
802368000,55.1
802454400,61.4
802540800,61.0
802627200,60.7
802713600,54.6
802800000,51.4
802886400,51.0
802972800,48.9
803059200,44.6
803145600,48.8
803232000,47.7
803318400,45.6
803404800,51.2
803491200,49.5
803577600,48.1
803664000,42.1
803750400,42.9
803836800,49.5
803923200,50.0
804009600,51.3
804096000,53.6
804182400,49.2
804268800,47.5
804355200,47.1
804441600,48.4
804528000,47.0
804614400,51.8
804700800,44.7
804787200,47.6
804873600,48.3
804960000,48.2
805046400,46.9
805132800,50.0
805219200,43.2
805305600,42.6
805392000,48.5
805478400,50.5
805564800,50.5
805651200,47.6
805737600,50.5
805824000,51.8
805910400,48.1
805996800,45.4
806083200,46.5
806169600,45.8
806256000,46.0
806342400,47.6
806428800,48.7
806515200,45.0
806601600,45.0
806688000,44.2
806774400,47.8
806860800,43.8
806947200,45.2
807033600,45.9
807120000,44.8
807206400,47.7
807292800,41.2
807379200,47.0
807465600,46.7
807552000,45.3
807638400,44.6
807724800,43.1
807811200,44.3
807897600,47.5
807984000,45.9
808070400,46.5
808156800,49.3
808243200,50.2
808329600,51.9
808416000,55.8
808502400,60.3
808588800,59.3
808675200,55.5
808761600,58.5
808848000,60.6
808934400,49.9
809020800,55.4
809107200,50.6
809193600,60.8
809280000,51.1
809366400,54.1
809452800,43.9
809539200,47.5
809625600,55.6
809712000,49.2
809798400,48.7
809884800,48.1
809971200,45.7
810057600,52.7
810144000,43.7
810230400,39.5
810316800,42.7
810403200,45.3
810489600,48.4
810576000,44.5
810662400,52.2
810748800,50.8
810835200,53.4
810921600,58.4
811008000,47.9
811094400,47.2
811180800,51.5
811267200,47.0
811353600,63.9
811440000,56.9
811526400,51.3
