timestamp,value
788889600,35.2
788976000,32.2
789062400,25.6
789148800,21.1
789235200,14.4
789321600,18.6
789408000,28.9
789494400,25.1
789580800,24.2
789667200,17.2
789753600,13.6
789840000,33.8
789926400,54.9
790012800,54.5
790099200,64.2
790185600,51.4
790272000,34.3
790358400,35.7
790444800,44.0
790531200,43.8
790617600,41.1
790704000,33.2
790790400,28.2
790876800,30.2
790963200,29.3
791049600,25.2
791136000,21.6
791222400,10.3
791308800,8.9
791395200,17.5
791481600,31.0
791568000,35.3
791654400,20.2
791740800,10.2
791827200,21.0
791913600,10.6
792000000,-0.2
792086400,2.4
792172800,13.3
792259200,16.6
792345600,27.1
792432000,28.3
792518400,8.7
792604800,14.1
792691200,19.3
792777600,16.9
792864000,34.7
792950400,28.2
793036800,29.2
793123200,38.0
793209600,33.8
793296000,33.6
793382400,20.0
793468800,29.9
793555200,31.0
793641600,18.0
793728000,5.5
793814400,17.2
793900800,31.8
793987200,28.5
794073600,23.1
794160000,17.0
794246400,23.5
794332800,33.5
794419200,41.4
794505600,43.7
794592000,42.8
794678400,19.2
794764800,14.0
794851200,28.5
794937600,42.9
795024000,50.4
795110400,53.3
795196800,50.6
795283200,51.7
795369600,42.9
795456000,36.5
795542400,38.6
795628800,50.7
795715200,50.4
795801600,40.5
795888000,38.0
795974400,34.5
796060800,34.4
796147200,39.8
796233600,36.8
796320000,39.6
796406400,41.6
796492800,43.5
796579200,38.7
796665600,34.0
796752000,32.5
796838400,38.4
796924800,41.1
797011200,21.5
797097600,26.8
797184000,32.6
797270400,32.2
797356800,36.5
797443200,31.7
797529600,42.3
797616000,54.8
797702400,48.0
797788800,41.6
797875200,38.6
797961600,40.8
798048000,39.8
798134400,46.4
798220800,62.0
798307200,47.7
798393600,54.1
798480000,50.0
798566400,42.9
798652800,41.9
798739200,45.1
798825600,49.1
798912000,56.6
798998400,52.9
799084800,48.3
799171200,44.4
799257600,48.8
799344000,53.0
799430400,56.4
799516800,54.5
799603200,56.7
799689600,51.8
799776000,46.3
799862400,46.8
799948800,51.7
800035200,57.1
800121600,55.6
800208000,56.0
800294400,58.2
800380800,61.3
800467200,57.1
800553600,57.8
800640000,61.5
800726400,53.9
800812800,54.8
800899200,55.3
800985600,62.1
801072000,56.1
801158400,60.2
801244800,67.6
801331200,57.2
801417600,61.6
801504000,58.9
801590400,58.3
801676800,65.1
801763200,61.9
801849600,68.0
801936000,68.9
802022400,72.5
802108800,70.4
802195200,66.0
802281600,63.8
802368000,68.9
802454400,73.1
802540800,61.0
802627200,55.8
802713600,63.4
802800000,73.3
802886400,60.0
802972800,58.5
803059200,62.8
803145600,62.8
803232000,63.6
803318400,67.6
803404800,77.1
803491200,82.6
803577600,80.0
803664000,70.1
803750400,73.4
803836800,72.0
803923200,74.7
804009600,77.2
804096000,79.0
804182400,74.1
804268800,70.2
804355200,73.8
804441600,76.9
804528000,71.5
804614400,64.5
804700800,63.6
804787200,69.4
804873600,79.5
804960000,80.2
805046400,75.5
805132800,64.9
805219200,62.2
805305600,66.4
805392000,69.2
805478400,69.7
805564800,76.1
805651200,81.9
805737600,82.5
805824000,75.3
805910400,77.5
805996800,75.6
806083200,71.6
806169600,73.2
806256000,73.2
806342400,69.8
806428800,76.7
806515200,70.8
806601600,72.6
806688000,77.0
806774400,73.4
806860800,74.4
806947200,83.2
807033600,75.9
807120000,73.3
807206400,78.0
807292800,75.9
807379200,75.9
807465600,75.4
807552000,71.4
807638400,70.8
807724800,69.3
807811200,69.3
807897600,70.4
807984000,72.6
808070400,77.6
808156800,74.2
808243200,71.3
808329600,73.2
808416000,83.4
808502400,76.6
808588800,74.2
808675200,77.7
808761600,68.2
808848000,77.4
808934400,75.6
809020800,70.5
809107200,65.5
809193600,71.4
809280000,60.3
809366400,62.0
809452800,65.9
809539200,61.5
809625600,70.1
809712000,61.1
809798400,67.5
809884800,67.5
809971200,63.0
810057600,60.0
810144000,67.2
810230400,67.0
810316800,69.2
810403200,71.1
810489600,55.0
810576000,57.0
810662400,51.6
810748800,53.5
810835200,61.1
810921600,71.4
811008000,66.8
811094400,54.4
811180800,56.1
811267200,63.6
811353600,54.4
811440000,51.3
811526400,59.5
811612800,61.8
811699200,61.2
811785600,49.9
811872000,47.5
811958400,51.6
812044800,57.4
812131200,59.1
812217600,56.4
812304000,51.2
812390400,58.0
812476800,58.0
812563200,65.6
812649600,56.9
812736000,58.8
812822400,55.5
812908800,62.0
812995200,60.7
813081600,56.2
813168000,53.7
813254400,50.6
813340800,59.3
813427200,60.4
813513600,62.8
813600000,60.5
813686400,52.6
813772800,46.9
813859200,46.4
813945600,57.6
814032000,56.1
814118400,61.5
