timestamp,value
788889600,61.1
788976000,66.6
789062400,64.8
789148800,54.8
789235200,49.1
789321600,54.1
789408000,62.0
789494400,60.8
789580800,66.1
789667200,66.1
789753600,64.7
789840000,60.3
789926400,56.0
790012800,57.0
790099200,59.9
790185600,59.3
790272000,63.1
790358400,63.8
790444800,64.8
790531200,66.3
790617600,69.3
790704000,72.0
790790400,59.5
790876800,60.3
790963200,62.2
791049600,61.8
791136000,56.9
791222400,56.6
791308800,58.5
791395200,55.4
791481600,53.2
791568000,51.8
791654400,53.8
791740800,54.7
791827200,50.7
791913600,49.3
792000000,53.2
792086400,58.1
792172800,61.8
792259200,61.7
792345600,63.8
792432000,67.0
792518400,68.9
792604800,66.3
792691200,59.0
792777600,56.6
792864000,58.4
792950400,60.7
793036800,63.2
793123200,60.7
793209600,59.2
793296000,56.4
793382400,59.3
793468800,59.6
793555200,60.5
793641600,55.5
793728000,55.3
793814400,55.5
793900800,58.0
793987200,60.1
794073600,61.9
794160000,56.7
794246400,53.9
794332800,57.5
794419200,61.1
794505600,65.8
794592000,69.9
794678400,70.6
794764800,60.2
794851200,62.3
794937600,57.4
795024000,59.4
795110400,64.2
795196800,68.3
795283200,72.9
795369600,59.5
795456000,56.4
795542400,59.2
795628800,62.1
795715200,69.1
795801600,72.4
795888000,73.7
795974400,70.3
796060800,56.6
796147200,58.8
796233600,67.3
796320000,71.5
796406400,69.2
796492800,63.4
796579200,61.3
796665600,62.0
796752000,60.3
796838400,58.8
796924800,63.2
797011200,64.9
797097600,63.6
797184000,65.3
797270400,72.4
797356800,73.7
797443200,70.3
797529600,66.2
797616000,70.3
797702400,75.0
797788800,81.3
797875200,81.4
797961600,78.7
798048000,75.7
798134400,79.3
798220800,66.1
798307200,75.6
798393600,77.8
798480000,82.2
798566400,74.2
798652800,75.8
798739200,78.0
798825600,71.8
798912000,74.0
798998400,77.8
799084800,80.1
799171200,81.2
799257600,80.9
799344000,80.2
799430400,74.8
799516800,67.9
799603200,67.4
799689600,73.2
799776000,70.3
799862400,75.2
799948800,78.1
800035200,76.4
800121600,72.9
800208000,79.7
800294400,80.6
800380800,77.6
800467200,67.3
800553600,66.4
800640000,71.7
800726400,75.1
800812800,79.7
800899200,84.1
800985600,69.7
801072000,67.0
801158400,72.0
801244800,78.3
801331200,82.5
801417600,83.1
801504000,81.6
801590400,83.1
801676800,84.2
801763200,85.6
801849600,86.1
801936000,84.8
802022400,84.5
802108800,83.9
802195200,82.6
802281600,78.0
802368000,80.1
802454400,82.3
802540800,82.8
802627200,76.4
802713600,76.7
802800000,77.0
802886400,79.3
802972800,79.9
803059200,79.5
803145600,81.5
803232000,82.8
803318400,85.2
803404800,83.6
803491200,86.6
803577600,87.8
803664000,87.8
803750400,90.0
803836800,88.0
803923200,88.4
804009600,89.5
804096000,88.9
804182400,87.3
804268800,77.7
804355200,86.4
804441600,83.2
804528000,84.9
804614400,85.6
804700800,83.4
804787200,84.6
804873600,85.1
804960000,86.0
805046400,87.2
805132800,87.1
805219200,84.3
805305600,81.9
805392000,81.4
805478400,83.1
805564800,84.6
805651200,84.9
805737600,83.6
805824000,86.2
805910400,85.9
805996800,89.1
806083200,89.1
806169600,87.4
806256000,90.7
806342400,90.4
806428800,84.9
806515200,81.7
806601600,82.6
806688000,85.5
806774400,84.1
806860800,85.5
806947200,86.0
807033600,83.1
807120000,82.6
807206400,83.9
807292800,80.9
807379200,80.4
807465600,85.7
807552000,83.9
807638400,83.6
807724800,85.0
807811200,86.0
807897600,87.4
807984000,86.6
808070400,86.0
808156800,84.2
808243200,82.4
808329600,84.2
808416000,85.4
808502400,85.4
808588800,87.7
808675200,89.1
808761600,85.9
808848000,87.3
808934400,86.1
809020800,85.9
809107200,83.0
809193600,80.5
809280000,80.5
809366400,84.7
809452800,86.4
809539200,86.8
809625600,86.1
809712000,85.9
809798400,86.8
809884800,85.6
809971200,86.6
810057600,85.5
810144000,86.5
810230400,86.3
810316800,86.8
810403200,86.3
810489600,86.9
810576000,85.7
810662400,87.5
810748800,84.5
810835200,81.6
810921600,81.0
811008000,83.8
811094400,83.0
811180800,79.5
811267200,78.6
811353600,78.6
811440000,78.3
811526400,72.6
811612800,71.2
811699200,74.6
811785600,75.7
811872000,77.4
811958400,77.4
812044800,80.8
812131200,80.4
812217600,80.8
812304000,79.9
812390400,84.0
812476800,82.6
812563200,85.6
812649600,85.3
812736000,84.9
812822400,82.7
812908800,77.2
812995200,77.1
813081600,77.8
813168000,75.8
813254400,76.4
813340800,77.0
813427200,76.6
813513600,76.1
813600000,79.2
813686400,80.2
813772800,74.9
813859200,75.5
813945600,76.6
814032000,75.0
814118400,76.9
814204800,74.9
814291200,75.3
814377600,75.8
814464000,74.8
814550400,71.3
814636800,73.3
814723200,74.5
814809600,75.3
814896000,75.6
814982400,75.5
815068800,72.8
815155200,70.1
815241600,68.9
815328000,69.9
815414400,74.5
815500800,75.3
815587200,78.7
815673600,72.8
815760000,65.8
815846400,69.4
815932800,68.0
816019200,69.0
816105600,74.0
816192000,75.8
816278400,66.4
816364800,62.3
816451200,69.4
816537600,72.3
816624000,73.2
816710400,70.9
816796800,64.1
816883200,66.5
816969600,69.3
817056000,61.0
817142400,53.9
817228800,62.2
817315200,66.8
817401600,66.5
817488000,66.3
