timestamp,value
788889600,56.8
788976000,54.8
789062400,46.8
789148800,46.6
789235200,38.8
789321600,48.0
789408000,64.9
789494400,44.1
789580800,42.5
789667200,54.2
789753600,56.0
789840000,54.4
789926400,60.6
790012800,64.6
790099200,53.1
790185600,48.5
790272000,45.7
790358400,50.6
790444800,55.2
790531200,48.8
790617600,41.9
790704000,46.6
790790400,50.1
790876800,41.1
790963200,40.3
791049600,46.2
791136000,49.1
791222400,63.7
791308800,60.0
791395200,51.6
791481600,39.9
791568000,40.1
791654400,50.8
791740800,62.3
791827200,55.0
791913600,47.0
792000000,43.5
792086400,43.5
792172800,41.6
792259200,34.8
792345600,52.4
792432000,66.4
792518400,53.4
792604800,48.8
792691200,54.0
792777600,63.1
792864000,66.7
792950400,66.7
793036800,65.7
793123200,60.2
793209600,60.3
793296000,56.6
793382400,48.8
793468800,51.1
793555200,57.8
793641600,53.5
793728000,54.8
793814400,62.6
793900800,62.0
793987200,62.9
794073600,59.0
794160000,56.7
794246400,59.5
794332800,65.2
794419200,67.4
794505600,68.7
794592000,63.9
794678400,47.4
794764800,46.5
794851200,56.7
794937600,64.2
795024000,67.7
795110400,69.7
795196800,66.2
795283200,65.2
795369600,64.8
795456000,62.1
795542400,64.9
795628800,60.3
795715200,68.0
795801600,70.4
795888000,74.5
795974400,73.6
796060800,67.8
796147200,68.2
796233600,68.9
796320000,70.4
796406400,62.8
796492800,66.1
796579200,59.8
796665600,58.8
796752000,58.2
796838400,59.0
796924800,58.6
797011200,62.8
797097600,62.0
797184000,63.8
797270400,64.7
797356800,69.1
797443200,69.3
797529600,74.0
797616000,69.3
797702400,71.3
797788800,64.0
797875200,63.9
797961600,65.7
798048000,70.5
798134400,69.7
798220800,74.7
798307200,71.7
798393600,69.2
798480000,70.9
798566400,72.7
798652800,69.6
798739200,59.6
798825600,61.9
798912000,69.3
798998400,71.7
799084800,70.5
799171200,68.8
799257600,70.6
799344000,73.3
799430400,65.5
799516800,70.6
799603200,76.0
799689600,74.4
799776000,71.6
799862400,76.0
799948800,76.6
800035200,73.3
800121600,71.9
800208000,72.5
800294400,76.3
800380800,82.8
800467200,81.3
800553600,81.0
800640000,80.1
800726400,77.2
800812800,81.2
800899200,74.9
800985600,72.9
801072000,73.8
801158400,74.3
801244800,79.2
801331200,78.1
801417600,77.4
801504000,79.7
801590400,78.6
801676800,78.1
801763200,79.8
801849600,79.6
801936000,80.4
802022400,78.9
802108800,77.9
802195200,77.7
802281600,74.4
802368000,79.9
802454400,82.8
802540800,82.5
802627200,85.3
802713600,82.4
802800000,76.8
802886400,77.3
802972800,71.7
803059200,69.6
803145600,73.0
803232000,76.6
803318400,78.2
803404800,77.2
803491200,76.0
803577600,71.1
803664000,74.5
803750400,77.7
803836800,78.4
803923200,79.1
804009600,79.5
804096000,80.9
804182400,81.1
804268800,78.7
804355200,78.8
804441600,80.0
804528000,80.2
804614400,78.9
804700800,82.5
804787200,79.7
804873600,81.3
804960000,83.6
805046400,83.4
805132800,82.2
805219200,80.6
805305600,79.9
805392000,81.9
805478400,81.8
805564800,81.6
805651200,79.8
805737600,80.2
805824000,85.3
805910400,81.6
805996800,80.1
806083200,85.5
806169600,81.4
806256000,82.3
806342400,81.1
806428800,80.0
806515200,79.6
806601600,83.3
806688000,81.0
806774400,82.2
806860800,77.2
806947200,79.3
807033600,81.9
807120000,81.5
807206400,83.2
807292800,82.1
807379200,79.9
807465600,81.6
807552000,81.8
807638400,80.5
807724800,82.4
807811200,81.5
807897600,80.3
807984000,81.6
808070400,81.9
808156800,81.4
808243200,80.1
808329600,83.6
808416000,88.8
808502400,84.5
808588800,84.5
808675200,85.3
808761600,79.9
808848000,79.7
808934400,80.3
809020800,82.5
809107200,80.1
809193600,80.8
809280000,79.7
809366400,80.9
809452800,83.4
809539200,83.0
809625600,80.9
809712000,76.4
809798400,81.5
809884800,83.3
809971200,81.9
810057600,83.1
810144000,80.2
810230400,77.2
810316800,76.9
810403200,74.8
810489600,78.6
810576000,77.2
810662400,77.4
810748800,81.4
810835200,81.6
810921600,78.2
811008000,78.4
811094400,75.9
811180800,79.8
811267200,77.8
811353600,77.4
811440000,79.6
811526400,78.1
811612800,77.7
811699200,77.5
811785600,76.9
811872000,68.6
811958400,66.8
812044800,75.0
812131200,77.1
812217600,77.8
812304000,76.2
812390400,75.0
812476800,74.7
812563200,78.3
812649600,78.8
812736000,78.2
812822400,80.9
812908800,74.7
812995200,72.7
813081600,73.6
813168000,73.0
813254400,74.4
813340800,73.3
813427200,74.4
813513600,73.9
813600000,75.0
813686400,65.3
813772800,62.0
813859200,66.8
813945600,70.8
814032000,72.5
814118400,74.6
814204800,60.9
814291200,54.6
814377600,65.2
814464000,72.6
814550400,70.8
814636800,69.9
814723200,74.5
814809600,72.1
814896000,58.8
814982400,60.1
815068800,67.0
815155200,72.8
815241600,75.9
815328000,69.7
815414400,58.7
815500800,54.7
815587200,56.5
815673600,73.8
815760000,62.5
815846400,46.7
815932800,55.0
816019200,64.3
816105600,45.8
816192000,45.3
816278400,51.5
816364800,44.5
816451200,50.0
816537600,58.3
816624000,56.7
816710400,54.8
816796800,55.6
816883200,59.9
816969600,46.4
817056000,44.7
817142400,55.2
817228800,49.6
817315200,45.8
817401600,51.4
817488000,62.6
817574400,65.0
817660800,49.4
817747200,48.1
817833600,52.3
817920000,53.4
818006400,57.6
818092800,64.2
818179200,64.9
818265600,66.6
818352000,52.3
818438400,52.9
818524800,39.0
818611200,38.1
818697600,41.5
818784000,49.3
818870400,55.8
818956800,61.3
819043200,63.7
819129600,61.8
819216000,67.5
819302400,67.2
819388800,47.3
819475200,36.9
819561600,40.1
819648000,37.8
819734400,33.8
819820800,32.4
819907200,37.4
819993600,38.4
820080000,38.8
820166400,41.3
820252800,43.9
820339200,55.9
820425600,63.2
820512000,66.9
820598400,51.4
820684800,41.7
820771200,44.7
820857600,48.2
820944000,46.0
821030400,30.9
821116800,33.3
821203200,47.6
821289600,39.2
821376000,48.9
821462400,45.6
821548800,45.2
821635200,53.2
821721600,55.5
821808000,61.2
821894400,62.2
821980800,51.3
822067200,36.4
822153600,43.7
