timestamp,value
788889600,65.9
788976000,66.0
789062400,62.0
789148800,55.3
789235200,51.3
789321600,60.2
789408000,69.9
789494400,55.4
789580800,51.3
789667200,54.3
789753600,60.1
789840000,64.5
789926400,69.0
790012800,67.8
790099200,60.7
790185600,56.3
790272000,55.1
790358400,56.6
790444800,64.1
790531200,57.2
790617600,55.4
790704000,55.8
790790400,56.1
790876800,49.9
790963200,47.1
791049600,50.5
791136000,52.8
791222400,61.9
791308800,67.1
791395200,59.8
791481600,51.0
791568000,51.3
791654400,58.0
791740800,62.4
791827200,59.5
791913600,52.1
792000000,52.6
792086400,48.1
792172800,52.1
792259200,41.0
792345600,49.2
792432000,63.5
792518400,66.7
792604800,58.9
792691200,64.5
792777600,72.3
792864000,72.2
792950400,71.0
793036800,71.1
793123200,70.1
793209600,64.6
793296000,62.4
793382400,55.8
793468800,56.9
793555200,62.7
793641600,62.1
793728000,63.5
793814400,69.6
793900800,69.2
793987200,69.4
794073600,63.4
794160000,61.1
794246400,66.5
794332800,68.8
794419200,73.0
794505600,74.5
794592000,70.9
794678400,59.3
794764800,56.0
794851200,60.0
794937600,65.6
795024000,65.6
795110400,68.9
795196800,68.8
795283200,68.3
795369600,69.5
795456000,66.2
795542400,65.7
795628800,64.9
795715200,64.4
795801600,70.4
795888000,72.2
795974400,73.3
796060800,71.3
796147200,72.9
796233600,72.6
796320000,73.8
796406400,71.2
796492800,72.5
796579200,70.2
796665600,67.6
796752000,65.3
796838400,64.3
796924800,71.0
797011200,68.6
797097600,71.0
797184000,68.5
797270400,70.9
797356800,71.7
797443200,74.6
797529600,78.3
797616000,76.5
797702400,73.9
797788800,68.8
797875200,70.6
797961600,72.5
798048000,74.8
798134400,75.6
798220800,76.3
798307200,78.4
798393600,79.2
798480000,78.5
798566400,77.9
798652800,78.5
798739200,68.8
798825600,69.4
798912000,73.5
798998400,72.9
799084800,75.1
799171200,78.2
799257600,76.6
799344000,79.7
799430400,78.2
799516800,79.2
799603200,80.3
799689600,80.6
799776000,80.5
799862400,81.3
799948800,81.6
800035200,82.0
800121600,82.9
800208000,83.7
800294400,84.5
800380800,85.6
800467200,85.6
800553600,82.9
800640000,83.5
800726400,83.4
800812800,84.2
800899200,80.3
800985600,75.8
801072000,79.9
