timestamp,value
788889600,40.3
788976000,40.6
789062400,42.5
789148800,41.6
789235200,44.0
789321600,29.3
789408000,21.3
789494400,22.2
789580800,22.7
789667200,24.0
789753600,34.8
789840000,38.4
789926400,41.1
790012800,35.2
790099200,31.7
790185600,31.0
790272000,32.7
790358400,37.7
790444800,32.5
790531200,33.4
790617600,31.8
790704000,33.8
790790400,31.2
790876800,36.5
790963200,33.6
791049600,32.8
791136000,40.6
791222400,34.7
791308800,37.4
791395200,40.6
791481600,41.0
791568000,43.7
791654400,45.5
791740800,45.9
791827200,47.4
791913600,54.0
792000000,45.8
792086400,37.1
792172800,43.2
792259200,49.2
792345600,46.9
792432000,42.9
792518400,44.2
792604800,45.9
792691200,44.1
792777600,43.4
792864000,40.4
792950400,27.7
793036800,26.3
793123200,29.2
793209600,31.6
793296000,35.5
793382400,37.9
793468800,42.2
793555200,46.3
793641600,40.8
793728000,33.1
793814400,32.9
793900800,34.1
793987200,39.0
794073600,45.2
794160000,38.0
794246400,40.7
794332800,38.1
794419200,41.5
794505600,41.7
794592000,43.6
794678400,44.7
794764800,46.4
794851200,44.1
794937600,48.4
795024000,39.5
795110400,33.1
795196800,37.1
795283200,52.2
795369600,64.2
795456000,66.9
795542400,53.2
795628800,48.8
795715200,49.5
795801600,51.1
795888000,54.6
795974400,56.4
796060800,54.9
796147200,62.6
796233600,56.6
796320000,48.4
796406400,50.1
796492800,52.2
796579200,56.3
796665600,55.2
796752000,55.6
796838400,57.8
796924800,60.7
797011200,62.3
797097600,60.2
797184000,55.3
797270400,47.2
797356800,52.2
797443200,57.2
797529600,60.8
797616000,63.6
797702400,61.1
797788800,54.0
797875200,57.4
797961600,64.3
798048000,69.4
798134400,64.7
798220800,63.6
798307200,63.8
798393600,63.5
798480000,60.0
798566400,61.4
798652800,62.2
798739200,64.6
798825600,65.8
798912000,68.0
798998400,65.9
799084800,71.3
799171200,69.0
799257600,71.4
799344000,72.4
799430400,76.7
799516800,71.1
799603200,73.3
799689600,78.1
799776000,79.5
799862400,76.6
799948800,70.2
800035200,67.0
800121600,70.8
800208000,72.4
800294400,71.5
800380800,72.1
800467200,72.8
800553600,69.7
800640000,70.2
800726400,65.5
800812800,65.1
800899200,69.6
800985600,70.9
801072000,67.6
801158400,63.5
801244800,61.9
801331200,64.3
801417600,56.2
801504000,62.5
801590400,65.6
801676800,63.0
801763200,67.4
801849600,70.3
801936000,73.4
802022400,75.8
802108800,72.4
802195200,75.4
802281600,79.2
802368000,78.8
802454400,84.2
802540800,81.7
802627200,75.4
802713600,76.5
802800000,76.4
802886400,77.5
802972800,75.5
803059200,79.9
803145600,83.1
803232000,84.6
803318400,82.6
803404800,83.1
803491200,84.2
803577600,79.4
803664000,79.1
803750400,81.7
803836800,84.7
803923200,80.7
804009600,77.4
804096000,77.7
804182400,78.9
804268800,79.5
804355200,81.9
804441600,83.7
804528000,87.7
804614400,87.6
804700800,85.6
804787200,83.6
804873600,82.5
804960000,83.4
805046400,83.2
805132800,82.4
805219200,82.7
805305600,83.7
805392000,82.7
805478400,83.0
805564800,83.8
805651200,85.9
805737600,88.6
805824000,91.2
805910400,91.9
805996800,85.0
806083200,78.8
806169600,75.4
806256000,80.2
806342400,85.0
806428800,87.8
806515200,71.8
806601600,70.6
806688000,79.3
806774400,82.2
806860800,80.7
806947200,82.1
807033600,83.4
807120000,85.1
807206400,85.3
807292800,84.0
807379200,84.2
807465600,85.1
807552000,84.7
807638400,80.4
807724800,79.9
807811200,79.2
807897600,80.4
807984000,84.3
808070400,83.5
808156800,84.3
808243200,87.6
808329600,85.6
808416000,80.0
808502400,80.0
808588800,77.5
808675200,79.9
808761600,82.9
808848000,76.8
808934400,72.5
809020800,75.3
809107200,79.8
809193600,77.2
809280000,71.9
809366400,73.0
809452800,74.5
809539200,75.3
809625600,76.1
809712000,76.0
809798400,76.5
809884800,69.3
809971200,66.7
810057600,66.5
810144000,66.3
810230400,68.7
810316800,71.1
810403200,71.1
810489600,71.8
810576000,73.2
810662400,74.9
810748800,71.9
810835200,71.4
810921600,72.0
811008000,72.1
811094400,72.3
