timestamp,value
788889600,67.9
788976000,69.3
789062400,70.9
789148800,66.1
789235200,71.4
789321600,72.2
789408000,66.2
789494400,68.7
789580800,69.8
789667200,68.9
789753600,67.2
789840000,68.5
789926400,67.2
790012800,69.9
790099200,73.5
790185600,71.4
790272000,71.3
790358400,72.5
790444800,69.3
790531200,74.6
790617600,71.6
790704000,66.7
790790400,68.4
790876800,69.6
790963200,69.8
791049600,67.8
791136000,71.0
791222400,72.9
791308800,70.0
791395200,71.6
791481600,72.9
791568000,68.5
791654400,70.7
791740800,70.0
791827200,72.1
791913600,67.3
792000000,66.1
792086400,70.6
792172800,73.1
792259200,68.4
792345600,66.9
792432000,66.9
792518400,76.5
792604800,76.6
792691200,71.7
792777600,72.6
792864000,70.3
792950400,71.0
793036800,71.5
793123200,73.0
793209600,71.4
793296000,69.9
793382400,70.5
793468800,68.4
793555200,71.8
793641600,72.4
793728000,70.1
793814400,72.9
793900800,71.7
793987200,73.3
794073600,73.7
794160000,75.9
794246400,73.9
794332800,73.6
794419200,74.7
794505600,74.0
794592000,76.4
794678400,71.3
794764800,66.2
794851200,69.4
794937600,73.5
795024000,79.3
795110400,74.4
795196800,75.6
795283200,71.4
795369600,69.8
795456000,73.7
795542400,74.0
795628800,73.1
795715200,79.6
795801600,74.1
795888000,73.8
795974400,75.4
796060800,75.5
796147200,76.9
796233600,76.4
796320000,76.4
796406400,76.1
796492800,71.6
796579200,75.1
796665600,76.9
796752000,80.8
796838400,80.1
796924800,75.5
797011200,75.2
797097600,78.0
797184000,75.4
797270400,75.4
797356800,72.5
797443200,78.3
797529600,78.8
797616000,79.2
797702400,80.4
797788800,77.0
797875200,74.7
797961600,75.2
798048000,74.7
798134400,75.8
798220800,74.5
798307200,76.1
798393600,74.3
798480000,77.5
798566400,77.4
798652800,76.9
798739200,79.3
798825600,78.1
798912000,76.0
798998400,69.3
799084800,70.4
799171200,74.8
799257600,74.0
799344000,73.0
799430400,69.4
799516800,69.6
799603200,69.6
799689600,69.6
799776000,69.6
799862400,84.8
799948800,75.9
800035200,75.9
800121600,86.2
800208000,77.4
800294400,75.9
800380800,76.1
800467200,77.4
800553600,74.4
800640000,75.9
800726400,75.1
800812800,74.2
800899200,72.3
800985600,73.7
801072000,74.5
801158400,73.5
801244800,83.3
801331200,75.8
801417600,74.8
801504000,75.3
801590400,75.0
801676800,76.1
801763200,75.5
801849600,76.4
801936000,76.8
802022400,71.5
802108800,71.8
802195200,74.3
802281600,78.1
802368000,77.7
802454400,75.6
802540800,75.0
802627200,73.8
802713600,74.2
802800000,78.4
802886400,78.3
802972800,77.2
803059200,76.2
803145600,74.1
803232000,73.6
803318400,74.2
803404800,74.7
803491200,71.8
803577600,75.2
803664000,74.8
803750400,72.7
803836800,76.3
803923200,72.7
804009600,74.7
804096000,73.1
804182400,73.4
804268800,74.4
804355200,72.5
804441600,75.4
804528000,75.1
804614400,73.4
804700800,73.9
804787200,74.9
804873600,76.7
804960000,73.0
805046400,67.1
805132800,72.5
805219200,72.8
805305600,75.0
805392000,73.1
805478400,73.1
805564800,74.5
805651200,74.5
805737600,76.8
805824000,73.9
805910400,73.7
805996800,70.0
806083200,73.2
806169600,75.5
806256000,73.3
806342400,72.5
806428800,70.7
806515200,72.3
806601600,75.1
806688000,71.6
806774400,69.5
806860800,72.1
806947200,73.3
807033600,75.9
807120000,76.5
807206400,75.6
807292800,70.7
807379200,73.5
807465600,75.0
807552000,72.1
807638400,72.3
807724800,73.8
807811200,74.9
807897600,76.6
807984000,74.3
808070400,73.8
808156800,69.1
808243200,71.9
808329600,74.3
808416000,73.7
808502400,72.7
808588800,71.7
808675200,70.8
808761600,72.6
808848000,74.5
808934400,72.5
809020800,74.0
809107200,73.2
809193600,71.0
809280000,70.9
809366400,72.8
809452800,75.2
809539200,72.3
809625600,70.6
809712000,77.0
809798400,73.7
809884800,71.6
809971200,72.8
810057600,74.1
810144000,75.0
810230400,70.9
810316800,71.6
810403200,70.8
810489600,71.6
810576000,70.8
810662400,71.9
810748800,71.8
810835200,71.8
810921600,68.2
811008000,71.9
811094400,72.0
811180800,67.7
811267200,67.7
811353600,67.7
811440000,67.7
811526400,81.7
811612800,72.9
811699200,72.9
811785600,74.2
811872000,74.3
811958400,72.2
812044800,71.8
812131200,69.9
812217600,72.1
812304000,71.0
812390400,71.0
812476800,71.1
812563200,70.4
812649600,70.7
812736000,75.9
812822400,74.4
812908800,71.9
812995200,69.9
813081600,67.6
813168000,68.8
813254400,67.7
813340800,70.4
813427200,67.4
813513600,68.7
813600000,72.9
813686400,72.0
813772800,70.2
813859200,70.0
813945600,69.9
814032000,72.0
814118400,72.6
814204800,72.1
814291200,72.0
814377600,71.5
814464000,72.8
814550400,75.7
814636800,73.7
814723200,71.3
814809600,71.6
814896000,74.4
814982400,71.1
815068800,72.1
815155200,71.9
815241600,72.3
815328000,70.9
815414400,71.9
815500800,70.1
815587200,71.2
815673600,71.1
815760000,69.0
815846400,71.7
815932800,72.2
816019200,71.6
816105600,66.7
816192000,76.6
816278400,70.1
816364800,70.3
816451200,70.2
816537600,69.4
816624000,71.4
816710400,70.3
816796800,71.2
816883200,68.5
816969600,68.3
817056000,67.1
817142400,68.2
817228800,66.0
817315200,63.0
817401600,66.1
817488000,69.0
817574400,69.2
817660800,70.5
817747200,71.0
817833600,72.1
817920000,72.3
818006400,71.6
818092800,69.5
818179200,68.3
818265600,68.4
818352000,64.5
818438400,64.5
818524800,64.5
818611200,64.5
818697600,71.8
818784000,71.8
818870400,68.1
818956800,70.2
819043200,71.5
819129600,69.8
819216000,75.7
819302400,70.6
819388800,69.5
819475200,70.8
819561600,71.4
819648000,72.8
819734400,68.6
819820800,68.1
819907200,69.1
819993600,65.3
820080000,69.2
820166400,69.8
820252800,70.3
820339200,68.4
820425600,68.8
820512000,74.5
820598400,70.7
820684800,69.1
820771200,67.8
820857600,68.0
820944000,70.8
821030400,63.3
821116800,58.0
821203200,62.3
821289600,65.4
821376000,69.3
821462400,63.8
821548800,56.1
821635200,66.6
821721600,57.1
821808000,57.1
821894400,57.1
821980800,61.0
822067200,66.2
822153600,70.7
822240000,67.5
822326400,69.9
822412800,67.7
822499200,67.2
822585600,66.3
822672000,72.5
822758400,68.5
822844800,66.6
822931200,65.9
823017600,69.5
823104000,70.6
823190400,68.5
823276800,70.4
823363200,66.6
823449600,60.8
823536000,58.4
823622400,60.5
823708800,64.8
823795200,67.1
823881600,68.4
823968000,69.6
824054400,67.6
824140800,65.6
824227200,66.6
824313600,67.8
824400000,70.7
824486400,71.9
824572800,70.6
824659200,69.2
824745600,72.7
824832000,69.4
824918400,68.8
825004800,69.9
825091200,67.1
825177600,67.5
825264000,70.1
825350400,69.0
825436800,71.7
825523200,70.6
825609600,72.9
825696000,71.9
825782400,68.6
825868800,68.8
825955200,69.9
826041600,71.3
826128000,72.7
826214400,70.1
826300800,67.0
826387200,64.3
826473600,64.1
826560000,63.3
826646400,64.7
826732800,67.4
826819200,67.3
826905600,68.8
826992000,66.7
827078400,65.7
827164800,69.3
827251200,68.0
827337600,65.0
827424000,66.7
827510400,65.9
827596800,66.5
827683200,73.0
827769600,71.7
827856000,72.8
827942400,73.1
828028800,73.8
828115200,73.0
828201600,73.9
828288000,76.1
828374400,74.6
828460800,74.1
828547200,75.5
828633600,75.7
828720000,74.3
828806400,74.2
828892800,74.9
828979200,76.3
829065600,73.7
829152000,70.5
829238400,72.9
829324800,74.7
829411200,76.6
829497600,76.1
829584000,76.6
829670400,74.4
829756800,75.2
829843200,74.2
829929600,74.3
830016000,73.6
830102400,74.3
830188800,73.3
830275200,75.2
830361600,71.7
830448000,74.1
830534400,72.2
830620800,76.3
830707200,77.1
830793600,74.6
830880000,74.6
830966400,75.3
831052800,75.0
831139200,77.5
831225600,75.6
831312000,75.6
831398400,73.3
831484800,74.8
831571200,75.2
831657600,74.2
831744000,75.7
831830400,77.3
831916800,74.8
832003200,75.0
832089600,73.4
832176000,71.6
832262400,68.3
832348800,71.3
832435200,70.7
832521600,71.2
832608000,71.9
832694400,77.5
832780800,69.4
832867200,81.3
832953600,73.0
833040000,72.1
833126400,69.8
833212800,70.7
833299200,73.4
833385600,71.6
833472000,71.8
833558400,71.8
833644800,71.8
833731200,71.8
833817600,71.8
833904000,74.5
833990400,70.9
834076800,70.9
834163200,72.5
834249600,77.0
834336000,75.4
834422400,76.0
834508800,71.8
834595200,73.8
834681600,74.3
834768000,71.9
834854400,71.9
834940800,83.6
835027200,74.7
835113600,72.3
835200000,72.5
835286400,73.7
835372800,74.8
835459200,74.8
835545600,74.8
835632000,74.8
835718400,70.6
835804800,72.4
835891200,72.5
835977600,73.4
836064000,70.2
836150400,70.2
836236800,69.5
836323200,70.3
836409600,68.8
836496000,70.8
836582400,72.3
836668800,73.0
836755200,73.5
836841600,74.1
836928000,73.7
837014400,75.0
837100800,75.3
837187200,72.6
837273600,72.1
837360000,72.7
837446400,73.0
837532800,71.2
837619200,70.3
837705600,71.5
837792000,68.1
837878400,72.7
837964800,72.0
838051200,69.0
838137600,68.9
838224000,70.8
838310400,72.1
838396800,73.7
838483200,67.8
838569600,70.2
838656000,75.6
838742400,72.8
838828800,73.3
838915200,73.1
839001600,73.6
839088000,71.6
839174400,71.9
839260800,68.8
839347200,71.9
839433600,68.9
839520000,70.5
839606400,73.2
839692800,70.5
839779200,69.8
839865600,69.9
