timestamp,value
788889600,43.0
788976000,40.8
789062400,43.3
789148800,44.9
789235200,47.6
789321600,40.2
789408000,46.9
789494400,48.1
789580800,55.0
789667200,43.5
789753600,43.6
789840000,42.9
789926400,43.1
790012800,38.3
790099200,40.1
790185600,39.8
790272000,39.4
790358400,43.5
790444800,40.4
790531200,40.8
790617600,45.6
790704000,43.9
790790400,51.0
790876800,45.6
790963200,42.5
791049600,45.0
791136000,42.0
791222400,42.6
791308800,43.5
791395200,38.4
791481600,39.5
791568000,41.2
791654400,43.5
791740800,43.5
791827200,39.1
791913600,37.3
792000000,42.3
792086400,43.0
792172800,47.2
792259200,46.1
792345600,40.6
792432000,42.4
792518400,45.9
792604800,47.5
792691200,42.6
792777600,44.7
792864000,43.6
792950400,42.2
793036800,45.1
793123200,46.0
793209600,43.8
793296000,45.3
793382400,45.2
793468800,46.1
793555200,46.5
793641600,40.3
793728000,39.0
793814400,48.0
793900800,44.2
793987200,45.8
794073600,44.5
794160000,42.2
794246400,38.8
794332800,41.9
794419200,46.1
794505600,46.6
794592000,50.8
794678400,50.0
794764800,43.2
794851200,48.4
794937600,46.4
795024000,45.0
795110400,48.7
795196800,48.4
795283200,55.6
795369600,57.4
795456000,41.3
795542400,45.8
795628800,50.2
795715200,54.4
795801600,56.2
795888000,52.5
795974400,54.1
796060800,40.4
796147200,39.8
796233600,49.9
796320000,47.1
796406400,49.1
796492800,51.7
796579200,59.2
796665600,54.1
796752000,50.0
796838400,48.8
796924800,52.6
797011200,56.3
797097600,59.4
797184000,56.5
797270400,58.4
797356800,59.3
797443200,55.6
797529600,51.9
797616000,54.9
797702400,57.1
797788800,54.1
797875200,57.6
797961600,56.9
798048000,62.5
798134400,58.4
798220800,62.9
798307200,57.9
798393600,63.3
798480000,65.8
798566400,67.3
798652800,61.8
798739200,58.8
798825600,63.8
798912000,67.1
798998400,64.1
799084800,63.3
799171200,63.7
799257600,60.0
799344000,69.1
799430400,67.5
799516800,62.3
799603200,58.2
799689600,64.9
799776000,62.6
799862400,62.6
799948800,67.1
800035200,69.0
800121600,64.8
800208000,63.0
800294400,64.5
800380800,66.9
800467200,63.6
800553600,64.2
800640000,62.5
