timestamp,value
788889600,35.8
788976000,22.8
789062400,19.9
789148800,11.4
789235200,8.3
789321600,22.5
789408000,26.7
789494400,21.5
789580800,13.1
789667200,21.1
789753600,31.8
789840000,49.1
789926400,58.9
790012800,54.0
790099200,43.9
790185600,32.2
790272000,32.7
790358400,39.7
790444800,37.3
790531200,39.1
790617600,31.4
790704000,23.2
790790400,22.6
790876800,27.9
790963200,22.4
791049600,23.1
791136000,19.4
791222400,25.6
791308800,22.9
791395200,17.5
791481600,27.3
791568000,36.3
791654400,32.3
791740800,20.8
791827200,25.8
791913600,10.7
792000000,12.0
792086400,14.8
792172800,15.4
792259200,19.1
792345600,32.5
792432000,18.3
792518400,5.5
792604800,15.5
792691200,18.4
792777600,31.2
792864000,34.7
792950400,28.2
793036800,34.7
793123200,39.7
793209600,33.3
793296000,31.8
793382400,30.1
793468800,37.7
793555200,31.7
793641600,31.5
793728000,27.1
793814400,31.1
793900800,32.8
793987200,27.1
794073600,21.2
794160000,21.3
794246400,25.4
794332800,34.8
794419200,38.5
794505600,41.4
794592000,29.8
794678400,23.9
794764800,28.0
794851200,50.9
794937600,57.6
795024000,61.8
795110400,61.1
795196800,54.1
795283200,56.4
795369600,47.3
795456000,38.5
795542400,45.1
795628800,53.0
795715200,46.6
795801600,43.4
795888000,39.7
795974400,39.2
796060800,41.2
796147200,41.8
796233600,40.8
796320000,38.2
796406400,42.5
796492800,41.5
796579200,37.2
796665600,39.2
796752000,39.2
796838400,47.8
796924800,40.4
797011200,25.5
797097600,48.3
797184000,43.4
797270400,41.8
797356800,38.6
797443200,35.7
797529600,45.6
797616000,55.1
797702400,43.9
797788800,43.8
797875200,43.4
797961600,47.5
798048000,49.8
798134400,54.2
798220800,57.7
798307200,43.3
798393600,57.3
798480000,50.0
798566400,44.9
798652800,46.0
798739200,49.1
798825600,51.1
798912000,54.9
798998400,49.7
799084800,54.4
799171200,51.2
799257600,48.7
799344000,53.9
799430400,55.1
799516800,55.5
799603200,54.1
799689600,55.2
799776000,59.9
799862400,54.5
799948800,55.4
800035200,61.1
800121600,56.3
800208000,57.9
800294400,61.0
800380800,69.0
800467200,63.6
800553600,62.5
800640000,69.9
800726400,55.8
800812800,59.8
800899200,65.2
800985600,63.9
801072000,59.7
801158400,66.3
801244800,62.9
801331200,55.8
801417600,61.1
801504000,60.5
801590400,68.8
801676800,64.5
801763200,63.0
801849600,65.8
801936000,66.3
802022400,67.8
802108800,68.2
802195200,67.7
802281600,67.8
802368000,73.6
802454400,76.7
802540800,66.2
802627200,62.3
802713600,67.4
802800000,66.5
802886400,61.6
802972800,62.9
803059200,69.6
803145600,69.3
803232000,71.9
803318400,76.6
803404800,77.4
803491200,81.9
803577600,84.3
803664000,78.6
803750400,76.9
803836800,76.9
803923200,75.1
804009600,74.3
804096000,75.1
804182400,74.0
804268800,75.0
804355200,71.3
804441600,73.6
804528000,70.1
804614400,63.2
804700800,64.4
804787200,74.3
804873600,77.7
804960000,79.0
805046400,73.0
805132800,66.2
805219200,69.2
805305600,70.9
805392000,75.2
805478400,76.9
805564800,86.2
805651200,86.9
805737600,89.8
805824000,80.2
805910400,80.9
805996800,76.9
806083200,75.4
806169600,74.0
806256000,73.9
806342400,77.8
806428800,76.6
806515200,77.2
806601600,75.3
806688000,74.2
806774400,75.5
806860800,79.0
806947200,82.2
807033600,79.5
807120000,79.6
807206400,80.9
807292800,77.7
807379200,79.2
807465600,76.5
807552000,74.5
807638400,75.2
807724800,74.6
807811200,74.5
807897600,73.2
807984000,75.6
808070400,81.6
808156800,84.3
808243200,82.8
808329600,83.5
808416000,83.3
808502400,79.3
808588800,78.4
808675200,79.7
808761600,75.9
808848000,82.4
808934400,77.8
809020800,71.2
809107200,70.6
809193600,73.5
809280000,69.4
809366400,71.9
809452800,71.8
809539200,73.4
809625600,75.9
809712000,71.3
809798400,80.0
809884800,71.9
809971200,66.6
810057600,67.1
810144000,70.1
810230400,70.1
810316800,74.1
