timestamp,value
788889600,17.5
788976000,16.1
789062400,17.8
789148800,8.5
789235200,10.1
789321600,27.7
789408000,12.5
789494400,22.6
789580800,21.2
789667200,31.1
789753600,35.5
789840000,38.9
789926400,38.3
790012800,33.2
790099200,32.8
790185600,45.6
790272000,43.1
790358400,29.8
790444800,35.0
790531200,31.2
790617600,26.0
790704000,26.2
790790400,27.1
790876800,30.9
790963200,29.9
791049600,30.8
791136000,40.4
791222400,34.7
791308800,30.7
791395200,26.4
791481600,38.4
791568000,43.2
791654400,46.8
791740800,41.3
791827200,30.9
791913600,28.3
792000000,28.6
792086400,29.2
792172800,23.2
792259200,36.9
792345600,33.5
792432000,24.2
792518400,16.8
792604800,21.7
792691200,27.8
792777600,31.6
792864000,25.5
792950400,34.0
793036800,46.5
793123200,46.7
793209600,50.8
793296000,44.4
793382400,56.9
793468800,49.5
793555200,38.5
793641600,56.7
793728000,58.1
793814400,40.5
793900800,28.5
793987200,21.0
794073600,20.4
794160000,24.0
794246400,31.5
794332800,34.9
794419200,32.8
794505600,17.0
794592000,11.9
794678400,28.4
794764800,48.7
794851200,56.8
794937600,61.6
795024000,57.4
795110400,60.5
795196800,59.0
795283200,57.0
795369600,57.6
795456000,59.1
795542400,55.8
795628800,58.8
795715200,55.7
795801600,62.5
795888000,57.6
795974400,50.0
796060800,55.9
796147200,57.2
796233600,43.1
796320000,41.1
796406400,39.2
796492800,34.3
796579200,38.1
796665600,49.9
796752000,54.7
796838400,62.8
796924800,44.6
797011200,46.6
797097600,60.1
797184000,59.8
797270400,64.8
797356800,57.9
797443200,41.9
797529600,39.6
797616000,40.0
797702400,47.6
797788800,61.1
797875200,65.4
797961600,56.4
798048000,48.8
798134400,53.1
798220800,49.9
798307200,53.4
798393600,43.9
798480000,46.3
798566400,52.2
798652800,50.3
798739200,54.0
798825600,58.4
798912000,46.0
798998400,52.5
799084800,54.3
799171200,51.8
799257600,49.2
799344000,46.4
799430400,52.0
799516800,53.0
799603200,51.5
799689600,57.0
799776000,60.6
799862400,63.4
799948800,63.3
800035200,56.2
800121600,54.8
800208000,54.0
800294400,69.0
800380800,61.9
800467200,62.3
800553600,72.8
800640000,60.6
800726400,53.2
800812800,56.4
800899200,63.2
800985600,59.4
801072000,65.3
801158400,62.0
801244800,52.4
801331200,56.3
801417600,58.9
801504000,66.4
801590400,61.9
801676800,60.5
801763200,64.0
801849600,62.6
801936000,63.4
802022400,65.3
802108800,68.7
802195200,70.8
802281600,71.8
802368000,73.4
802454400,77.8
802540800,70.5
802627200,66.0
802713600,66.3
802800000,63.6
802886400,64.7
802972800,66.2
803059200,71.4
803145600,77.4
803232000,78.8
803318400,78.2
803404800,76.7
803491200,77.4
803577600,78.0
803664000,78.2
803750400,80.1
803836800,78.4
803923200,74.3
804009600,67.9
804096000,68.9
804182400,72.3
804268800,71.6
804355200,73.2
804441600,70.6
804528000,65.5
804614400,67.4
804700800,71.9
804787200,75.2
804873600,71.7
804960000,74.7
805046400,80.6
805132800,82.5
805219200,81.4
805305600,78.3
805392000,87.6
805478400,89.2
805564800,89.8
805651200,87.9
805737600,87.1
805824000,80.0
805910400,78.9
805996800,75.2
806083200,80.3
806169600,75.1
806256000,77.7
806342400,83.4
806428800,82.1
806515200,78.9
806601600,78.7
806688000,79.9
806774400,84.9
806860800,82.3
806947200,82.0
807033600,83.1
807120000,81.5
807206400,69.0
807292800,72.6
807379200,74.8
807465600,76.2
807552000,77.0
807638400,79.9
807724800,83.3
807811200,86.6
807897600,86.4
807984000,84.7
808070400,83.9
808156800,86.4
808243200,86.5
808329600,85.0
808416000,74.4
808502400,78.5
808588800,85.3
808675200,86.0
808761600,78.5
808848000,76.0
808934400,75.0
809020800,79.6
809107200,80.0
809193600,78.2
809280000,78.1
809366400,79.2
809452800,84.3
809539200,83.0
809625600,80.3
809712000,78.8
809798400,79.2
809884800,73.7
809971200,74.3
810057600,76.2
810144000,78.6
810230400,76.5
810316800,75.9
810403200,69.3
810489600,58.3
810576000,58.9
810662400,61.1
810748800,64.9
810835200,72.1
810921600,72.1
811008000,69.3
811094400,68.5
811180800,70.9
811267200,66.7
811353600,65.3
811440000,67.2
811526400,53.1
811612800,45.0
811699200,42.6
811785600,48.0
811872000,52.6
811958400,59.5
812044800,55.7
812131200,63.9
812217600,67.7
812304000,75.4
812390400,73.9
812476800,63.1
812563200,59.7
812649600,58.4
812736000,60.3
812822400,59.0
812908800,53.6
812995200,52.2
813081600,58.6
813168000,60.1
813254400,59.5
813340800,64.1
813427200,73.6
813513600,67.6
813600000,53.0
813686400,54.3
813772800,60.3
813859200,72.5
813945600,63.1
814032000,65.3
814118400,50.6
814204800,44.1
814291200,54.2
814377600,61.6
814464000,46.7
814550400,51.8
814636800,52.6
814723200,56.0
814809600,50.8
814896000,48.4
814982400,49.9
815068800,45.5
815155200,55.7
815241600,36.6
815328000,29.5
815414400,29.9
815500800,44.0
815587200,49.2
815673600,44.3
815760000,32.1
815846400,43.9
815932800,50.1
816019200,23.9
816105600,36.2
816192000,40.6
816278400,36.9
816364800,42.1
816451200,42.0
816537600,46.9
816624000,37.5
816710400,53.0
816796800,46.2
816883200,40.1
816969600,42.3
817056000,34.4
817142400,33.3
817228800,42.4
817315200,51.5
817401600,39.3
817488000,21.5
817574400,28.5
817660800,45.9
817747200,55.6
817833600,49.2
817920000,45.3
818006400,38.1
818092800,45.8
818179200,31.2
818265600,28.0
818352000,28.8
818438400,5.5
818524800,9.8
818611200,21.3
818697600,20.9
818784000,30.5
818870400,35.8
818956800,39.8
819043200,32.1
819129600,38.7
819216000,35.5
819302400,31.7
819388800,30.1
819475200,30.0
819561600,26.4
819648000,23.2
819734400,23.7
819820800,29.8
819907200,30.7
819993600,30.5
820080000,27.3
820166400,26.8
820252800,32.7
820339200,35.3
820425600,34.3
820512000,31.5
820598400,24.1
820684800,28.1
820771200,20.1
820857600,8.5
820944000,2.1
821030400,16.3
821116800,34.5
821203200,33.0
821289600,40.5
821376000,37.1
821462400,44.6
821548800,42.8
821635200,29.1
821721600,37.8
821808000,44.4
821894400,17.1
821980800,2.5
822067200,12.2
822153600,25.4
822240000,36.4
822326400,19.8
822412800,18.2
822499200,31.4
822585600,18.3
822672000,15.6
822758400,33.5
822844800,18.7
822931200,7.2
823017600,3.5
823104000,14.0
823190400,0.7
823276800,-2.7
823363200,6.4
823449600,24.5
823536000,29.3
823622400,44.1
823708800,49.3
823795200,43.4
823881600,54.4
823968000,38.7
824054400,32.7
824140800,41.3
824227200,46.2
824313600,35.8
824400000,19.9
824486400,35.5
824572800,30.8
824659200,39.3
824745600,56.0
824832000,49.9
824918400,43.9
825004800,51.1
825091200,45.4
825177600,58.9
825264000,51.1
825350400,27.5
825436800,19.7
825523200,17.3
825609600,30.2
825696000,31.3
825782400,24.8
825868800,37.4
825955200,48.7
826041600,29.0
826128000,12.9
826214400,10.9
826300800,21.4
826387200,35.6
826473600,43.3
826560000,53.1
826646400,57.0
826732800,49.7
826819200,48.8
826905600,50.7
826992000,44.1
827078400,48.0
827164800,34.9
827251200,34.1
827337600,36.6
827424000,39.1
827510400,48.3
827596800,62.8
827683200,22.7
827769600,24.0
827856000,33.7
827942400,40.9
828028800,42.7
828115200,46.0
828201600,37.2
828288000,42.8
828374400,61.8
828460800,64.3
828547200,38.7
828633600,35.5
828720000,43.0
828806400,48.1
828892800,44.6
828979200,49.8
829065600,54.1
829152000,71.2
829238400,60.8
829324800,44.9
829411200,47.3
829497600,43.1
829584000,51.8
829670400,68.1
829756800,71.1
829843200,65.1
829929600,57.2
830016000,63.7
830102400,54.7
830188800,50.6
830275200,66.5
830361600,69.8
830448000,56.3
830534400,55.6
830620800,52.4
830707200,48.7
830793600,49.6
830880000,54.4
830966400,60.9
831052800,61.6
831139200,62.8
831225600,62.1
831312000,55.6
831398400,56.3
831484800,69.3
831571200,75.9
831657600,62.6
831744000,54.8
831830400,50.3
831916800,52.5
832003200,56.8
832089600,69.5
832176000,76.4
832262400,79.9
832348800,78.9
832435200,81.2
832521600,67.7
832608000,57.2
832694400,69.0
832780800,74.7
832867200,75.5
832953600,66.5
833040000,66.4
833126400,67.9
833212800,58.0
833299200,59.2
833385600,55.8
833472000,66.2
833558400,65.0
833644800,69.8
833731200,68.0
833817600,63.6
833904000,70.0
833990400,67.8
834076800,63.3
834163200,60.2
834249600,64.8
834336000,65.3
834422400,74.5
834508800,74.5
834595200,74.7
834681600,75.2
834768000,76.3
834854400,77.4
834940800,74.4
835027200,73.3
835113600,82.3
835200000,76.6
835286400,79.6
835372800,81.1
835459200,84.0
835545600,79.9
835632000,78.7
835718400,78.6
835804800,80.3
835891200,83.8
835977600,84.9
836064000,83.8
836150400,83.1
836236800,83.9
836323200,78.5
836409600,72.4
836496000,75.0
836582400,77.8
836668800,79.8
836755200,77.0
