timestamp,value
788889600,48.1
788976000,55.1
789062400,51.8
789148800,50.6
789235200,53.3
789321600,47.2
789408000,48.1
789494400,51.8
789580800,53.5
789667200,56.7
789753600,54.9
789840000,54.4
789926400,53.7
790012800,52.4
790099200,55.5
790185600,50.9
790272000,43.7
790358400,39.5
790444800,47.7
790531200,52.7
790617600,49.3
790704000,48.8
790790400,49.9
790876800,56.3
790963200,59.6
791049600,51.9
791136000,48.0
791222400,46.9
791308800,46.9
791395200,51.1
791481600,51.7
791568000,54.5
791654400,58.6
791740800,61.3
791827200,65.9
791913600,62.0
792000000,58.6
792086400,59.5
792172800,61.5
792259200,60.5
792345600,56.6
792432000,51.4
792518400,54.6
792604800,58.1
792691200,59.8
792777600,55.3
792864000,53.4
792950400,56.5
793036800,60.2
793123200,61.6
793209600,67.4
793296000,66.4
793382400,56.3
793468800,54.1
793555200,60.6
793641600,60.2
793728000,59.6
793814400,62.1
793900800,60.7
793987200,57.9
794073600,59.3
794160000,59.6
794246400,60.5
794332800,65.0
794419200,60.8
794505600,55.1
794592000,57.5
794678400,61.1
794764800,63.7
794851200,65.5
794937600,57.4
795024000,60.1
795110400,64.5
795196800,66.7
795283200,70.9
795369600,70.3
795456000,69.8
795542400,68.1
795628800,67.7
795715200,69.0
795801600,65.3
795888000,63.3
795974400,56.8
796060800,53.0
796147200,52.4
796233600,54.9
796320000,57.0
796406400,58.0
796492800,58.1
796579200,58.2
796665600,62.0
796752000,64.3
796838400,63.5
796924800,65.0
797011200,69.0
797097600,70.6
797184000,68.2
797270400,69.6
797356800,66.8
797443200,57.1
797529600,59.0
797616000,65.4
797702400,72.1
797788800,69.0
797875200,68.6
797961600,64.5
798048000,53.4
798134400,55.7
798220800,49.6
798307200,50.1
798393600,57.7
798480000,57.8
798566400,64.3
798652800,68.5
798739200,71.0
798825600,73.2
798912000,75.8
798998400,74.9
799084800,74.5
799171200,79.3
799257600,78.8
799344000,77.9
799430400,72.9
799516800,75.0
799603200,73.5
799689600,62.7
799776000,54.9
799862400,60.8
799948800,66.2
800035200,70.8
800121600,76.1
800208000,78.5
800294400,76.4
800380800,75.8
800467200,74.1
800553600,76.0
800640000,63.9
800726400,70.7
800812800,77.1
800899200,78.8
800985600,81.6
801072000,80.0
801158400,74.6
801244800,72.7
801331200,73.9
801417600,72.8
801504000,75.6
801590400,78.3
801676800,78.4
801763200,80.1
801849600,81.3
801936000,83.8
802022400,83.9
802108800,77.3
802195200,80.6
802281600,83.4
802368000,83.8
802454400,81.1
802540800,76.2
802627200,73.3
802713600,78.0
802800000,84.0
802886400,90.2
802972800,90.8
803059200,89.9
803145600,86.8
803232000,82.8
803318400,75.2
803404800,77.6
803491200,84.0
803577600,85.5
803664000,86.0
803750400,84.5
803836800,85.4
803923200,88.8
804009600,90.6
804096000,89.9
804182400,91.5
804268800,91.1
804355200,90.4
804441600,90.9
804528000,87.8
804614400,87.7
804700800,86.8
804787200,83.0
804873600,87.1
804960000,89.5
805046400,94.6
805132800,94.8
805219200,93.3
805305600,93.7
805392000,90.6
805478400,85.9
805564800,82.9
805651200,86.7
805737600,81.8
