timestamp,value
788889600,29.1
788976000,32.2
789062400,28.6
789148800,20.4
789235200,23.4
789321600,33.4
789408000,26.3
789494400,33.8
789580800,35.2
789667200,50.7
789753600,47.9
789840000,58.6
789926400,45.3
790012800,41.2
790099200,40.4
790185600,51.1
790272000,50.7
790358400,37.6
790444800,36.3
790531200,39.3
790617600,36.5
790704000,33.4
790790400,35.0
790876800,39.3
790963200,45.8
791049600,41.6
791136000,51.5
791222400,42.5
791308800,34.8
791395200,34.8
791481600,40.9
791568000,50.8
791654400,57.9
791740800,51.7
791827200,41.7
791913600,40.8
792000000,39.5
792086400,39.3
792172800,30.5
792259200,42.0
792345600,44.8
792432000,35.9
792518400,23.2
792604800,28.2
792691200,32.0
792777600,42.3
792864000,31.7
792950400,34.8
793036800,43.6
793123200,47.2
793209600,51.7
793296000,50.9
793382400,60.0
793468800,60.1
793555200,50.8
793641600,56.8
793728000,58.0
793814400,53.6
793900800,37.4
793987200,26.7
794073600,22.7
794160000,25.6
794246400,33.8
794332800,40.2
794419200,45.6
794505600,31.1
794592000,23.5
794678400,37.3
794764800,50.1
794851200,57.4
794937600,61.8
795024000,60.6
795110400,58.1
795196800,61.6
795283200,60.9
795369600,62.5
795456000,64.4
795542400,69.8
795628800,66.5
795715200,65.4
795801600,76.5
795888000,68.1
795974400,61.6
796060800,63.0
796147200,63.2
796233600,50.0
796320000,48.0
796406400,47.5
796492800,44.3
796579200,47.5
796665600,54.0
796752000,61.2
796838400,61.6
796924800,53.8
797011200,53.5
797097600,59.1
797184000,65.8
797270400,71.7
797356800,73.1
797443200,63.4
797529600,43.9
797616000,50.9
797702400,56.3
797788800,64.9
797875200,69.0
797961600,70.3
798048000,63.2
798134400,62.8
798220800,54.3
798307200,58.1
798393600,56.2
798480000,48.4
798566400,46.9
798652800,51.0
798739200,52.7
798825600,63.0
798912000,50.0
798998400,53.8
799084800,61.2
799171200,58.9
799257600,53.0
799344000,51.7
799430400,54.4
799516800,59.2
799603200,57.0
799689600,60.6
799776000,64.1
799862400,63.0
799948800,67.5
800035200,62.2
800121600,61.1
800208000,64.5
800294400,77.9
800380800,71.9
800467200,70.5
800553600,79.4
800640000,75.2
800726400,64.1
800812800,58.9
800899200,65.4
800985600,69.8
801072000,72.3
801158400,74.3
801244800,65.8
801331200,59.4
801417600,62.7
801504000,72.0
801590400,69.9
801676800,63.9
801763200,65.2
801849600,67.0
801936000,68.6
802022400,74.2
802108800,70.1
802195200,74.6
802281600,71.5
802368000,71.6
802454400,80.8
802540800,78.4
802627200,68.3
802713600,71.2
802800000,65.2
802886400,66.8
802972800,69.7
803059200,75.1
803145600,78.1
803232000,78.2
803318400,77.8
803404800,76.7
803491200,76.7
803577600,77.4
803664000,78.6
803750400,79.7
803836800,76.1
803923200,72.8
804009600,71.7
804096000,72.3
804182400,75.9
804268800,79.5
804355200,75.5
804441600,72.2
804528000,69.0
804614400,70.1
804700800,76.1
804787200,84.3
804873600,77.1
804960000,82.1
805046400,84.9
805132800,87.4
805219200,86.6
805305600,82.3
805392000,87.8
805478400,90.3
805564800,89.4
805651200,87.5
805737600,85.8
805824000,84.3
805910400,79.9
805996800,83.3
806083200,82.1
806169600,79.6
806256000,81.8
806342400,81.7
806428800,84.3
806515200,79.1
806601600,82.1
806688000,79.0
806774400,85.8
806860800,85.8
806947200,84.7
807033600,82.8
807120000,81.5
807206400,78.0
807292800,79.0
807379200,80.2
807465600,78.5
807552000,79.4
807638400,79.0
807724800,83.7
807811200,85.7
807897600,86.3
807984000,83.9
808070400,85.5
808156800,87.9
808243200,87.4
808329600,87.0
808416000,83.9
808502400,85.1
808588800,87.7
808675200,88.2
808761600,86.4
808848000,85.6
808934400,80.3
809020800,83.7
809107200,83.7
809193600,79.4
809280000,80.4
809366400,84.7
809452800,83.3
809539200,85.1
809625600,85.5
809712000,84.0
809798400,86.6
809884800,84.5
809971200,84.7
810057600,90.1
810144000,89.5
810230400,81.2
