timestamp,value
788889600,63.4
788976000,54.5
789062400,45.9
789148800,44.6
789235200,43.2
789321600,46.3
789408000,50.2
789494400,49.2
789580800,49.3
789667200,50.1
789753600,57.0
789840000,53.6
789926400,46.1
790012800,40.4
790099200,45.4
790185600,46.4
790272000,45.3
790358400,46.2
790444800,51.1
790531200,52.2
790617600,56.3
790704000,54.3
790790400,54.7
790876800,57.1
790963200,59.1
791049600,58.9
791136000,56.6
791222400,56.3
791308800,58.3
791395200,57.4
791481600,57.1
791568000,52.4
791654400,52.7
791740800,52.2
791827200,54.1
791913600,56.4
792000000,56.9
792086400,55.9
792172800,56.6
792259200,58.0
792345600,59.1
792432000,57.7
792518400,56.0
792604800,58.2
792691200,61.3
792777600,58.1
792864000,59.3
792950400,59.6
793036800,59.9
793123200,56.2
793209600,53.5
793296000,56.8
793382400,58.2
793468800,57.2
793555200,57.2
793641600,63.1
793728000,64.8
793814400,58.1
793900800,59.3
793987200,62.5
794073600,56.5
794160000,57.1
794246400,51.3
794332800,49.0
794419200,55.0
794505600,52.8
794592000,52.4
794678400,56.1
794764800,57.5
794851200,60.3
794937600,58.9
795024000,60.1
795110400,55.6
795196800,54.1
795283200,56.8
795369600,56.0
795456000,56.1
795542400,58.8
795628800,60.1
795715200,56.5
795801600,54.7
795888000,53.4
795974400,55.0
796060800,58.6
796147200,57.3
796233600,58.2
796320000,55.5
796406400,59.0
796492800,55.3
796579200,50.2
796665600,53.7
796752000,56.9
796838400,59.0
796924800,62.0
797011200,62.7
797097600,59.9
797184000,60.2
797270400,61.5
797356800,62.3
797443200,59.2
797529600,60.2
797616000,58.3
797702400,58.5
797788800,60.9
797875200,56.0
797961600,56.0
798048000,56.8
798134400,58.8
798220800,66.7
798307200,65.1
798393600,64.5
798480000,64.7
798566400,61.2
798652800,59.6
798739200,58.8
798825600,62.5
798912000,58.7
798998400,62.4
799084800,59.6
799171200,63.0
799257600,62.4
799344000,61.9
799430400,63.9
799516800,62.5
799603200,61.2
799689600,65.8
799776000,72.4
799862400,76.6
799948800,78.7
800035200,79.8
800121600,70.0
800208000,66.9
800294400,66.8
800380800,64.0
800467200,63.9
800553600,70.2
800640000,71.3
800726400,71.1
800812800,72.3
800899200,67.0
800985600,65.0
801072000,63.2
801158400,70.8
801244800,76.5
801331200,81.4
801417600,71.8
801504000,69.0
801590400,69.5
801676800,69.2
801763200,71.3
801849600,70.0
801936000,67.5
802022400,70.2
802108800,73.7
802195200,76.3
802281600,75.9
802368000,74.7
802454400,74.3
802540800,75.6
802627200,73.2
802713600,73.0
802800000,72.8
802886400,70.2
802972800,73.0
803059200,74.2
803145600,77.5
803232000,75.3
803318400,70.3
803404800,73.2
803491200,75.2
803577600,77.5
803664000,80.3
803750400,81.1
803836800,78.3
803923200,75.9
804009600,77.4
804096000,82.7
804182400,79.0
804268800,79.6
804355200,77.1
804441600,75.6
804528000,78.2
804614400,83.4
804700800,78.9
804787200,79.3
804873600,78.3
804960000,76.6
805046400,74.5
805132800,76.6
805219200,80.7
805305600,79.6
805392000,76.9
805478400,79.2
805564800,78.1
805651200,79.3
805737600,80.0
805824000,82.0
805910400,82.5
805996800,82.9
806083200,82.1
806169600,81.5
806256000,80.4
806342400,83.8
806428800,85.5
806515200,83.1
806601600,75.1
806688000,90.7
806774400,88.0
806860800,86.0
806947200,85.3
807033600,83.2
807120000,81.9
807206400,81.1
807292800,82.6
807379200,82.1
807465600,82.2
807552000,85.8
807638400,86.3
807724800,86.3
807811200,88.6
807897600,86.0
807984000,88.8
808070400,90.2
808156800,87.0
808243200,81.2
808329600,82.1
808416000,82.9
808502400,81.4
808588800,80.4
808675200,82.6
808761600,81.7
808848000,79.2
808934400,80.1
809020800,80.5
809107200,80.7
809193600,82.9
809280000,79.8
809366400,78.3
809452800,79.8
809539200,79.6
809625600,76.6
809712000,76.0
809798400,74.7
809884800,83.1
809971200,80.4
810057600,83.4
810144000,82.8
810230400,78.3
810316800,77.6
810403200,79.9
810489600,81.2
810576000,77.2
810662400,78.1
810748800,81.7
810835200,83.2
810921600,80.3
811008000,73.9
811094400,75.5
811180800,82.1
811267200,78.4
811353600,82.2
811440000,79.7
811526400,74.1
811612800,74.4
811699200,77.7
811785600,71.7
811872000,69.3
811958400,68.8
812044800,70.1
812131200,68.8
812217600,70.7
812304000,73.0
