timestamp,value
788889600,47.7
788976000,34.2
789062400,34.3
789148800,32.4
789235200,23.2
789321600,38.9
789408000,40.3
789494400,31.9
789580800,39.1
789667200,44.2
789753600,60.7
789840000,64.9
789926400,62.0
790012800,55.8
790099200,44.1
790185600,41.3
790272000,43.8
790358400,48.0
790444800,48.4
790531200,42.7
790617600,39.1
790704000,31.9
790790400,32.6
790876800,33.9
790963200,40.1
791049600,43.2
791136000,48.6
791222400,56.8
791308800,42.9
791395200,33.1
791481600,33.3
791568000,44.7
791654400,58.6
791740800,53.8
791827200,42.2
791913600,37.7
792000000,27.0
792086400,32.9
792172800,28.0
792259200,25.0
792345600,38.3
792432000,37.1
792518400,25.8
792604800,31.4
792691200,39.0
792777600,54.9
792864000,51.8
792950400,42.2
793036800,46.5
793123200,52.9
793209600,50.5
793296000,52.9
793382400,47.5
793468800,57.4
793555200,52.0
793641600,43.5
793728000,53.0
793814400,57.6
793900800,55.4
793987200,41.5
794073600,37.7
794160000,37.2
794246400,42.6
794332800,52.5
794419200,60.9
794505600,61.1
794592000,37.0
794678400,36.1
794764800,41.3
794851200,52.5
794937600,59.3
795024000,65.8
795110400,66.9
795196800,64.4
795283200,59.7
795369600,58.7
795456000,60.5
795542400,61.3
795628800,64.0
795715200,62.3
795801600,66.1
795888000,75.5
795974400,60.5
796060800,58.1
796147200,67.8
796233600,69.6
796320000,56.6
796406400,57.5
796492800,55.8
796579200,50.9
796665600,48.5
796752000,56.9
796838400,59.0
796924800,62.0
797011200,55.9
797097600,61.9
797184000,64.1
797270400,67.6
797356800,69.5
797443200,71.7
797529600,68.5
797616000,59.4
797702400,58.0
797788800,57.2
797875200,62.9
797961600,67.7
798048000,71.7
798134400,74.2
798220800,71.8
798307200,70.1
798393600,65.9
798480000,61.4
798566400,61.1
798652800,51.9
798739200,56.8
798825600,60.8
798912000,61.9
798998400,56.3
799084800,59.3
799171200,62.9
799257600,61.5
799344000,55.3
799430400,56.0
799516800,61.9
799603200,63.8
799689600,61.3
799776000,66.7
799862400,75.2
799948800,74.7
800035200,72.1
800121600,69.4
800208000,64.1
800294400,75.7
800380800,80.3
800467200,76.0
800553600,75.4
800640000,77.7
800726400,78.1
800812800,64.5
800899200,63.2
800985600,67.1
801072000,71.9
801158400,75.5
801244800,78.1
801331200,76.9
801417600,74.3
801504000,76.0
801590400,74.8
801676800,72.2
801763200,70.3
801849600,69.5
801936000,70.5
802022400,69.9
802108800,76.2
802195200,78.1
802281600,77.3
802368000,75.7
802454400,76.7
802540800,81.2
802627200,81.4
802713600,82.0
802800000,76.2
802886400,65.6
802972800,67.4
803059200,66.7
803145600,71.5
803232000,73.8
803318400,75.4
803404800,74.5
803491200,74.1
803577600,69.0
803664000,73.2
803750400,75.3
803836800,77.0
803923200,76.6
804009600,76.8
804096000,75.2
804182400,76.7
804268800,72.6
804355200,75.7
804441600,75.8
804528000,74.2
804614400,74.4
804700800,75.5
804787200,76.7
804873600,73.6
804960000,72.6
805046400,78.6
805132800,77.0
805219200,76.7
805305600,76.6
805392000,81.4
805478400,82.8
805564800,84.0
805651200,81.5
805737600,83.2
805824000,83.5
805910400,84.3
805996800,80.2
806083200,80.9
806169600,80.1
806256000,80.7
806342400,83.1
806428800,82.2
806515200,81.4
806601600,84.2
806688000,79.7
806774400,81.0
806860800,80.4
806947200,78.9
807033600,83.3
807120000,81.6
807206400,81.7
807292800,82.6
807379200,82.8
807465600,76.5
807552000,77.6
807638400,78.3
807724800,80.3
807811200,80.8
807897600,77.5
807984000,81.5
808070400,81.6
808156800,80.9
808243200,84.6
808329600,82.7
808416000,83.9
808502400,84.2
808588800,84.5
808675200,85.6
808761600,82.9
808848000,82.1
808934400,77.6
809020800,83.3
809107200,78.0
809193600,79.1
809280000,80.7
809366400,82.0
809452800,78.9
809539200,78.1
809625600,78.3
809712000,76.0
809798400,81.5
809884800,82.1
809971200,77.4
810057600,71.8
810144000,70.1
810230400,71.7
810316800,73.5
810403200,74.9
810489600,76.2
810576000,72.0
810662400,67.1
810748800,70.6
810835200,76.4
810921600,78.7
811008000,78.1
811094400,77.2
811180800,78.8
811267200,75.3
811353600,72.1
811440000,69.2
811526400,76.8
811612800,73.8
811699200,59.5
811785600,55.5
811872000,61.9
811958400,62.5
812044800,65.4
812131200,64.5
812217600,66.8
812304000,68.2
812390400,72.1
812476800,73.2
812563200,75.2
812649600,72.5
812736000,69.1
812822400,71.4
812908800,68.7
812995200,59.7
813081600,58.7
813168000,61.5
813254400,63.8
813340800,67.3
813427200,66.8
813513600,70.1
813600000,66.5
813686400,55.8
813772800,59.6
813859200,61.8
813945600,59.9
814032000,64.1
814118400,61.5
814204800,52.0
814291200,55.6
814377600,59.5
814464000,63.9
814550400,49.5
814636800,57.7
814723200,62.5
814809600,58.4
814896000,50.4
814982400,51.8
815068800,58.7
815155200,63.6
815241600,68.0
815328000,50.3
815414400,39.8
815500800,42.1
815587200,45.2
815673600,59.1
815760000,47.2
815846400,39.3
815932800,53.3
816019200,53.3
816105600,38.3
816192000,42.1
816278400,41.3
816364800,35.0
816451200,36.6
816537600,41.2
816624000,50.9
816710400,48.0
816796800,51.5
816883200,51.3
816969600,41.0
817056000,50.8
817142400,40.9
817228800,39.3
817315200,50.3
817401600,59.5
817488000,47.6
817574400,35.4
817660800,36.2
817747200,46.9
817833600,49.8
817920000,58.6
818006400,54.8
818092800,57.3
818179200,47.9
818265600,40.2
818352000,39.4
818438400,34.6
818524800,20.2
818611200,27.7
818697600,42.0
818784000,54.5
818870400,63.0
818956800,61.8
819043200,56.6
819129600,52.9
819216000,58.4
819302400,52.3
819388800,36.3
819475200,30.8
819561600,30.8
819648000,29.8
819734400,33.1
819820800,33.1
819907200,32.1
819993600,34.3
820080000,31.4
820166400,28.1
820252800,33.7
820339200,46.9
820425600,51.7
820512000,50.8
820598400,33.8
820684800,35.5
820771200,43.9
820857600,37.5
820944000,20.9
821030400,22.4
821116800,33.3
821203200,38.5
821289600,38.8
821376000,40.0
821462400,40.0
821548800,49.2
821635200,53.6
821721600,57.3
821808000,61.5
821894400,60.2
821980800,22.7
822067200,27.1
822153600,39.1
822240000,42.7
822326400,51.0
822412800,45.8
822499200,34.5
822585600,44.1
822672000,37.9
822758400,31.8
822844800,43.2
822931200,47.4
823017600,26.1
823104000,28.4
823190400,24.3
823276800,13.5
823363200,10.6
823449600,15.4
823536000,30.7
823622400,38.8
823708800,47.3
823795200,57.2
