timestamp,value
788889600,-8.2
788976000,-9.4
789062400,0.2
789148800,3.9
789235200,3.1
789321600,7.5
789408000,7.3
789494400,-6.8
789580800,-13.0
789667200,-13.9
789753600,-11.8
789840000,-9.7
789926400,-8.2
790012800,-8.2
790099200,-9.5
790185600,-0.9
790272000,-4.2
790358400,-5.0
790444800,-8.5
790531200,-7.6
790617600,-6.5
790704000,-13.0
790790400,-8.7
790876800,-6.4
790963200,-10.1
791049600,-6.4
791136000,-4.1
791222400,-3.0
791308800,-2.8
791395200,-2.6
791481600,-2.6
791568000,-5.2
791654400,-10.9
791740800,-8.5
791827200,-2.3
791913600,1.1
792000000,5.5
792086400,5.4
792172800,8.7
792259200,9.8
792345600,7.6
792432000,8.7
792518400,6.7
792604800,7.7
792691200,9.0
792777600,6.9
792864000,11.3
792950400,13.1
793036800,10.2
793123200,9.8
793209600,14.6
793296000,9.9
793382400,8.1
793468800,9.6
793555200,6.7
793641600,12.0
793728000,7.9
793814400,10.1
793900800,13.9
793987200,14.1
794073600,13.8
794160000,16.3
794246400,20.7
794332800,20.6
794419200,24.8
794505600,19.3
794592000,7.7
794678400,13.7
794764800,6.8
794851200,10.5
794937600,19.0
795024000,0.2
795110400,0.7
795196800,0.9
795283200,4.8
795369600,15.2
795456000,20.1
795542400,24.5
795628800,29.6
795715200,24.0
795801600,21.7
795888000,18.5
795974400,23.3
796060800,28.6
796147200,24.4
796233600,38.5
796320000,32.9
796406400,30.1
796492800,28.0
796579200,32.7
796665600,28.2
796752000,33.3
796838400,37.0
796924800,36.0
797011200,30.0
797097600,34.4
797184000,22.7
797270400,20.0
797356800,26.5
797443200,23.2
797529600,30.3
797616000,35.5
797702400,35.7
797788800,29.2
797875200,32.2
797961600,29.1
798048000,27.2
798134400,37.5
798220800,41.4
798307200,27.5
798393600,21.0
798480000,32.6
798566400,33.4
798652800,26.2
798739200,41.9
798825600,47.6
798912000,36.7
798998400,25.0
799084800,31.2
799171200,22.6
799257600,24.5
799344000,26.1
799430400,35.4
799516800,45.5
799603200,54.3
799689600,57.9
799776000,41.2
799862400,33.6
799948800,37.9
800035200,45.7
800121600,43.2
800208000,45.9
800294400,52.0
800380800,52.7
800467200,55.5
800553600,40.8
800640000,42.4
800726400,35.6
800812800,36.1
800899200,39.4
800985600,42.5
801072000,51.7
801158400,38.2
801244800,39.9
801331200,42.4
801417600,49.5
801504000,42.1
801590400,35.7
801676800,50.4
801763200,57.5
801849600,52.7
801936000,55.4
802022400,59.4
802108800,64.5
802195200,66.3
802281600,52.7
802368000,62.5
802454400,69.2
802540800,66.0
802627200,67.7
802713600,72.4
802800000,59.1
802886400,50.5
802972800,56.5
803059200,55.1
803145600,52.4
803232000,58.9
803318400,65.7
803404800,67.4
803491200,54.1
803577600,52.2
803664000,45.8
803750400,42.9
803836800,51.4
803923200,54.1
804009600,63.5
804096000,70.6
804182400,55.6
804268800,46.8
804355200,51.6
804441600,62.7
804528000,65.1
804614400,68.7
804700800,59.2
804787200,62.6
804873600,75.6
804960000,71.7
805046400,61.2
805132800,67.1
805219200,60.9
805305600,54.0
805392000,59.6
805478400,63.2
805564800,66.6
805651200,61.0
805737600,62.0
805824000,62.7
805910400,69.4
805996800,71.6
806083200,72.9
806169600,73.8
806256000,57.6
806342400,54.1
806428800,58.9
806515200,68.1
806601600,69.2
806688000,63.9
806774400,59.2
806860800,62.2
806947200,60.1
807033600,58.0
807120000,60.1
807206400,60.6
807292800,57.0
807379200,59.5
807465600,63.5
807552000,63.8
807638400,60.8
807724800,68.6
807811200,62.8
807897600,59.1
807984000,55.9
808070400,56.5
808156800,53.7
808243200,55.3
808329600,55.0
808416000,60.6
808502400,60.5
808588800,61.4
808675200,61.3
808761600,62.6
808848000,64.2
808934400,69.0
809020800,66.1
809107200,56.1
809193600,59.5
809280000,61.5
809366400,69.6
809452800,62.8
809539200,56.5
809625600,61.6
809712000,66.7
809798400,63.8
809884800,55.0
809971200,59.4
810057600,58.6
810144000,51.3
810230400,50.0
810316800,49.5
810403200,50.4
810489600,38.6
810576000,34.7
810662400,41.8
810748800,51.0
810835200,35.7
810921600,42.8
811008000,48.7
811094400,50.5
811180800,58.1
811267200,59.0
811353600,53.0
811440000,57.9
811526400,61.7
811612800,41.7
811699200,26.8
811785600,30.5
811872000,36.5
811958400,42.6
812044800,49.3
812131200,36.4
812217600,46.9
812304000,46.8
812390400,35.7
812476800,32.3
812563200,37.6
812649600,26.7
812736000,21.0
812822400,32.7
812908800,37.1
812995200,34.6
813081600,41.9
813168000,41.6
813254400,41.7
813340800,44.7
813427200,43.1
813513600,39.4
813600000,48.5
813686400,47.6
813772800,36.9
813859200,41.9
813945600,47.3
814032000,46.1
814118400,40.3
814204800,35.5
814291200,27.5
814377600,31.7
814464000,32.4
814550400,35.0
814636800,44.7
814723200,43.0
814809600,26.2
814896000,19.7
814982400,10.2
815068800,15.9
815155200,26.4
815241600,27.5
815328000,29.8
815414400,28.5
815500800,14.2
815587200,5.6
815673600,19.2
815760000,28.0
815846400,25.6
815932800,25.1
816019200,24.1
816105600,22.5
816192000,19.8
816278400,26.8
816364800,22.5
816451200,30.6
816537600,23.0
816624000,10.7
816710400,9.2
816796800,14.0
816883200,9.5
816969600,4.2
817056000,17.2
817142400,21.3
817228800,10.7
817315200,11.0
817401600,13.5
817488000,14.4
817574400,20.5
817660800,14.7
817747200,11.4
817833600,6.0
817920000,2.6
818006400,-1.5
818092800,-3.1
818179200,-0.9
818265600,8.4
818352000,6.8
818438400,15.8
818524800,6.5
818611200,7.5
818697600,5.2
818784000,4.1
818870400,-6.0
818956800,-9.1
819043200,-4.5
819129600,-3.3
819216000,-3.1
819302400,-2.0
819388800,4.7
819475200,2.5
819561600,0.1
819648000,-3.1
819734400,4.7
819820800,5.4
819907200,1.1
819993600,-9.0
820080000,-2.0
820166400,3.5
820252800,5.7
820339200,9.4
820425600,3.4
820512000,-10.7
820598400,1.5
820684800,5.6
820771200,-4.9
820857600,-9.7
820944000,-15.9
821030400,-7.5
821116800,-1.6
821203200,9.9
821289600,15.9
821376000,-2.4
821462400,-13.9
821548800,-18.6
821635200,-17.2
821721600,-13.1
821808000,-12.3
821894400,-9.5
821980800,-8.2
822067200,-6.5
822153600,-8.9
822240000,-10.5
822326400,-10.0
822412800,-11.1
822499200,-6.9
822585600,-4.0
822672000,-3.3
822758400,-6.7
822844800,-12.2
822931200,-7.8
823017600,-5.0
823104000,-1.7
823190400,-0.1
823276800,-3.9
823363200,-1.6
823449600,5.0
823536000,-4.0
823622400,-7.4
823708800,-7.6
823795200,-0.2
823881600,4.3
823968000,15.3
824054400,21.9
824140800,-1.7
824227200,-8.8
824313600,-8.4
824400000,-9.0
824486400,-7.0
824572800,-5.2
824659200,-0.2
824745600,2.3
824832000,2.3
824918400,4.4
825004800,8.5
825091200,9.4
825177600,-1.3
825264000,9.8
825350400,12.1
825436800,10.2
825523200,11.5
825609600,12.9
825696000,16.9
825782400,22.6
825868800,25.1
825955200,20.7
826041600,3.7
826128000,5.8
826214400,11.7
826300800,18.7
826387200,21.0
826473600,24.6
826560000,19.2
826646400,10.3
826732800,11.7
826819200,11.8
826905600,8.4
826992000,6.1
827078400,12.0
827164800,14.4
827251200,11.7
827337600,15.1
827424000,23.4
827510400,13.9
827596800,11.0
827683200,11.9
827769600,18.3
827856000,32.9
827942400,34.8
828028800,19.8
828115200,18.3
828201600,18.0
828288000,19.8
828374400,25.3
828460800,30.0
828547200,36.9
828633600,21.0
828720000,18.5
828806400,13.8
828892800,16.2
828979200,18.5
829065600,25.2
829152000,30.0
829238400,33.1
