timestamp,value
788889600,35.7
788976000,34.7
789062400,31.4
789148800,25.2
789235200,23.0
789321600,24.8
789408000,26.8
789494400,27.3
789580800,26.1
789667200,35.1
789753600,32.7
789840000,33.2
789926400,31.5
790012800,26.8
790099200,29.7
790185600,30.2
790272000,28.0
790358400,24.3
790444800,22.8
790531200,25.0
790617600,24.9
790704000,28.4
790790400,34.3
790876800,40.6
790963200,38.7
791049600,52.2
791136000,40.0
791222400,34.3
791308800,42.8
791395200,42.5
791481600,34.9
791568000,32.8
791654400,35.3
791740800,36.4
791827200,36.0
791913600,44.5
792000000,47.6
792086400,53.7
792172800,47.6
792259200,42.6
792345600,33.5
792432000,33.6
792518400,38.9
792604800,42.6
792691200,46.0
792777600,45.9
792864000,44.5
792950400,47.2
793036800,42.1
793123200,42.3
793209600,50.4
793296000,48.9
793382400,43.5
793468800,40.7
793555200,37.1
793641600,43.5
793728000,43.7
793814400,38.9
793900800,41.2
793987200,41.2
794073600,39.1
794160000,40.3
794246400,37.7
794332800,37.4
794419200,39.3
794505600,40.7
794592000,38.8
794678400,40.5
794764800,41.7
794851200,40.0
794937600,39.0
795024000,38.0
795110400,32.4
795196800,32.6
795283200,31.8
795369600,37.2
795456000,46.0
795542400,47.9
795628800,39.5
795715200,39.1
795801600,38.7
795888000,40.5
795974400,49.2
796060800,51.5
796147200,43.5
796233600,47.4
796320000,35.2
796406400,35.5
796492800,35.4
796579200,38.7
796665600,41.2
796752000,53.5
796838400,61.8
796924800,59.8
797011200,48.6
797097600,52.8
797184000,56.4
797270400,44.9
797356800,39.9
797443200,40.0
797529600,36.3
797616000,42.5
797702400,40.9
797788800,41.3
797875200,38.1
797961600,43.9
798048000,46.6
798134400,52.8
798220800,56.4
798307200,54.2
798393600,57.1
798480000,62.7
798566400,65.5
798652800,62.9
798739200,54.7
798825600,50.6
798912000,54.9
798998400,56.7
799084800,54.3
799171200,57.8
799257600,57.5
799344000,49.7
799430400,48.4
799516800,54.5
799603200,61.6
799689600,62.5
799776000,63.8
799862400,59.4
799948800,58.7
800035200,54.7
800121600,54.4
800208000,55.5
800294400,56.0
800380800,48.4
800467200,50.1
800553600,53.8
800640000,55.6
800726400,56.7
800812800,52.6
800899200,49.4
800985600,50.7
801072000,53.9
801158400,56.0
801244800,59.2
801331200,63.3
801417600,68.0
801504000,71.5
801590400,69.4
801676800,69.0
801763200,68.6
801849600,65.9
801936000,64.0
802022400,58.5
802108800,58.8
802195200,60.7
802281600,60.0
802368000,59.1
802454400,61.5
802540800,65.8
802627200,65.4
802713600,61.6
802800000,64.0
802886400,59.9
