timestamp,value
788889600,79.5
788976000,77.8
789062400,78.6
789148800,76.9
789235200,71.4
789321600,65.5
789408000,70.2
789494400,72.3
789580800,71.4
789667200,75.5
789753600,78.1
789840000,80.6
789926400,78.8
790012800,75.5
790099200,73.8
790185600,74.3
790272000,72.7
790358400,76.8
790444800,77.6
790531200,77.2
790617600,77.7
790704000,76.6
790790400,81.1
790876800,81.8
790963200,73.8
791049600,79.6
791136000,78.8
791222400,73.9
791308800,66.6
791395200,77.0
791481600,75.4
791568000,71.0
791654400,68.8
791740800,72.5
791827200,72.0
791913600,68.4
792000000,68.5
792086400,73.4
792172800,71.6
792259200,73.2
792345600,76.7
792432000,77.9
792518400,79.9
792604800,82.1
792691200,81.3
792777600,82.6
792864000,81.9
792950400,81.3
793036800,82.4
793123200,82.2
793209600,81.7
793296000,82.7
793382400,84.0
793468800,78.3
793555200,81.1
793641600,81.2
793728000,77.8
793814400,80.1
793900800,80.3
793987200,81.9
794073600,84.4
794160000,84.0
794246400,77.4
794332800,75.0
794419200,80.3
794505600,85.2
794592000,89.0
794678400,87.8
794764800,86.3
794851200,90.7
794937600,90.3
795024000,89.6
795110400,89.2
795196800,91.6
795283200,89.2
795369600,92.6
795456000,86.7
795542400,78.2
795628800,83.3
795715200,87.3
795801600,88.0
795888000,89.4
795974400,89.9
796060800,84.0
796147200,74.8
796233600,82.4
796320000,84.9
796406400,87.8
796492800,87.8
796579200,90.0
796665600,90.1
796752000,93.2
796838400,87.5
796924800,79.3
797011200,86.0
797097600,86.2
797184000,80.6
797270400,82.4
797356800,86.9
797443200,90.1
797529600,89.2
797616000,91.2
797702400,93.5
797788800,92.1
797875200,93.0
797961600,96.3
798048000,97.0
798134400,88.3
798220800,90.5
798307200,88.2
798393600,91.7
798480000,91.0
798566400,91.9
798652800,93.4
798739200,93.4
798825600,86.0
798912000,86.7
798998400,87.1
799084800,89.8
799171200,89.2
799257600,89.4
799344000,87.0
799430400,87.3
799516800,90.3
799603200,85.6
799689600,86.8
799776000,85.2
799862400,86.6
799948800,85.8
800035200,74.0
800121600,80.3
800208000,82.0
800294400,80.4
800380800,81.0
800467200,85.3
800553600,82.4
800640000,88.7
800726400,83.8
800812800,85.4
800899200,87.8
800985600,89.6
801072000,91.9
801158400,92.8
801244800,91.1
801331200,92.4
801417600,91.8
801504000,86.3
801590400,83.5
801676800,83.3
801763200,87.8
801849600,85.9
801936000,86.2
802022400,80.2
802108800,85.4
