timestamp,value
788889600,43.6
788976000,34.9
789062400,38.6
789148800,34.7
789235200,31.4
789321600,46.3
789408000,41.3
789494400,50.1
789580800,50.9
789667200,64.7
789753600,66.9
789840000,68.4
789926400,55.5
790012800,51.2
790099200,46.9
790185600,55.1
790272000,60.5
790358400,50.5
790444800,43.2
790531200,45.0
790617600,52.3
790704000,48.3
790790400,39.2
790876800,42.5
790963200,51.4
791049600,57.0
791136000,58.6
791222400,54.2
791308800,45.3
791395200,41.4
791481600,46.5
791568000,52.9
791654400,56.1
791740800,59.8
791827200,51.1
791913600,51.8
792000000,45.9
792086400,47.4
792172800,38.5
792259200,50.1
792345600,60.2
792432000,47.6
792518400,37.5
792604800,38.5
792691200,38.5
792777600,57.3
792864000,47.5
792950400,45.9
793036800,44.4
793123200,56.5
793209600,55.4
793296000,59.5
793382400,56.5
793468800,64.3
793555200,63.2
793641600,55.2
793728000,57.9
793814400,68.4
793900800,55.7
793987200,38.7
794073600,34.4
794160000,35.7
794246400,42.6
794332800,54.0
794419200,54.1
794505600,50.9
794592000,35.5
794678400,42.1
794764800,46.7
794851200,55.0
794937600,65.0
795024000,63.2
795110400,56.0
795196800,56.5
795283200,59.4
795369600,58.5
795456000,61.7
795542400,65.7
795628800,68.9
795715200,63.1
795801600,73.0
795888000,74.3
795974400,67.2
796060800,70.2
796147200,68.6
796233600,58.3
796320000,54.1
796406400,49.2
796492800,52.9
796579200,54.6
796665600,53.9
796752000,60.0
796838400,63.0
796924800,60.8
797011200,59.5
797097600,59.9
797184000,62.3
797270400,69.9
797356800,72.0
797443200,69.9
797529600,51.4
797616000,59.9
797702400,62.6
797788800,68.3
797875200,71.0
797961600,72.7
798048000,74.2
798134400,68.1
798220800,65.5
798307200,66.7
798393600,66.9
798480000,65.7
798566400,51.6
798652800,52.5
798739200,58.8
798825600,65.5
798912000,62.4
798998400,63.5
799084800,73.6
799171200,75.3
799257600,71.6
799344000,58.8
799430400,62.7
799516800,70.0
799603200,68.8
799689600,72.8
799776000,76.6
799862400,68.7
799948800,71.8
800035200,72.4
800121600,63.8
800208000,68.1
800294400,78.9
800380800,81.6
800467200,81.9
800553600,79.3
800640000,77.8
800726400,70.3
800812800,63.7
800899200,67.7
800985600,71.4
801072000,74.3
801158400,76.9
801244800,77.1
801331200,76.5
801417600,76.9
801504000,77.6
801590400,80.6
801676800,76.6
801763200,72.5
801849600,72.4
801936000,71.4
802022400,79.9
802108800,80.7
802195200,79.5
802281600,79.2
802368000,80.5
802454400,82.8
802540800,83.9
802627200,84.6
802713600,84.4
802800000,71.9
802886400,68.7
802972800,69.1
803059200,73.6
803145600,75.5
803232000,76.7
803318400,76.4
803404800,77.1
803491200,78.4
803577600,78.0
803664000,78.4
803750400,79.1
803836800,79.4
803923200,79.9
804009600,80.6
804096000,77.4
804182400,75.3
804268800,76.2
804355200,76.9
804441600,75.1
804528000,77.4
804614400,79.4
804700800,83.1
804787200,84.0
804873600,77.9
804960000,77.6
805046400,80.3
805132800,82.4
805219200,83.7
805305600,83.2
805392000,84.6
805478400,86.1
805564800,87.2
805651200,84.8
805737600,80.5
805824000,79.5
805910400,82.1
805996800,83.2
806083200,78.6
806169600,81.9
806256000,87.1
806342400,88.2
806428800,87.1
806515200,86.6
806601600,87.4
806688000,88.6
806774400,89.9
806860800,89.1
806947200,86.4
807033600,80.6
807120000,76.0
807206400,79.6
807292800,79.6
807379200,82.1
807465600,83.1
807552000,83.4
807638400,84.1
807724800,84.5
807811200,83.1
807897600,83.3
807984000,82.5
808070400,83.3
808156800,84.2
808243200,84.1
808329600,81.9
808416000,79.9
808502400,82.8
808588800,84.5
808675200,84.5
808761600,83.1
808848000,82.6
808934400,85.3
809020800,87.3
809107200,84.6
809193600,81.9
809280000,81.1
809366400,84.4
809452800,83.8
809539200,83.5
809625600,82.3
809712000,81.6
809798400,77.7
809884800,81.4
809971200,84.2
810057600,84.1
810144000,86.6
810230400,85.0
810316800,84.6
810403200,81.6
810489600,76.8
810576000,71.4
810662400,72.2
810748800,75.1
810835200,81.1
810921600,76.8
811008000,74.9
811094400,77.2
811180800,81.4
811267200,81.5
811353600,73.9
811440000,79.6
811526400,74.2
811612800,68.6
811699200,54.3
811785600,55.5
811872000,63.6
811958400,66.1
812044800,67.1
812131200,73.5
812217600,80.1
812304000,79.2
812390400,79.0
812476800,77.7
812563200,75.2
812649600,68.1
812736000,60.4
812822400,69.0
812908800,62.0
812995200,58.8
813081600,66.2
813168000,71.9
813254400,71.8
813340800,70.2
813427200,69.9
813513600,70.3
813600000,66.8
813686400,59.0
813772800,64.1
813859200,69.5
813945600,68.1
814032000,72.6
814118400,66.4
814204800,57.3
814291200,71.0
814377600,72.3
814464000,56.1
814550400,62.2
814636800,71.3
814723200,76.5
814809600,61.7
814896000,63.5
814982400,58.7
815068800,64.1
815155200,69.1
815241600,62.5
815328000,46.7
815414400,44.9
815500800,45.9
815587200,55.3
815673600,66.9
815760000,55.9
815846400,57.9
815932800,72.6
816019200,52.6
816105600,44.8
816192000,58.2
816278400,54.7
816364800,56.6
816451200,54.1
816537600,51.2
816624000,54.5
816710400,58.9
816796800,59.6
816883200,60.5
816969600,59.4
817056000,59.2
817142400,51.3
817228800,54.6
817315200,62.9
817401600,64.3
817488000,44.1
817574400,37.1
817660800,48.0
817747200,58.7
817833600,66.3
817920000,67.1
818006400,57.5
818092800,60.8
818179200,57.7
818265600,49.1
818352000,50.1
818438400,35.6
818524800,28.2
818611200,42.7
818697600,60.6
818784000,67.5
818870400,68.2
818956800,69.5
819043200,56.3
819129600,57.8
819216000,52.9
819302400,40.6
819388800,37.9
819475200,37.7
819561600,40.9
819648000,38.8
819734400,34.4
819820800,40.4
819907200,38.2
819993600,41.9
820080000,38.7
820166400,37.3
820252800,48.5
820339200,55.4
820425600,52.8
820512000,38.1
820598400,35.1
820684800,47.9
820771200,42.1
820857600,34.0
820944000,27.3
821030400,28.3
821116800,44.7
821203200,45.0
821289600,56.1
821376000,48.6
821462400,49.4
821548800,58.1
821635200,52.3
821721600,49.0
821808000,65.7
821894400,43.5
821980800,28.1
822067200,42.4
822153600,42.8
822240000,53.0
822326400,60.6
822412800,39.4
822499200,47.1
822585600,53.6
822672000,35.1
822758400,42.7
822844800,52.1
822931200,46.5
823017600,26.2
823104000,23.8
823190400,27.2
823276800,24.2
823363200,21.0
823449600,33.9
823536000,49.2
823622400,60.5
823708800,65.0
823795200,64.0
823881600,66.9
823968000,57.2
824054400,45.8
824140800,48.5
824227200,62.9
824313600,61.3
824400000,43.1
824486400,44.6
824572800,51.8
824659200,66.4
824745600,65.8
824832000,69.5
824918400,68.7
825004800,71.0
825091200,58.5
825177600,68.0
825264000,70.0
825350400,70.7
825436800,46.9
825523200,39.1
825609600,40.7
825696000,45.9
825782400,56.2
825868800,60.1
825955200,70.5
826041600,66.4
826128000,36.0
826214400,32.7
826300800,30.2
826387200,40.0
826473600,47.4
826560000,56.4
826646400,64.9
826732800,70.1
826819200,63.7
826905600,59.0
826992000,59.7
827078400,57.1
827164800,50.8
827251200,43.5
827337600,43.5
827424000,63.4
827510400,67.2
827596800,66.1
827683200,53.5
827769600,43.3
827856000,43.0
827942400,43.9
828028800,53.4
828115200,66.3
828201600,59.5
828288000,61.8
828374400,55.7
828460800,64.8
828547200,67.7
828633600,47.9
828720000,47.9
828806400,48.7
828892800,48.7
828979200,64.7
829065600,66.2
829152000,71.8
829238400,70.2
829324800,61.2
829411200,76.2
829497600,58.1
829584000,56.2
829670400,65.4
829756800,72.0
829843200,81.0
829929600,72.5
830016000,78.3
830102400,67.0
830188800,55.2
830275200,61.0
830361600,76.4
830448000,76.4
830534400,69.2
830620800,76.3
830707200,61.0
830793600,61.0
830880000,70.4
830966400,72.4
831052800,74.5
831139200,75.1
831225600,76.0
831312000,74.2
831398400,75.3
831484800,73.8
831571200,75.5
831657600,76.2
831744000,72.2
831830400,70.3
831916800,74.5
832003200,75.4
832089600,77.3
832176000,80.3
832262400,77.7
832348800,80.6
832435200,78.2
832521600,82.6
832608000,78.4
832694400,81.8
832780800,82.6
832867200,81.4
832953600,79.5
833040000,82.3
833126400,81.1
833212800,86.6
833299200,79.6
833385600,80.5
833472000,80.7
833558400,78.1
833644800,75.2
833731200,75.2
833817600,76.1
833904000,77.1
833990400,81.3
834076800,75.9
834163200,69.2
834249600,68.8
834336000,75.0
834422400,80.5
834508800,79.1
834595200,80.6
834681600,82.9
834768000,83.5
834854400,87.1
834940800,86.7
835027200,88.0
835113600,91.4
835200000,87.8
835286400,82.5
835372800,83.1
835459200,79.7
835545600,79.8
835632000,81.9
835718400,82.1
835804800,84.8
835891200,85.7
835977600,83.4
836064000,86.0
836150400,88.4
836236800,88.5
836323200,90.0
836409600,91.0
836496000,89.1
836582400,90.1
836668800,90.8
836755200,90.7
836841600,89.1
836928000,83.9
837014400,82.7
837100800,83.6
837187200,78.0
837273600,82.1
837360000,79.5
837446400,84.1
837532800,87.5
837619200,88.0
837705600,87.8
837792000,88.9
837878400,89.0
837964800,89.8
838051200,88.4
838137600,81.0
838224000,81.4
838310400,85.2
838396800,83.0
838483200,84.4
838569600,86.9
838656000,88.5
838742400,88.2
838828800,85.3
838915200,90.7
839001600,90.6
839088000,89.3
839174400,89.7
839260800,88.9
839347200,89.0
839433600,86.2
839520000,82.0
839606400,78.8
839692800,76.6
839779200,81.8
839865600,80.0
839952000,82.7
840038400,83.7
840124800,84.6
840211200,83.0
840297600,83.7
840384000,82.5
840470400,79.6
840556800,84.1
840643200,79.3
840729600,75.9
840816000,77.4
840902400,76.5
840988800,78.9
841075200,77.3
841161600,77.6
841248000,73.7
841334400,74.8
841420800,76.8
841507200,74.2
841593600,75.2
841680000,77.1
841766400,76.8
841852800,77.6
841939200,77.9
842025600,79.7
842112000,80.6
842198400,79.0
842284800,76.4
842371200,73.8
842457600,76.3
842544000,76.7
842630400,75.7
842716800,79.6
842803200,75.9
842889600,74.3
842976000,77.8
843062400,72.3
843148800,75.1
843235200,71.9
843321600,72.3
843408000,79.3
843494400,80.1
843580800,75.3
843667200,77.7
843753600,59.6
843840000,57.7
843926400,61.2
844012800,63.6
844099200,63.7
844185600,66.4
