timestamp,value
788889600,35.4
788976000,30.5
789062400,27.2
789148800,22.9
789235200,18.7
789321600,19.7
789408000,21.6
789494400,26.6
789580800,27.4
789667200,31.0
789753600,30.9
789840000,30.8
789926400,28.5
790012800,20.4
790099200,27.6
790185600,30.7
790272000,23.7
790358400,20.0
790444800,16.8
790531200,16.0
790617600,20.3
790704000,29.5
790790400,38.8
790876800,38.8
790963200,37.0
791049600,39.9
791136000,37.8
791222400,34.4
791308800,42.4
791395200,40.6
791481600,29.5
791568000,33.2
791654400,40.6
791740800,31.2
791827200,35.1
791913600,36.9
792000000,39.1
792086400,44.8
792172800,33.8
792259200,29.6
792345600,28.2
792432000,32.6
792518400,40.6
792604800,42.8
792691200,42.2
792777600,43.9
792864000,45.0
792950400,41.5
793036800,40.3
793123200,36.4
793209600,41.7
793296000,41.2
793382400,41.2
793468800,35.0
793555200,36.9
793641600,35.3
793728000,34.6
793814400,34.4
793900800,37.1
793987200,44.8
794073600,45.2
794160000,40.0
794246400,42.6
794332800,38.0
794419200,40.0
794505600,39.4
794592000,38.3
794678400,37.3
794764800,38.2
794851200,33.3
794937600,37.3
795024000,28.4
795110400,23.7
795196800,30.0
795283200,35.8
795369600,40.4
795456000,44.0
795542400,39.4
795628800,38.2
795715200,37.0
795801600,36.9
795888000,36.7
795974400,45.9
796060800,44.5
796147200,36.5
796233600,39.0
796320000,29.5
796406400,32.6
796492800,31.4
796579200,33.4
796665600,35.1
796752000,43.1
796838400,44.7
796924800,43.4
797011200,38.4
797097600,44.2
797184000,43.1
797270400,35.9
797356800,35.7
797443200,34.2
797529600,35.0
797616000,33.8
797702400,36.7
797788800,48.0
797875200,46.1
797961600,42.8
798048000,41.0
798134400,46.2
798220800,53.4
798307200,56.1
798393600,54.6
798480000,63.3
798566400,63.5
798652800,60.5
798739200,61.5
798825600,57.2
798912000,51.4
798998400,47.8
799084800,40.6
799171200,45.9
799257600,45.3
799344000,40.8
799430400,46.9
799516800,52.7
799603200,53.8
799689600,57.8
799776000,49.7
799862400,51.9
799948800,50.1
800035200,47.0
800121600,46.3
800208000,55.6
800294400,57.6
800380800,46.1
800467200,45.4
800553600,51.3
800640000,56.5
800726400,61.6
800812800,53.5
800899200,46.3
800985600,48.5
801072000,48.6
801158400,52.7
801244800,61.0
801331200,58.6
801417600,60.8
801504000,68.8
801590400,71.0
801676800,72.1
801763200,70.4
801849600,71.3
801936000,72.8
802022400,70.3
802108800,53.1
802195200,57.9
802281600,62.4
802368000,65.3
802454400,68.2
802540800,68.5
802627200,71.5
802713600,61.6
802800000,70.0
802886400,66.0
802972800,67.9
803059200,58.9
803145600,60.8
803232000,60.2
803318400,61.1
803404800,60.2
803491200,60.6
803577600,61.7
803664000,67.3
803750400,57.9
803836800,52.6
803923200,55.5
804009600,60.0
804096000,62.9
804182400,69.7
804268800,62.5
804355200,65.4
804441600,68.0
804528000,68.3
804614400,60.5
804700800,71.2
804787200,64.4
804873600,59.2
804960000,60.4
805046400,66.9
805132800,71.9
805219200,76.0
805305600,76.1
805392000,69.8
805478400,69.5
805564800,71.7
805651200,73.6
805737600,71.0
805824000,67.4
805910400,66.8
805996800,65.1
806083200,65.1
806169600,65.6
806256000,72.7
806342400,77.1
806428800,61.3
806515200,62.8
806601600,66.2
806688000,63.3
806774400,66.3
806860800,68.2
806947200,72.4
807033600,73.5
807120000,71.8
807206400,66.8
807292800,66.9
807379200,68.0
807465600,66.7
807552000,65.2
807638400,63.9
807724800,69.4
807811200,64.4
807897600,60.6
807984000,63.0
808070400,63.5
808156800,62.9
808243200,68.7
808329600,69.3
808416000,62.6
808502400,63.8
808588800,66.2
808675200,71.4
808761600,73.6
808848000,75.5
808934400,73.5
809020800,69.4
809107200,73.1
809193600,75.5
809280000,67.2
809366400,66.0
809452800,59.5
809539200,54.8
809625600,53.9
809712000,54.6
809798400,50.7
809884800,56.6
809971200,55.0
810057600,54.0
810144000,57.9
810230400,55.6
810316800,57.0
810403200,60.9
810489600,63.0
810576000,60.7
810662400,59.3
