timestamp,value
788889600,40.6
788976000,39.8
789062400,29.3
789148800,33.0
789235200,20.9
789321600,27.0
789408000,36.4
789494400,37.2
789580800,35.9
789667200,35.1
789753600,35.1
789840000,44.4
789926400,54.5
790012800,59.6
790099200,62.5
790185600,53.5
790272000,44.5
790358400,47.1
790444800,44.0
790531200,45.5
790617600,41.7
790704000,34.9
790790400,33.4
790876800,34.4
790963200,35.4
791049600,32.3
791136000,32.8
791222400,35.8
791308800,28.7
791395200,33.8
791481600,36.9
791568000,38.2
791654400,44.4
791740800,32.0
791827200,32.0
791913600,24.3
792000000,14.3
792086400,20.0
792172800,24.1
792259200,22.9
792345600,31.8
792432000,38.3
792518400,25.6
792604800,23.1
792691200,29.4
792777600,31.2
792864000,37.9
792950400,40.2
793036800,37.4
793123200,39.1
793209600,46.0
793296000,44.5
793382400,36.0
793468800,43.0
793555200,45.1
793641600,36.2
793728000,39.7
793814400,33.4
793900800,42.4
793987200,44.9
794073600,37.7
794160000,35.6
794246400,38.2
794332800,43.6
794419200,47.7
794505600,49.6
794592000,54.5
794678400,32.2
794764800,29.5
794851200,44.3
794937600,51.2
795024000,58.9
795110400,62.5
795196800,56.7
795283200,60.0
795369600,61.2
795456000,51.7
795542400,51.2
795628800,51.9
795715200,59.0
795801600,53.8
795888000,46.0
795974400,48.6
796060800,46.7
796147200,54.2
796233600,56.5
796320000,48.7
796406400,48.1
796492800,52.2
796579200,48.3
796665600,45.3
796752000,46.6
796838400,48.6
796924800,59.9
797011200,38.5
797097600,46.1
797184000,58.3
797270400,59.0
797356800,64.1
797443200,52.4
797529600,49.1
797616000,58.2
797702400,56.2
797788800,49.6
797875200,48.4
797961600,55.3
798048000,56.6
798134400,56.2
798220800,68.6
798307200,66.9
798393600,64.5
798480000,70.7
798566400,55.3
798652800,48.7
798739200,54.4
798825600,57.1
798912000,62.5
798998400,63.6
799084800,59.6
799171200,57.2
799257600,53.1
799344000,50.8
799430400,55.8
799516800,58.9
799603200,60.4
799689600,62.6
799776000,61.5
799862400,62.3
799948800,61.6
800035200,59.6
800121600,63.4
800208000,66.1
800294400,66.8
800380800,60.3
800467200,66.3
800553600,66.9
800640000,68.9
800726400,72.4
800812800,68.2
800899200,67.3
800985600,70.5
801072000,70.3
801158400,68.6
801244800,73.8
801331200,77.3
801417600,71.6
801504000,67.5
801590400,63.2
801676800,69.5
801763200,69.0
801849600,68.8
801936000,71.0
802022400,74.3
802108800,73.4
802195200,71.9
802281600,74.1
802368000,70.7
802454400,77.7
802540800,81.1
802627200,76.4
802713600,74.1
802800000,77.9
802886400,68.8
802972800,65.0
803059200,70.0
803145600,73.4
803232000,71.6
803318400,72.4
803404800,74.7
803491200,76.3
803577600,78.6
803664000,80.9
803750400,76.2
803836800,71.1
803923200,72.4
804009600,77.1
804096000,78.3
804182400,74.6
804268800,67.2
804355200,71.2
804441600,76.0
804528000,75.2
804614400,75.0
804700800,73.3
804787200,75.7
804873600,77.9
804960000,78.5
805046400,75.2
805132800,75.9
805219200,70.9
805305600,74.3
805392000,77.3
805478400,79.4
805564800,81.6
805651200,84.7
805737600,88.4
805824000,85.5
805910400,83.5
805996800,82.5
806083200,84.2
806169600,82.3
806256000,83.9
806342400,79.7
806428800,82.8
806515200,85.8
806601600,81.8
806688000,83.8
806774400,84.9
806860800,80.4
806947200,85.6
807033600,85.4
807120000,84.1
807206400,82.8
807292800,85.2
807379200,86.5
807465600,86.6
807552000,85.7
807638400,76.1
807724800,73.1
807811200,71.7
807897600,74.0
807984000,78.0
808070400,79.8
808156800,82.3
808243200,86.8
808329600,84.8
808416000,83.5
808502400,82.9
808588800,84.9
808675200,85.4
808761600,78.9
808848000,74.1
808934400,79.1
809020800,84.4
809107200,78.8
809193600,76.9
809280000,79.9
809366400,74.6
809452800,78.2
809539200,77.3
809625600,75.9
809712000,77.4
809798400,78.8
809884800,83.7
809971200,76.6
810057600,73.6
810144000,75.2
810230400,76.5
810316800,79.4
810403200,78.5
810489600,78.9
810576000,79.1
810662400,72.1
810748800,66.9
810835200,69.9
810921600,76.4
811008000,78.3
811094400,74.9
811180800,69.4
811267200,66.1
811353600,67.8
811440000,65.7
811526400,70.1
811612800,72.8
811699200,72.4
811785600,56.8
811872000,55.2
811958400,59.0
812044800,62.0
812131200,62.5
812217600,66.7
812304000,65.2
812390400,62.7
812476800,64.5
812563200,67.9
