timestamp,value
788889600,69.7
788976000,68.7
789062400,68.9
789148800,68.0
789235200,64.5
789321600,71.7
789408000,73.7
789494400,62.1
789580800,57.7
789667200,59.1
789753600,64.9
789840000,68.7
789926400,72.8
790012800,72.4
790099200,68.0
790185600,61.0
790272000,58.6
790358400,63.0
790444800,70.6
790531200,61.8
790617600,57.1
790704000,57.7
790790400,62.3
790876800,56.8
790963200,51.7
791049600,54.4
791136000,56.1
791222400,64.2
791308800,69.6
791395200,65.1
791481600,55.4
791568000,54.6
791654400,58.0
791740800,60.7
791827200,61.7
791913600,53.8
792000000,56.8
792086400,52.4
792172800,58.7
792259200,48.0
792345600,57.3
792432000,66.5
792518400,74.5
792604800,69.5
792691200,70.1
792777600,73.8
792864000,74.0
792950400,72.4
793036800,75.8
793123200,75.0
793209600,69.4
793296000,62.8
793382400,59.3
793468800,62.9
793555200,67.8
793641600,66.6
793728000,70.8
793814400,71.5
793900800,71.1
793987200,74.6
794073600,69.0
794160000,66.8
794246400,69.9
794332800,73.4
794419200,74.7
794505600,75.3
794592000,73.2
794678400,66.1
794764800,64.2
794851200,69.0
794937600,70.2
795024000,70.9
795110400,71.1
795196800,71.3
795283200,71.5
795369600,73.3
795456000,67.0
795542400,67.3
795628800,68.5
795715200,69.2
795801600,69.2
795888000,72.6
795974400,74.1
796060800,72.7
796147200,71.5
796233600,71.5
796320000,73.4
796406400,75.6
796492800,78.8
796579200,77.9
796665600,76.4
796752000,70.4
796838400,66.7
796924800,73.9
797011200,75.7
797097600,75.2
797184000,70.2
797270400,75.3
797356800,72.8
797443200,74.9
797529600,77.1
797616000,77.0
797702400,76.2
797788800,74.4
797875200,70.5
797961600,76.1
798048000,75.5
798134400,76.4
798220800,78.6
798307200,78.6
798393600,79.5
798480000,79.3
798566400,78.6
798652800,80.5
798739200,76.3
798825600,75.9
798912000,77.3
798998400,72.8
799084800,74.5
799171200,76.2
799257600,76.2
799344000,78.6
799430400,77.8
799516800,80.3
799603200,79.8
799689600,79.3
799776000,80.1
799862400,79.2
799948800,79.9
800035200,80.1
800121600,81.0
800208000,81.4
800294400,82.9
800380800,82.1
800467200,82.1
800553600,81.4
800640000,83.6
800726400,84.0
800812800,83.5
800899200,79.5
800985600,77.4
801072000,79.2
801158400,79.1
801244800,82.2
801331200,81.0
801417600,80.7
801504000,81.1
801590400,81.6
801676800,81.8
801763200,81.9
801849600,81.6
801936000,83.4
802022400,83.7
802108800,83.7
802195200,80.5
802281600,79.2
802368000,78.8
802454400,82.0
802540800,82.1
802627200,84.1
802713600,82.6
802800000,82.9
802886400,80.1
802972800,79.4
803059200,77.2
803145600,82.1
803232000,80.8
803318400,80.0
803404800,76.6
803491200,76.3
803577600,76.8
803664000,77.9
803750400,76.8
803836800,77.5
803923200,77.7
804009600,78.7
804096000,79.2
804182400,80.4
804268800,82.7
804355200,82.6
804441600,80.7
804528000,80.5
804614400,81.2
804700800,79.5
804787200,83.1
804873600,84.1
804960000,84.1
805046400,82.8
805132800,82.1
805219200,81.7
805305600,79.4
805392000,78.5
805478400,77.6
805564800,80.2
805651200,83.8
805737600,83.9
805824000,83.8
805910400,80.0
805996800,76.8
806083200,80.3
806169600,80.9
806256000,82.2
806342400,81.8
806428800,85.0
806515200,84.3
806601600,82.3
806688000,79.4
806774400,76.7
806860800,78.4
806947200,82.3
807033600,83.4
807120000,84.6
807206400,80.7
807292800,76.0
807379200,74.5
807465600,78.0
807552000,82.6
807638400,82.5
807724800,83.0
807811200,81.9
807897600,82.7
807984000,81.1
808070400,82.1
808156800,83.9
808243200,83.8
808329600,85.3
808416000,84.9
808502400,83.4
808588800,83.9
808675200,83.4
808761600,82.2
808848000,83.7
808934400,84.2
809020800,83.2
809107200,79.0
809193600,76.9
809280000,80.5
809366400,80.5
809452800,82.5
809539200,82.8
809625600,82.0
809712000,83.0
809798400,83.5
809884800,82.8
809971200,80.9
810057600,81.7
810144000,82.8
810230400,79.7
810316800,77.4
810403200,79.3
810489600,78.0
810576000,79.5
810662400,77.4
810748800,79.2
810835200,81.7
810921600,84.2
811008000,83.9
811094400,83.8
811180800,83.2
811267200,82.7
811353600,82.6
811440000,82.6
811526400,82.4
811612800,81.9
811699200,80.6
811785600,83.2
811872000,83.1
811958400,82.3
812044800,83.9
812131200,84.4
812217600,80.7
812304000,80.0
812390400,80.0
812476800,79.9
812563200,82.3
812649600,83.0
812736000,85.0
812822400,83.8
812908800,79.8
812995200,81.8
813081600,80.3
813168000,80.6
813254400,82.6
813340800,82.8
813427200,82.5
813513600,81.5
813600000,80.6
813686400,80.1
813772800,75.7
813859200,76.0
813945600,75.9
814032000,76.2
814118400,77.8
814204800,76.2
814291200,78.4
814377600,81.2
814464000,81.2
814550400,79.5
814636800,78.7
814723200,80.3
814809600,79.1
814896000,77.4
814982400,76.9
815068800,79.0
815155200,80.3
815241600,79.7
815328000,78.5
815414400,77.6
815500800,74.1
815587200,75.7
815673600,76.0
815760000,74.3
815846400,65.4
815932800,75.2
816019200,78.0
816105600,71.2
816192000,69.8
816278400,69.9
816364800,57.8
816451200,58.3
816537600,62.4
816624000,72.9
816710400,70.7
816796800,69.0
816883200,70.2
816969600,63.7
817056000,62.6
817142400,72.1
817228800,67.2
817315200,62.7
817401600,72.8
817488000,73.8
817574400,76.7
817660800,69.7
817747200,67.9
817833600,66.4
817920000,71.2
818006400,72.7
818092800,70.7
818179200,71.6
818265600,70.4
818352000,70.4
818438400,71.4
818524800,66.5
818611200,59.8
818697600,70.4
818784000,73.9
818870400,73.1
818956800,70.3
819043200,72.9
