timestamp,value
788889600,33.6
788976000,32.1
789062400,34.0
789148800,27.2
789235200,29.2
789321600,41.4
789408000,30.1
789494400,48.0
789580800,44.9
789667200,54.8
789753600,54.0
789840000,59.3
789926400,51.9
790012800,44.7
790099200,47.6
790185600,53.6
790272000,54.9
790358400,43.0
790444800,40.0
790531200,43.4
790617600,42.6
790704000,36.5
790790400,33.8
790876800,41.0
790963200,46.8
791049600,51.2
791136000,56.0
791222400,48.0
791308800,37.5
791395200,36.2
791481600,41.7
791568000,48.1
791654400,57.5
791740800,55.4
791827200,47.4
791913600,49.3
792000000,46.0
792086400,44.7
792172800,37.2
792259200,47.8
792345600,46.0
792432000,40.4
792518400,29.4
792604800,32.6
792691200,34.5
792777600,50.5
792864000,34.3
792950400,37.5
793036800,44.6
793123200,51.8
793209600,54.7
793296000,55.8
793382400,60.1
793468800,61.9
793555200,53.4
793641600,54.6
793728000,61.7
793814400,60.8
793900800,42.9
793987200,30.7
794073600,24.4
794160000,27.8
794246400,38.2
794332800,46.8
794419200,50.4
794505600,37.3
794592000,29.2
794678400,43.3
794764800,48.7
794851200,58.8
794937600,62.1
795024000,56.9
795110400,54.9
795196800,57.7
795283200,61.3
795369600,62.6
795456000,64.6
795542400,68.4
795628800,66.1
795715200,65.7
795801600,75.5
795888000,67.9
795974400,65.3
796060800,68.0
796147200,61.8
796233600,51.4
796320000,49.4
796406400,46.7
796492800,47.3
796579200,50.3
796665600,54.9
796752000,60.1
796838400,61.1
796924800,57.9
797011200,56.6
797097600,58.5
797184000,66.7
797270400,73.4
797356800,76.1
797443200,63.3
797529600,44.6
797616000,52.6
797702400,61.9
797788800,66.9
797875200,73.0
797961600,74.6
798048000,69.9
798134400,64.7
798220800,56.0
798307200,57.0
798393600,63.4
798480000,51.8
798566400,48.2
798652800,52.9
798739200,56.9
798825600,65.6
798912000,52.6
798998400,62.5
799084800,72.2
799171200,64.1
799257600,63.7
799344000,53.3
799430400,59.6
799516800,64.9
799603200,60.9
799689600,66.1
799776000,69.7
799862400,69.3
799948800,68.9
800035200,65.9
800121600,62.6
800208000,67.8
800294400,80.8
800380800,75.6
800467200,74.2
800553600,76.9
800640000,78.4
800726400,64.7
800812800,64.2
800899200,67.4
800985600,71.3
801072000,74.4
801158400,76.5
801244800,64.0
801331200,59.1
801417600,68.5
801504000,73.0
801590400,71.3
801676800,66.1
801763200,66.5
801849600,68.9
801936000,69.3
802022400,75.5
802108800,77.5
802195200,75.8
802281600,72.4
802368000,77.5
802454400,84.0
802540800,81.9
802627200,82.1
802713600,71.7
802800000,66.2
802886400,69.0
802972800,72.4
803059200,76.1
803145600,77.3
803232000,75.7
803318400,75.6
803404800,75.9
803491200,76.3
803577600,76.9
803664000,79.5
803750400,80.1
803836800,80.7
803923200,79.5
804009600,76.8
804096000,78.8
804182400,77.8
804268800,78.8
804355200,78.6
804441600,71.8
804528000,72.0
804614400,74.9
804700800,83.9
804787200,87.1
804873600,78.8
804960000,81.9
805046400,83.1
805132800,85.6
805219200,89.0
805305600,87.7
805392000,89.5
805478400,87.6
805564800,88.0
805651200,86.9
805737600,84.6
805824000,81.7
805910400,83.5
805996800,83.8
806083200,76.7
806169600,85.0
806256000,80.8
806342400,86.4
806428800,85.2
806515200,82.3
806601600,83.5
806688000,87.6
806774400,89.3
806860800,87.5
806947200,88.0
807033600,82.9
807120000,78.7
807206400,76.1
807292800,77.5
807379200,78.8
807465600,81.2
807552000,83.3
807638400,85.2
