timestamp,value
788889600,20.3
788976000,21.7
789062400,22.3
789148800,12.7
789235200,16.9
789321600,28.4
789408000,16.4
789494400,28.7
789580800,28.8
789667200,37.3
789753600,37.5
789840000,38.1
789926400,42.3
790012800,34.4
790099200,38.3
790185600,47.6
790272000,41.5
790358400,33.8
790444800,33.9
790531200,35.1
790617600,31.9
790704000,31.0
790790400,32.3
790876800,33.7
790963200,38.6
791049600,37.7
791136000,47.3
791222400,36.5
791308800,31.3
791395200,30.2
791481600,37.8
791568000,46.7
791654400,50.7
791740800,46.9
791827200,38.1
791913600,40.6
792000000,38.6
792086400,34.3
792172800,27.9
792259200,36.9
792345600,36.6
792432000,28.9
792518400,18.6
792604800,20.9
792691200,27.5
792777600,32.8
792864000,29.6
792950400,34.9
793036800,42.4
793123200,46.6
793209600,50.3
793296000,49.2
793382400,53.6
793468800,53.1
793555200,45.4
793641600,53.2
793728000,58.1
793814400,44.6
793900800,29.5
793987200,21.4
794073600,18.2
794160000,18.8
794246400,30.4
794332800,36.3
794419200,38.3
794505600,15.5
794592000,15.4
794678400,34.2
794764800,44.7
794851200,51.4
794937600,58.4
795024000,55.7
795110400,57.0
795196800,57.2
795283200,57.9
795369600,59.6
795456000,58.1
795542400,60.6
795628800,58.0
795715200,57.0
795801600,67.6
795888000,61.5
795974400,57.2
796060800,58.7
796147200,56.6
796233600,43.7
796320000,41.9
796406400,39.8
796492800,37.3
796579200,43.6
796665600,48.5
796752000,55.1
796838400,59.5
796924800,50.5
797011200,50.3
797097600,55.8
797184000,56.7
797270400,65.3
797356800,54.8
797443200,43.6
797529600,36.4
797616000,43.9
797702400,51.0
797788800,62.6
797875200,61.0
797961600,66.5
798048000,49.8
798134400,52.6
798220800,47.6
798307200,52.2
798393600,45.8
798480000,45.4
798566400,48.8
798652800,49.0
798739200,51.2
798825600,55.0
798912000,45.0
798998400,50.8
799084800,58.8
799171200,53.8
799257600,49.9
799344000,48.6
799430400,51.0
799516800,53.5
799603200,53.2
799689600,58.2
799776000,63.7
799862400,61.3
799948800,60.4
800035200,55.8
800121600,55.7
800208000,59.8
800294400,71.9
800380800,62.7
