timestamp,value
788889600,36.6
788976000,33.7
789062400,21.7
789148800,24.1
789235200,13.9
789321600,19.2
789408000,34.4
789494400,28.9
789580800,28.4
789667200,22.0
789753600,27.8
789840000,39.4
789926400,45.5
790012800,56.6
790099200,62.3
790185600,56.8
790272000,40.9
790358400,40.3
790444800,42.4
790531200,44.8
790617600,36.5
790704000,29.1
790790400,25.5
790876800,29.9
790963200,33.2
791049600,29.7
791136000,28.6
791222400,20.7
791308800,17.6
791395200,23.2
791481600,28.5
791568000,35.7
791654400,32.4
791740800,18.1
791827200,26.2
791913600,17.5
792000000,6.2
792086400,12.6
792172800,11.5
792259200,16.4
792345600,28.7
792432000,36.2
792518400,15.2
792604800,12.7
792691200,21.6
792777600,22.0
792864000,36.5
792950400,32.7
793036800,34.4
793123200,37.8
793209600,40.6
793296000,38.5
793382400,27.5
793468800,36.4
793555200,37.0
793641600,26.4
793728000,24.1
793814400,29.3
793900800,35.1
793987200,32.7
794073600,27.6
794160000,26.5
794246400,33.1
794332800,39.2
794419200,43.1
794505600,47.4
794592000,52.6
794678400,21.7
794764800,18.0
794851200,18.0
794937600,18.0
795024000,18.0
795110400,59.6
795196800,54.6
795283200,56.6
795369600,50.1
795456000,39.5
795542400,41.3
795628800,44.9
795715200,50.4
795801600,40.6
795888000,38.6
795974400,35.6
796060800,35.3
796147200,43.0
796233600,40.3
796320000,43.3
796406400,42.6
796492800,46.5
796579200,41.0
796665600,37.3
796752000,36.3
796838400,39.0
796924800,45.9
797011200,24.0
797097600,33.3
797184000,43.0
797270400,34.0
797356800,42.7
797443200,37.3
797529600,43.6
797616000,50.6
797702400,49.1
797788800,41.3
797875200,41.4
797961600,44.3
798048000,46.2
798134400,53.5
798220800,62.2
798307200,54.6
798393600,56.4
798480000,54.1
798566400,48.6
798652800,50.6
798739200,50.3
798825600,51.4
798912000,61.7
798998400,59.1
799084800,54.5
799171200,48.7
799257600,47.9
799344000,49.3
799430400,54.0
799516800,55.4
799603200,54.3
799689600,53.9
799776000,52.5
799862400,50.4
799948800,55.2
800035200,55.9
800121600,55.2
800208000,58.4
800294400,61.6
800380800,58.5
800467200,59.4
800553600,61.3
800640000,64.1
800726400,59.1
800812800,52.5
800899200,58.6
800985600,65.2
801072000,61.5
