timestamp,value
788889600,74.7
788976000,80.8
789062400,78.1
789148800,80.2
789235200,80.2
789321600,80.2
789408000,84.9
789494400,88.3
789580800,84.1
789667200,79.7
789753600,69.1
789840000,66.8
789926400,68.6
790012800,73.9
790099200,76.9
790185600,80.2
790272000,80.2
790358400,76.5
790444800,75.6
790531200,77.7
790617600,75.1
790704000,80.5
790790400,85.5
790876800,79.9
790963200,83.9
791049600,82.8
791136000,80.4
791222400,80.4
791308800,83.8
791395200,83.8
791481600,83.8
791568000,82.6
791654400,78.1
791740800,82.1
791827200,77.0
791913600,80.3
792000000,79.0
792086400,75.5
792172800,73.9
792259200,74.1
792345600,71.9
792432000,75.4
792518400,78.6
792604800,75.3
792691200,66.4
792777600,67.7
792864000,69.6
792950400,72.0
793036800,76.1
793123200,78.6
793209600,75.0
793296000,77.1
793382400,77.1
793468800,76.2
793555200,78.3
793641600,72.3
793728000,73.1
793814400,73.1
793900800,68.7
793987200,73.5
794073600,73.4
794160000,67.4
794246400,71.5
794332800,75.5
794419200,76.4
794505600,69.8
794592000,70.2
794678400,69.8
794764800,66.6
794851200,70.0
794937600,68.5
795024000,67.6
795110400,70.5
795196800,73.0
795283200,73.8
795369600,74.5
795456000,72.5
795542400,75.5
795628800,73.1
795715200,76.5
795801600,70.5
795888000,62.1
795974400,67.2
796060800,65.3
796147200,65.8
796233600,63.9
796320000,72.1
796406400,71.6
796492800,73.0
796579200,69.3
796665600,69.8
796752000,69.6
796838400,64.9
796924800,71.0
797011200,70.1
797097600,68.5
797184000,70.2
797270400,71.4
797356800,69.2
797443200,70.2
797529600,70.4
797616000,69.8
797702400,70.5
797788800,71.1
797875200,71.0
797961600,73.0
798048000,71.6
798134400,72.7
798220800,71.7
798307200,70.0
798393600,66.0
798480000,65.8
798566400,63.2
798652800,59.9
798739200,61.0
798825600,67.3
798912000,67.3
798998400,71.2
799084800,69.5
799171200,66.9
799257600,67.8
799344000,71.1
799430400,70.2
799516800,69.6
799603200,64.5
799689600,55.2
799776000,61.3
799862400,62.7
799948800,62.1
800035200,65.2
800121600,64.8
800208000,62.8
800294400,63.0
800380800,63.0
800467200,64.1
800553600,65.4
800640000,65.2
800726400,64.0
800812800,65.3
800899200,64.6
800985600,57.1
801072000,56.8
801158400,60.5
801244800,62.3
801331200,62.8
801417600,61.4
801504000,58.0
801590400,59.5
801676800,60.2
801763200,62.7
801849600,62.6
801936000,61.0
802022400,61.0
802108800,59.0
802195200,62.5
802281600,59.0
802368000,59.2
802454400,58.0
802540800,60.8
802627200,61.1
802713600,60.8
802800000,59.3
802886400,59.2
802972800,58.6
803059200,59.9
803145600,55.8
803232000,53.0
803318400,51.3
803404800,52.3
803491200,56.1
803577600,57.3
803664000,59.6
803750400,56.1
803836800,62.0
803923200,59.9
804009600,59.1
804096000,60.5
804182400,61.3
804268800,60.0
804355200,62.3
804441600,59.4
804528000,53.9
804614400,57.8
804700800,59.5
804787200,61.2
804873600,59.3
804960000,58.7
805046400,58.3
805132800,59.0
805219200,60.1
805305600,60.8
805392000,61.0
805478400,61.9
805564800,58.8
805651200,59.7
805737600,57.3
805824000,58.5
805910400,56.8
805996800,58.6
806083200,51.0
806169600,52.0
806256000,54.9
806342400,53.2
806428800,57.5
806515200,64.2
806601600,65.9
806688000,65.3
806774400,60.0
806860800,61.8
806947200,67.5
807033600,65.8
807120000,64.8
807206400,64.1
807292800,64.5
807379200,61.8
807465600,62.8
807552000,46.0
807638400,49.4
807724800,55.4
807811200,60.0
807897600,61.7
807984000,66.6
808070400,66.1
808156800,63.8
808243200,65.9
808329600,67.9
808416000,65.4
808502400,62.6
808588800,61.6
808675200,64.6
808761600,66.2
808848000,66.7
808934400,62.2
809020800,58.2
809107200,63.7
809193600,68.2
809280000,65.9
809366400,68.4
809452800,65.8
809539200,67.5
809625600,72.2
809712000,71.9
809798400,72.1
809884800,72.8
809971200,71.4
810057600,70.0
810144000,65.0
810230400,65.5
810316800,68.8
810403200,69.3
810489600,70.0
810576000,74.2
810662400,73.2
810748800,74.4
810835200,74.4
810921600,74.5
811008000,73.6
811094400,71.1
811180800,71.1
811267200,72.7
811353600,68.3
811440000,65.0
811526400,69.1
811612800,71.8
811699200,73.5
811785600,62.3
811872000,68.7
811958400,73.2
812044800,73.5
812131200,72.7
812217600,78.0
812304000,74.4
812390400,73.7
812476800,67.1
812563200,71.3
812649600,74.3
812736000,77.0
812822400,71.9
812908800,71.1
812995200,73.2
813081600,71.8
813168000,73.2
813254400,75.3
813340800,76.2
813427200,70.6
813513600,68.0
813600000,68.9
813686400,78.5
813772800,78.5
813859200,66.5
813945600,65.6
814032000,62.9
814118400,67.1
814204800,73.5
814291200,74.6
814377600,67.5
814464000,70.4
814550400,70.5
814636800,70.9
814723200,75.8
814809600,75.0
814896000,73.9
814982400,74.0
815068800,71.0
815155200,71.3
815241600,72.3
815328000,74.9
815414400,82.0
815500800,77.7
815587200,78.9
815673600,77.1
815760000,76.7
815846400,77.5
815932800,80.1
816019200,86.8
816105600,83.5
816192000,79.5
816278400,79.3
816364800,77.8
816451200,74.0
816537600,66.2
816624000,70.7
816710400,69.7
816796800,66.3
816883200,69.3
816969600,69.0
817056000,71.4
817142400,75.0
817228800,76.0
817315200,79.5
817401600,79.4
817488000,80.3
817574400,74.2
817660800,68.6
817747200,69.1
817833600,72.7
817920000,74.0
818006400,74.9
818092800,76.0
818179200,78.7
818265600,76.3
818352000,72.9
818438400,76.5
818524800,77.3
818611200,77.5
818697600,73.3
818784000,72.2
818870400,72.6
818956800,75.5
819043200,74.0
819129600,67.5
819216000,68.3
819302400,75.6
819388800,77.0
819475200,75.5
819561600,74.5
819648000,71.8
819734400,71.8
819820800,70.6
819907200,74.0
819993600,73.8
820080000,78.5
820166400,81.4
820252800,81.6
820339200,84.2
820425600,85.0
820512000,76.5
820598400,76.2
820684800,76.8
820771200,74.9
820857600,74.1
820944000,73.5
821030400,68.5
821116800,74.2
821203200,77.7
821289600,78.8
821376000,77.5
821462400,73.0
821548800,66.5
821635200,71.0
821721600,74.9
821808000,70.2
821894400,73.3
821980800,76.8
822067200,69.2
822153600,69.3
822240000,67.6
822326400,69.6
822412800,69.6
822499200,69.4
822585600,70.6
822672000,71.3
822758400,75.3
822844800,75.2
822931200,74.7
823017600,74.2
823104000,79.0
823190400,79.5
823276800,78.9
823363200,78.1
823449600,72.6
823536000,71.5
823622400,75.3
823708800,75.7
823795200,78.3
823881600,79.1
823968000,80.3
824054400,80.3
824140800,71.9
824227200,70.3
824313600,71.7
824400000,76.8
824486400,75.0
824572800,74.2
824659200,69.2
824745600,68.1
824832000,72.0
824918400,70.3
825004800,70.6
825091200,74.8
825177600,79.1
825264000,75.6
825350400,67.5
825436800,69.3
825523200,70.2
825609600,70.0
825696000,75.2
825782400,76.4
825868800,75.9
825955200,73.9
826041600,75.3
826128000,71.6
826214400,73.7
826300800,76.2
826387200,78.7
826473600,75.6
826560000,76.5
826646400,76.0
826732800,79.3
826819200,76.1
826905600,75.0
826992000,77.1
827078400,76.3
827164800,73.6
827251200,71.9
827337600,72.9
827424000,71.3
827510400,77.0
827596800,71.1
827683200,77.4
827769600,75.2
827856000,71.1
827942400,75.4
828028800,69.2
828115200,73.6
828201600,72.4
828288000,69.9
828374400,73.0
828460800,69.9
828547200,72.0
828633600,69.6
828720000,71.1
828806400,72.7
828892800,72.6
828979200,73.2
829065600,73.3
829152000,73.7
829238400,67.9
829324800,68.7
829411200,68.4
829497600,69.6
829584000,72.3
829670400,72.1
829756800,71.8
829843200,71.3
829929600,68.3
830016000,74.0
830102400,74.6
830188800,71.5
830275200,70.1
830361600,71.6
830448000,70.8
830534400,67.8
830620800,70.0
830707200,63.3
830793600,60.3
830880000,65.7
830966400,66.2
831052800,66.8
831139200,67.4
831225600,65.0
831312000,60.9
831398400,63.1
831484800,68.4
831571200,67.8
831657600,67.4
831744000,67.0
831830400,68.6
831916800,65.4
832003200,66.3
832089600,67.2
832176000,67.5
832262400,62.8
832348800,66.7
832435200,66.1
832521600,67.8
832608000,64.5
832694400,63.9
832780800,64.3
832867200,65.4
832953600,61.6
833040000,61.6
833126400,57.0
833212800,60.1
833299200,58.4
833385600,61.2
833472000,59.2
833558400,55.2
833644800,56.2
833731200,60.3
833817600,65.3
833904000,66.5
833990400,63.2
834076800,62.8
834163200,61.8
834249600,60.8
834336000,63.1
834422400,61.1
834508800,59.3
834595200,60.1
834681600,59.3
834768000,60.8
834854400,61.1
834940800,62.4
835027200,62.0
835113600,61.9
835200000,57.1
835286400,53.6
835372800,60.5
835459200,57.6
835545600,56.1
835632000,58.6
835718400,58.5
835804800,57.8
835891200,58.4
835977600,56.6
836064000,57.2
836150400,58.2
836236800,56.8
836323200,58.0
836409600,57.8
836496000,54.9
836582400,42.2
836668800,41.1
836755200,48.1
836841600,51.2
836928000,53.0
837014400,55.1
837100800,53.7
837187200,57.2
837273600,51.5
837360000,51.0
837446400,49.0
837532800,45.9
837619200,48.4
837705600,49.8
837792000,53.2
837878400,56.6
837964800,57.1
838051200,60.9
838137600,54.4
838224000,48.7
838310400,52.7
838396800,57.6
838483200,59.8
838569600,61.0
838656000,60.8
838742400,58.9
838828800,49.7
838915200,50.0
839001600,54.4
839088000,47.1
839174400,47.9
839260800,53.9
839347200,57.5
839433600,59.2
839520000,61.2
839606400,61.9
839692800,59.5
839779200,56.4
839865600,60.4
839952000,61.2
840038400,63.9
840124800,65.8
840211200,69.0
840297600,63.5
840384000,60.8
840470400,62.1
840556800,62.7
840643200,65.7
840729600,66.6
840816000,66.4
840902400,65.3
840988800,62.8
841075200,62.1
841161600,64.2
841248000,66.2
841334400,66.3
841420800,67.4
841507200,69.3
841593600,74.6
841680000,66.5
841766400,69.8
841852800,69.6
841939200,70.7
842025600,68.2
842112000,74.3
842198400,74.1
842284800,73.9
842371200,63.0
842457600,54.3
842544000,53.7
842630400,59.7
842716800,67.0
842803200,70.2
842889600,56.3
842976000,49.9
843062400,54.6
843148800,59.8
843235200,69.6
843321600,72.3
843408000,74.2
843494400,70.4
843580800,69.4
843667200,66.2
843753600,72.5
843840000,76.6
843926400,78.2
844012800,78.0
844099200,77.3
844185600,71.8
844272000,72.7
844358400,70.6
844444800,70.3
844531200,72.4
844617600,77.4
844704000,76.6
844790400,79.0
844876800,72.4
844963200,71.1
845049600,69.5
845136000,71.1
845222400,71.9
845308800,77.3
845395200,78.7
845481600,80.2
845568000,75.4
845654400,71.7
845740800,71.1
845827200,74.1
845913600,70.5
846000000,69.2
846086400,71.3
846172800,75.5
846259200,80.2
846345600,79.5
846432000,77.0
846518400,72.6
846604800,71.6
846691200,77.3
846777600,80.9
846864000,82.7
846950400,80.7
847036800,76.7
847123200,76.3
847209600,75.4
847296000,64.5
847382400,62.6
847468800,69.9
847555200,78.2
847641600,72.4
847728000,66.0
847814400,72.1
847900800,76.2
847987200,72.0
848073600,69.3
848160000,66.0
848246400,69.1
848332800,65.6
848419200,60.4
848505600,61.5
848592000,67.1
848678400,72.8
848764800,78.4
848851200,70.9
848937600,72.8
849024000,76.9
849110400,72.0
849196800,70.9
849283200,72.3
849369600,75.7
849456000,76.7
849542400,76.4
849628800,79.3
849715200,76.6
849801600,71.2
849888000,73.2
849974400,73.7
850060800,77.2
850147200,79.0
850233600,79.1
850320000,81.9
850406400,82.4
850492800,81.3
850579200,82.9
850665600,83.9
850752000,79.9
850838400,74.1
850924800,74.5
851011200,78.5
851097600,74.5
851184000,70.7
851270400,70.5
851356800,74.9
851443200,81.0
851529600,74.7
851616000,67.5
851702400,70.1
851788800,69.1
851875200,68.9
851961600,68.8
852048000,73.6
852134400,76.2
852220800,81.6
852307200,76.8
852393600,75.8
852480000,78.8
852566400,75.4
852652800,65.2
852739200,67.6
852825600,71.0
852912000,73.8
852998400,72.0
853084800,65.9
853171200,65.8
853257600,64.5
853344000,67.4
853430400,71.3
853516800,68.6
853603200,70.4
853689600,74.0
853776000,67.3
853862400,68.9
853948800,70.9
854035200,75.5
854121600,69.3
854208000,71.2
854294400,69.9
854380800,73.3
854467200,75.4
854553600,72.0
854640000,70.8
854726400,69.0
854812800,76.5
854899200,76.5
854985600,76.4
855072000,74.3
855158400,70.0
855244800,69.8
855331200,73.8
855417600,71.1
