timestamp,value
788889600,23.1
788976000,25.6
789062400,23.7
789148800,19.4
789235200,20.9
789321600,25.5
789408000,27.4
789494400,30.6
789580800,33.2
789667200,35.1
789753600,35.8
789840000,33.5
789926400,34.7
790012800,35.2
790099200,34.6
790185600,31.9
790272000,28.2
790358400,32.6
790444800,35.7
790531200,38.1
790617600,36.2
790704000,33.4
790790400,34.5
790876800,35.5
790963200,34.6
791049600,33.9
791136000,35.6
791222400,34.8
791308800,35.1
791395200,38.8
791481600,42.9
791568000,46.7
791654400,39.6
791740800,42.2
791827200,42.0
791913600,43.6
792000000,42.6
792086400,41.7
792172800,46.3
792259200,40.1
792345600,38.7
792432000,40.1
792518400,28.9
792604800,22.9
792691200,18.0
792777600,29.4
792864000,35.4
792950400,47.3
793036800,41.4
793123200,47.1
793209600,51.1
793296000,51.8
793382400,46.7
793468800,44.3
793555200,45.5
793641600,54.3
793728000,46.0
793814400,40.8
793900800,32.6
793987200,34.2
794073600,33.9
794160000,37.3
794246400,37.7
794332800,42.7
794419200,38.0
794505600,36.4
794592000,39.8
794678400,42.4
794764800,48.1
794851200,48.2
794937600,49.7
795024000,50.4
795110400,51.4
795196800,49.7
795283200,45.3
795369600,47.4
795456000,51.1
795542400,50.0
795628800,47.7
795715200,46.2
795801600,40.0
795888000,43.4
795974400,43.6
796060800,43.0
796147200,45.6
796233600,45.9
796320000,48.8
796406400,50.1
796492800,50.4
796579200,53.3
796665600,54.3
796752000,49.0
796838400,52.7
796924800,56.3
797011200,46.5
797097600,49.4
797184000,54.4
797270400,49.5
797356800,49.9
797443200,45.6
797529600,48.1
797616000,45.3
797702400,45.7
797788800,44.3
797875200,43.1
797961600,45.9
798048000,47.4
798134400,49.9
798220800,45.2
798307200,47.8
798393600,51.1
798480000,55.5
798566400,59.0
798652800,61.7
798739200,61.5
798825600,58.0
798912000,56.2
798998400,50.5
799084800,49.6
799171200,55.0
799257600,55.4
799344000,54.4
799430400,53.2
799516800,55.9
799603200,54.8
799689600,61.1
799776000,62.7
799862400,56.1
799948800,59.8
800035200,56.8
800121600,54.9
800208000,51.8
800294400,59.6
800380800,62.7
800467200,65.6
800553600,71.5
800640000,65.0
800726400,58.7
800812800,60.7
800899200,62.9
800985600,66.5
801072000,65.1
801158400,67.6
801244800,71.6
801331200,67.5
801417600,63.1
801504000,65.3
801590400,69.6
801676800,72.0
801763200,75.9
801849600,73.3
801936000,73.1
802022400,75.4
802108800,71.7
802195200,71.3
802281600,58.2
802368000,52.1
802454400,56.2
802540800,64.6
802627200,65.1
802713600,65.4
802800000,58.6
802886400,63.0
802972800,60.7
803059200,56.9
803145600,58.9
803232000,66.5
803318400,67.2
803404800,61.7
803491200,59.4
803577600,60.8
803664000,65.6
803750400,70.1
803836800,74.2
803923200,76.6
804009600,78.5
804096000,78.0
804182400,73.6
804268800,73.2
804355200,74.8
804441600,76.7
804528000,79.2
804614400,77.4
804700800,70.3
804787200,68.8
804873600,70.3
804960000,69.0
805046400,70.3
805132800,72.7
805219200,70.5
805305600,65.7
805392000,67.2
805478400,71.5
805564800,71.1
805651200,71.5
805737600,77.1
805824000,77.2
805910400,78.6
805996800,81.4
806083200,84.4
806169600,82.5
806256000,79.9
806342400,76.6
806428800,76.4
806515200,72.3
806601600,75.7
806688000,76.2
806774400,69.2
806860800,71.1
806947200,68.4
807033600,67.4
807120000,69.6
807206400,76.1
807292800,78.8
807379200,80.4
807465600,81.8
807552000,83.3
807638400,69.9
807724800,66.3
807811200,65.0
807897600,68.0
807984000,64.3
808070400,62.6
808156800,66.6
808243200,61.7
808329600,64.3
808416000,70.5
808502400,66.1
808588800,62.6
808675200,63.9
808761600,67.1
808848000,71.2
808934400,69.6
809020800,69.9
809107200,70.2
809193600,61.5
809280000,65.3
809366400,66.1
809452800,67.7
809539200,66.4
809625600,71.7
809712000,59.3
809798400,63.9
809884800,72.4
809971200,76.0
810057600,75.8
810144000,76.5
810230400,65.9
810316800,60.3
810403200,62.4
810489600,66.1
810576000,66.0
810662400,68.9
810748800,72.9
810835200,72.2
810921600,71.2
811008000,67.9
811094400,70.5
811180800,73.6
811267200,73.9
811353600,72.8
811440000,69.4
811526400,65.0
811612800,60.5
811699200,57.6
811785600,59.7
811872000,64.3
811958400,65.2
812044800,59.0
812131200,60.3
812217600,57.1
812304000,55.5
812390400,60.4
812476800,56.8
812563200,55.4
812649600,58.0
812736000,52.2
812822400,49.7
812908800,54.6
812995200,53.9
813081600,52.0
813168000,55.4
813254400,60.9
813340800,54.9
813427200,48.1
813513600,46.8
813600000,50.4
813686400,52.2
813772800,60.7
813859200,53.2
813945600,51.9
814032000,47.3
814118400,46.1
814204800,45.7
814291200,46.0
814377600,45.8
814464000,43.5
814550400,46.8
814636800,54.6
814723200,47.0
814809600,42.4
814896000,38.9
814982400,36.4
815068800,31.8
815155200,35.9
815241600,26.9
815328000,31.8
815414400,31.8
815500800,41.8
815587200,42.3
815673600,37.3
815760000,48.8
815846400,49.8
815932800,35.3
816019200,37.5
816105600,41.7
816192000,45.1
816278400,47.7
816364800,43.8
816451200,42.4
816537600,46.1
816624000,50.8
816710400,41.9
816796800,45.9
816883200,39.6
816969600,38.3
817056000,38.0
817142400,42.3
817228800,50.0
817315200,40.0
817401600,36.6
817488000,44.5
817574400,57.7
817660800,50.1
817747200,45.5
817833600,42.8
817920000,33.7
818006400,37.1
818092800,30.7
818179200,23.4
818265600,25.5
818352000,23.9
818438400,22.4
818524800,22.6
818611200,28.2
818697600,35.1
818784000,43.7
818870400,37.9
818956800,33.4
819043200,27.3
819129600,31.2
819216000,32.8
819302400,35.8
819388800,36.2
819475200,37.2
819561600,29.3
819648000,28.6
819734400,30.2
819820800,30.7
819907200,30.6
819993600,29.6
820080000,28.5
820166400,29.8
820252800,32.3
820339200,33.8
820425600,35.0
820512000,35.4
820598400,40.3
820684800,36.2
820771200,32.8
820857600,28.9
820944000,30.8
821030400,29.7
821116800,31.3
821203200,32.5
821289600,32.8
821376000,32.4
821462400,33.7
821548800,37.5
821635200,48.2
821721600,44.0
821808000,33.6
821894400,30.0
821980800,26.5
822067200,22.6
822153600,26.7
822240000,28.0
822326400,21.4
822412800,25.7
822499200,25.8
822585600,19.3
822672000,24.0
822758400,21.7
822844800,14.9
822931200,4.0
823017600,-3.8
823104000,-3.7
823190400,-3.1
823276800,-5.9
823363200,11.5
