timestamp,value
788889600,42.2
788976000,24.7
789062400,20.0
789148800,14.3
789235200,8.6
789321600,21.0
789408000,30.4
789494400,23.8
789580800,22.8
789667200,18.0
789753600,29.9
789840000,47.0
789926400,59.0
790012800,57.4
790099200,53.3
790185600,35.1
790272000,31.9
790358400,36.8
790444800,43.4
790531200,41.6
790617600,32.4
790704000,23.3
790790400,21.2
790876800,25.6
790963200,23.6
791049600,24.5
791136000,20.3
791222400,26.5
791308800,20.8
791395200,23.1
791481600,23.0
791568000,31.7
791654400,30.9
791740800,17.7
791827200,25.2
791913600,10.0
792000000,7.1
792086400,12.0
792172800,12.3
792259200,14.7
792345600,29.7
792432000,23.5
792518400,4.8
792604800,10.5
792691200,18.6
792777600,28.6
792864000,35.8
792950400,28.1
793036800,35.2
793123200,41.9
793209600,35.6
793296000,31.8
793382400,23.5
793468800,39.6
793555200,30.8
793641600,24.9
793728000,29.2
793814400,37.2
793900800,37.7
793987200,28.8
794073600,22.9
794160000,23.6
794246400,29.5
794332800,36.5
794419200,43.7
794505600,53.0
794592000,34.9
794678400,19.7
794764800,18.3
794851200,42.6
794937600,54.6
795024000,60.3
795110400,59.3
795196800,56.0
795283200,54.3
795369600,42.7
795456000,38.1
795542400,44.1
795628800,59.4
795715200,47.2
795801600,38.2
795888000,36.9
795974400,35.3
796060800,35.9
796147200,39.5
796233600,41.3
796320000,43.0
796406400,38.7
796492800,40.7
796579200,35.1
796665600,32.9
796752000,36.5
796838400,44.5
796924800,40.2
797011200,25.4
797097600,41.1
797184000,40.5
797270400,44.0
797356800,42.2
797443200,34.5
797529600,50.0
797616000,56.8
797702400,43.3
797788800,38.0
797875200,37.7
797961600,42.1
798048000,47.7
798134400,52.6
798220800,59.4
798307200,46.3
798393600,59.0
798480000,47.9
798566400,41.9
798652800,44.2
798739200,41.8
798825600,47.7
798912000,59.1
798998400,49.5
799084800,52.4
799171200,49.0
799257600,47.7
799344000,50.3
799430400,49.5
799516800,52.5
799603200,53.5
799689600,52.7
799776000,53.3
799862400,53.1
799948800,53.8
800035200,61.4
800121600,55.2
800208000,55.9
800294400,60.6
800380800,67.1
800467200,61.2
800553600,60.8
800640000,64.1
800726400,52.1
800812800,53.3
800899200,61.0
800985600,63.9
801072000,57.1
801158400,61.0
801244800,70.0
801331200,56.1
801417600,58.9
801504000,60.7
801590400,63.8
801676800,63.9
801763200,57.4
801849600,63.1
801936000,64.1
802022400,68.3
802108800,66.7
802195200,66.6
802281600,67.7
802368000,71.7
802454400,74.7
802540800,65.5
802627200,62.3
802713600,70.7
802800000,69.6
802886400,60.9
802972800,59.6
803059200,66.2
803145600,66.8
803232000,64.1
803318400,67.2
803404800,75.0
803491200,78.1
803577600,78.8
803664000,78.5
803750400,73.5
803836800,74.2
803923200,71.9
804009600,72.4
804096000,73.0
804182400,72.9
804268800,72.2
804355200,72.8
804441600,70.1
804528000,70.6
804614400,62.8
804700800,60.1
804787200,70.0
804873600,78.0
804960000,75.7
805046400,71.7
805132800,61.8
805219200,60.1
805305600,66.7
805392000,69.7
805478400,69.5
805564800,79.2
805651200,79.8
805737600,86.7
805824000,76.5
805910400,76.9
805996800,74.7
806083200,72.4
806169600,72.1
806256000,70.4
806342400,73.5
806428800,75.9
806515200,74.3
806601600,72.9
806688000,73.4
806774400,74.9
