timestamp,value
788889600,34.3
788976000,27.8
789062400,26.8
789148800,22.2
789235200,17.1
789321600,17.3
789408000,24.6
789494400,27.0
789580800,29.5
789667200,35.6
789753600,34.5
789840000,30.0
789926400,25.4
790012800,19.2
790099200,24.0
790185600,25.2
790272000,24.3
790358400,26.4
790444800,35.4
790531200,36.2
790617600,36.5
790704000,41.8
790790400,45.6
790876800,37.3
790963200,43.6
791049600,49.9
791136000,34.5
791222400,41.2
791308800,44.1
791395200,41.8
791481600,32.6
791568000,39.1
791654400,41.1
791740800,37.9
791827200,39.2
791913600,41.7
792000000,42.4
792086400,44.8
792172800,46.9
792259200,43.7
792345600,42.6
792432000,44.3
792518400,45.3
792604800,45.6
792691200,42.7
792777600,41.9
792864000,46.0
792950400,44.5
793036800,34.3
793123200,37.8
793209600,47.2
793296000,47.8
793382400,37.5
793468800,36.9
793555200,37.3
793641600,40.7
793728000,35.3
793814400,33.4
793900800,34.0
793987200,40.6
794073600,44.2
794160000,36.2
794246400,33.0
794332800,31.1
794419200,36.2
794505600,34.9
794592000,34.3
794678400,35.9
794764800,37.1
794851200,39.8
794937600,45.1
795024000,39.3
795110400,39.4
795196800,40.9
795283200,39.2
795369600,41.7
795456000,44.7
795542400,46.8
795628800,33.6
795715200,32.3
795801600,34.2
795888000,39.7
795974400,47.6
796060800,49.3
796147200,47.6
796233600,40.1
796320000,30.7
796406400,34.8
796492800,31.1
796579200,32.6
796665600,37.6
796752000,50.1
796838400,53.0
796924800,59.4
797011200,57.3
797097600,56.0
797184000,52.6
797270400,47.2
797356800,41.2
797443200,41.4
797529600,45.6
797616000,47.2
797702400,43.5
797788800,39.3
797875200,40.3
797961600,39.9
798048000,44.0
798134400,50.9
798220800,48.5
798307200,36.7
798393600,46.1
798480000,51.0
798566400,55.0
798652800,53.9
798739200,49.8
798825600,44.4
798912000,47.0
798998400,53.5
799084800,54.8
799171200,51.3
799257600,54.7
799344000,55.3
799430400,58.1
799516800,59.5
799603200,61.3
799689600,63.7
799776000,64.9
799862400,63.9
799948800,58.6
800035200,52.4
800121600,52.4
800208000,52.9
800294400,43.0
800380800,39.4
800467200,40.7
800553600,51.9
800640000,55.0
800726400,49.1
800812800,49.1
800899200,45.5
800985600,47.4
801072000,52.7
801158400,58.8
801244800,63.3
801331200,65.5
801417600,56.3
801504000,58.7
801590400,63.8
801676800,61.7
801763200,56.2
801849600,52.3
801936000,50.6
802022400,52.2
802108800,57.3
802195200,55.3
802281600,51.2
802368000,50.4
802454400,56.6
802540800,57.9
802627200,50.8
802713600,52.7
802800000,49.4
802886400,50.6
802972800,51.0
803059200,51.2
803145600,53.8
803232000,56.7
803318400,60.9
803404800,60.4
803491200,65.7
803577600,70.0
803664000,65.5
803750400,59.6
803836800,52.0
803923200,51.1
804009600,58.1
804096000,65.4
804182400,69.0
804268800,68.8
804355200,68.0
804441600,69.3
804528000,71.7
804614400,70.8
804700800,60.5
804787200,63.3
804873600,63.4
804960000,64.7
805046400,66.8
805132800,67.7
805219200,74.0
805305600,74.4
805392000,70.8
805478400,68.7
805564800,70.4
805651200,66.9
805737600,68.2
805824000,63.8
805910400,66.3
805996800,68.8
806083200,71.5
806169600,74.8
806256000,77.6
806342400,73.7
806428800,62.5
806515200,62.6
806601600,69.0
806688000,74.6
806774400,71.4
806860800,68.3
806947200,68.4
807033600,68.8
807120000,69.2
807206400,70.9
807292800,71.6
807379200,70.7
807465600,70.2
807552000,71.6
807638400,71.1
807724800,66.5
807811200,62.5
807897600,59.4
807984000,61.7
808070400,67.6
808156800,66.9
808243200,65.0
808329600,64.2
808416000,64.2
808502400,62.9
808588800,61.0
808675200,63.0
808761600,65.4
808848000,63.2
808934400,65.3
809020800,66.1
809107200,67.5
809193600,63.2
809280000,63.5
809366400,63.7
809452800,61.8
809539200,51.2
809625600,49.9
809712000,49.1
809798400,49.0
809884800,52.0
809971200,55.9
810057600,55.0
810144000,49.2
810230400,51.6
810316800,56.1
810403200,55.1
810489600,55.4
810576000,57.1
810662400,55.8
810748800,59.9
810835200,58.0
810921600,54.6
811008000,52.7
811094400,52.5
811180800,54.9
811267200,56.7
811353600,55.8
811440000,55.1
811526400,53.0
811612800,51.3
811699200,51.6
811785600,51.5
811872000,51.9
811958400,50.9
812044800,51.9
812131200,53.4
812217600,49.3
812304000,45.5
812390400,43.9
812476800,48.5
812563200,56.6
812649600,57.4
812736000,61.1
812822400,60.2
812908800,58.5
812995200,58.7
813081600,58.9
813168000,58.5
813254400,59.3
813340800,58.8
813427200,55.3
813513600,57.2
813600000,55.8
813686400,57.5
813772800,53.6
813859200,55.9
813945600,55.9
814032000,58.0
814118400,51.8
814204800,47.7
814291200,48.0
814377600,48.4
814464000,46.2
814550400,48.5
814636800,49.8
814723200,53.6
814809600,56.8
814896000,55.0
814982400,55.5
815068800,54.1
815155200,50.4
815241600,42.2
815328000,42.2
815414400,31.5
815500800,28.5
815587200,28.6
815673600,37.1
815760000,40.6
815846400,39.2
815932800,40.0
816019200,47.3
816105600,46.9
816192000,44.4
816278400,46.9
816364800,45.2
816451200,48.5
816537600,45.7
816624000,32.6
816710400,30.4
816796800,34.0
816883200,28.7
816969600,31.7
817056000,37.0
817142400,38.8
817228800,33.3
817315200,33.6
817401600,30.1
817488000,30.1
817574400,40.7
817660800,38.1
817747200,36.5
817833600,36.7
817920000,35.3
818006400,31.0
818092800,29.3
818179200,28.4
818265600,27.2
818352000,28.4
818438400,27.6
818524800,27.6
818611200,28.7
818697600,30.5
818784000,27.5
818870400,23.9
818956800,23.9
819043200,27.5
819129600,29.9
819216000,35.4
819302400,35.6
819388800,39.4
819475200,41.3
819561600,44.4
819648000,49.1
819734400,47.5
819820800,41.6
819907200,31.0
819993600,25.9
820080000,20.3
820166400,20.2
820252800,23.7
820339200,29.1
820425600,33.9
820512000,34.6
820598400,33.5
820684800,31.4
820771200,28.3
820857600,28.4
820944000,35.6
821030400,37.6
821116800,34.7
821203200,35.6
821289600,37.2
821376000,37.8
821462400,39.0
821548800,34.1
821635200,32.2
821721600,30.5
821808000,29.6
821894400,28.6
821980800,26.7
822067200,26.5
822153600,27.8
822240000,26.3
822326400,27.6
822412800,29.4
822499200,27.3
822585600,28.1
822672000,30.5
822758400,28.9
822844800,27.9
822931200,26.5
823017600,24.0
823104000,23.9
823190400,31.0
823276800,34.4
823363200,29.1
823449600,24.3
823536000,20.9
823622400,26.9
823708800,26.4
823795200,27.4
823881600,30.2
823968000,34.2
824054400,34.9
824140800,34.3
824227200,30.6
824313600,28.4
824400000,29.8
824486400,36.2
824572800,37.1
824659200,34.8
824745600,28.1
824832000,27.9
824918400,22.4
825004800,20.5
825091200,26.5
825177600,34.1
825264000,38.6
825350400,40.6
825436800,38.3
825523200,32.0
825609600,32.2
825696000,31.2
825782400,29.5
825868800,29.0
825955200,31.1
826041600,33.8
826128000,34.4
826214400,34.1
826300800,34.8
826387200,30.2
826473600,31.0
826560000,24.3
826646400,23.8
826732800,32.9
826819200,35.6
826905600,37.6
826992000,44.6
827078400,42.8
827164800,41.4
827251200,43.2
827337600,46.6
827424000,43.2
827510400,51.6
827596800,53.8
827683200,49.4
827769600,51.0
827856000,39.0
827942400,34.8
828028800,38.2
828115200,35.0
828201600,35.5
828288000,36.2
828374400,33.6
828460800,32.2
828547200,32.5
828633600,36.6
828720000,45.0
828806400,51.1
828892800,50.1
828979200,48.5
829065600,49.1
829152000,47.0
829238400,47.0
829324800,47.0
829411200,40.7
829497600,45.0
829584000,46.9
829670400,51.5
829756800,52.7
829843200,56.2
829929600,60.8
830016000,61.9
830102400,65.2
830188800,61.0
830275200,52.2
830361600,53.6
830448000,54.2
830534400,57.2
830620800,59.1
830707200,53.0
830793600,50.9
830880000,52.8
830966400,49.8
831052800,45.1
831139200,47.7
831225600,51.3
831312000,57.4
831398400,60.3
831484800,57.3
831571200,47.4
831657600,43.2
831744000,48.0
831830400,49.4
831916800,48.3
832003200,51.6
832089600,55.3
832176000,59.8
832262400,59.0
832348800,61.2
832435200,53.1
832521600,47.3
